디아이동일(001530),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,12443,12484,11902,12072,7880,29000.0,2000000.0
1999-01-05,12403,12903,12070,12737,48760,30600.0,2000000.0
1999-01-06,12901,14150,12819,13985,65640,33600.0,2000000.0
1999-01-07,14151,14568,13650,14152,56950,34000.0,2000000.0
1999-01-08,13736,13984,13568,13570,21260,32600.0,2000000.0
1999-01-11,13568,15317,13568,14902,47120,35800.0,2000000.0
1999-01-12,15026,15399,13985,15151,44780,36400.0,2000000.0
1999-01-13,15026,16982,14735,15652,90400,37600.0,2000000.0
1999-01-14,15649,15649,14482,14568,31240,35000.0,2000000.0
1999-01-15,14815,14983,14567,14819,19440,35600.0,2000000.0
1999-01-18,14983,16482,14983,15402,63570,37000.0,2000000.0
1999-01-19,15815,16065,14567,14568,44890,35000.0,2000000.0
1999-01-20,14649,14649,14066,14069,20180,33800.0,2000000.0
1999-01-21,14068,14110,13236,13320,17830,32000.0,2000000.0
1999-01-22,12900,12900,12151,12569,12230,30200.0,2000000.0
1999-01-25,12402,12484,12069,12155,9310,29200.0,2000000.0
1999-01-26,12236,12569,11987,11989,8580,28800.0,2000000.0
1999-01-27,11821,12237,11738,12238,6050,29400.0,2000000.0
1999-01-28,12483,13234,12359,12653,21110,30400.0,2000000.0
1999-01-29,13484,13484,12484,12987,6720,31200.0,2000000.0
1999-02-01,13067,13567,13067,13071,11160,31400.0,2000000.0
1999-02-02,12985,13567,12985,13071,8250,31400.0,2000000.0
1999-02-03,13066,13066,12483,12653,7750,30400.0,2000000.0
1999-02-04,13317,13317,12236,12404,4870,29800.0,2000000.0
1999-02-05,12151,12860,12151,12488,3260,30000.0,2000000.0
1999-02-08,12738,12738,12320,12320,7380,29600.0,2000000.0
1999-02-09,12320,12320,11570,11573,4770,27800.0,2000000.0
1999-02-10,11404,11570,11322,11490,8630,27600.0,2000000.0
1999-02-11,11570,11903,11570,11573,3010,27800.0,2000000.0
1999-02-12,11903,11903,11404,11490,20540,27600.0,2000000.0
1999-02-18,13194,13194,11653,11989,43230,28800.0,2000000.0
1999-02-19,11988,11988,11155,11406,12510,27400.0,2000000.0
1999-02-22,11406,11655,11239,11406,9590,27400.0,2000000.0
1999-02-23,11486,11486,10821,10822,2480,26000.0,2000000.0
1999-02-24,10570,11153,10570,10655,3740,25600.0,2000000.0
1999-02-25,10404,10404,9989,10032,6860,24100.0,2000000.0
1999-02-26,10239,10653,10072,10406,5840,25000.0,2000000.0
1999-03-02,10902,11152,10736,10989,8050,26400.0,2000000.0
1999-03-03,10821,11155,10738,10739,6380,25800.0,2000000.0
1999-03-04,10820,11237,10571,11155,13150,26800.0,2000000.0
1999-03-05,10072,11238,10072,11239,4360,27000.0,2000000.0
1999-03-08,11404,11988,11238,11739,11840,28200.0,2000000.0
1999-03-09,11945,11987,11570,11655,5370,28000.0,2000000.0
1999-03-10,11738,12738,11738,11863,31840,28500.0,2000000.0
1999-03-11,11653,12236,11653,11905,8960,28600.0,2000000.0
1999-03-12,12152,12152,11944,11946,13640,28700.0,2000000.0
1999-03-15,12319,12651,12027,12031,18730,28900.0,2000000.0
1999-03-16,12195,12485,12154,12238,12730,29400.0,2000000.0
1999-03-17,12320,12695,12154,12238,21140,29400.0,2000000.0
1999-03-18,12236,12319,11820,12031,11030,28900.0,2000000.0
1999-03-19,12280,12280,11821,12238,13510,29400.0,2000000.0
1999-03-22,12237,12652,12112,12238,19790,29400.0,2000000.0
1999-03-23,12236,12401,12068,12072,4680,29000.0,2000000.0
1999-03-24,12238,12821,12154,12821,28040,30800.0,2000000.0
1999-03-25,12903,13153,12570,12821,22280,30800.0,2000000.0
1999-03-26,12820,12902,12651,12862,12130,30900.0,2000000.0
1999-03-29,12320,12738,12320,12320,3120,29600.0,2000000.0
1999-03-30,12737,12903,12651,12737,14770,30600.0,2000000.0
1999-03-31,12903,13611,12821,13320,20100,32000.0,2000000.0
1999-04-01,13151,14233,13151,14069,39600,33800.0,2000000.0
1999-04-02,14067,14317,13900,14152,13710,34000.0,2000000.0
1999-04-06,14151,14649,14024,14568,21010,35000.0,2000000.0
1999-04-07,14567,14567,14151,14568,9170,35000.0,2000000.0
1999-04-08,14316,14648,14316,14527,9930,34900.0,2000000.0
1999-04-09,14235,14901,13985,14320,12870,34400.0,2000000.0
1999-04-12,14152,14318,13737,13820,13900,33200.0,2000000.0
1999-04-13,13817,14151,13568,13862,13040,33300.0,2000000.0
1999-04-14,13985,14816,13943,14403,41860,34600.0,2000000.0
1999-04-15,16524,16524,15151,16525,92420,39700.0,2000000.0
1999-04-16,17315,17857,16815,17067,60530,41000.0,2000000.0
1999-04-19,17022,17897,16896,16899,40900,40600.0,2000000.0
1999-04-20,17065,18729,17065,18565,41260,44600.0,2000000.0
1999-04-21,19812,19812,17898,17983,31490,43200.0,2000000.0
1999-04-22,17315,17898,16649,17067,18840,41000.0,2000000.0
1999-04-23,17066,17898,17066,17067,29310,41000.0,2000000.0
1999-04-26,16982,17814,16898,17484,33870,42000.0,2000000.0
1999-04-27,17564,18647,17564,18565,41010,44600.0,2000000.0
1999-04-28,18229,19395,18229,18481,27130,44400.0,2000000.0
1999-04-29,19145,21227,18480,21230,113850,51000.0,2000000.0
1999-04-30,22726,22726,19645,20813,60040,50000.0,2000000.0
1999-05-03,21643,21643,20478,21394,34950,51400.0,2000000.0
1999-05-04,22225,23310,21227,21895,45130,52600.0,2000000.0
1999-05-06,22059,24142,21895,23893,39490,57400.0,2000000.0
1999-05-07,23725,23891,21643,23145,34860,55600.0,2000000.0
1999-05-10,22310,23975,21727,23976,46280,57600.0,2000000.0
1999-05-11,24224,26639,23310,23310,51760,56000.0,2000000.0
1999-05-12,23309,23725,22145,22477,33740,54000.0,2000000.0
1999-05-13,22893,23142,20394,20397,20880,49000.0,2000000.0
1999-05-14,20395,20812,19230,19563,18480,47000.0,2000000.0
1999-05-17,19980,19980,19146,19148,17460,46000.0,2000000.0
1999-05-18,18730,19645,18730,19148,8480,46000.0,2000000.0
1999-05-19,19563,20560,19395,19814,12450,47600.0,2000000.0
1999-05-20,19562,19562,18395,18565,9370,44600.0,2000000.0
1999-05-21,18729,18980,18521,18732,6020,45000.0,2000000.0
1999-05-24,18893,19520,18312,18315,4310,44000.0,2000000.0
1999-05-25,18312,18729,17897,18481,4250,44400.0,2000000.0
1999-05-26,18729,19478,18145,19064,13590,45800.0,2000000.0
1999-05-27,19230,19438,18730,19232,6800,46200.0,2000000.0
1999-05-28,19479,19811,18564,19148,7200,46000.0,2000000.0
1999-05-31,19687,19687,18772,18773,4350,45100.0,2000000.0
1999-06-01,18772,18813,18313,18565,7230,44600.0,2000000.0
1999-06-02,18731,19730,18731,19482,20390,46800.0,2000000.0
1999-06-03,19563,19563,18730,19148,11890,46000.0,2000000.0
1999-06-04,19479,20395,19479,19649,17790,47200.0,2000000.0
1999-06-07,19730,20729,19730,19980,16870,48000.0,2000000.0
1999-06-08,20229,20728,19978,20730,19150,49800.0,2000000.0
1999-06-09,20978,21476,20228,20479,29640,49200.0,2000000.0
1999-06-10,20478,21144,20478,21147,16990,50800.0,2000000.0
1999-06-11,21309,21395,19980,19980,12830,48000.0,2000000.0
1999-06-14,19980,20686,19564,19563,5630,47000.0,2000000.0
1999-06-15,19643,19894,18312,18898,13740,45400.0,2000000.0
1999-06-16,19979,20352,19479,19730,10410,47400.0,2000000.0
1999-06-17,19645,20395,19187,19482,8880,46800.0,2000000.0
1999-06-18,19564,19980,19313,19563,10790,47000.0,2000000.0
1999-06-21,19645,19979,19230,19232,10560,46200.0,2000000.0
1999-06-22,19230,19730,19230,19563,9950,47000.0,2000000.0
1999-06-23,19729,20228,19312,19896,24460,47800.0,2000000.0
1999-06-24,19896,20313,19313,19563,12360,47000.0,2000000.0
1999-06-25,19980,19980,19397,19482,15860,46800.0,2000000.0
1999-06-28,20229,22393,20229,21647,101680,52000.0,2000000.0
1999-06-29,20978,22684,20978,22063,29140,53000.0,2000000.0
1999-06-30,21978,22560,21894,21978,24960,52800.0,2000000.0
1999-07-01,22099,24556,22099,24060,52530,57800.0,2000000.0
1999-07-02,24056,24972,23473,24143,37960,58000.0,2000000.0
1999-07-05,24056,24972,23808,24184,23660,58100.0,2000000.0
1999-07-06,23808,24141,22642,22893,23410,55000.0,2000000.0
1999-07-07,23308,23308,22309,22645,30550,54400.0,2000000.0
1999-07-08,22642,22894,22225,22477,28190,54000.0,2000000.0
1999-07-09,22892,25347,22725,24226,60260,58200.0,2000000.0
1999-07-12,24974,25474,24141,25226,61800,60600.0,2000000.0
1999-07-13,25724,25975,24974,25144,51970,60400.0,2000000.0
1999-07-14,25140,26555,24222,26557,51730,63800.0,2000000.0
1999-07-15,26722,26762,25721,26557,33040,63800.0,2000000.0
1999-07-16,27053,27472,26223,27390,29520,65800.0,2000000.0
1999-07-19,27473,27473,25809,25808,10260,62000.0,2000000.0
1999-07-20,25142,26225,24809,25309,14680,60800.0,2000000.0
1999-07-21,25056,25722,24556,25475,23710,61200.0,2000000.0
1999-07-22,24889,24971,24307,24976,9050,60000.0,2000000.0
1999-07-23,24309,25057,23309,24475,17660,58800.0,2000000.0
1999-07-26,22894,23310,21478,22852,24040,54900.0,2000000.0
