대한화섬(003830),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,50000,50800,48500,50800,8680,67462.0,1328000.0
1999-01-05,50700,51700,50700,51000,1890,67728.0,1328000.0
1999-01-06,51000,57000,50000,55000,8630,73040.0,1328000.0
1999-01-07,55000,55000,51500,53000,2940,70384.0,1328000.0
1999-01-08,52000,53000,51500,51500,7470,68392.0,1328000.0
1999-01-11,52200,53000,51000,53000,11010,70384.0,1328000.0
1999-01-12,53900,56300,53000,53900,20190,71579.0,1328000.0
1999-01-13,55000,61000,54200,58000,20910,77024.0,1328000.0
1999-01-14,58000,58100,55000,56500,7460,75032.0,1328000.0
1999-01-15,56400,57500,55100,56500,3930,75032.0,1328000.0
1999-01-18,57500,61000,57000,59500,19880,79016.0,1328000.0
1999-01-19,59600,61000,57500,58000,7460,77024.0,1328000.0
1999-01-20,59000,63000,54000,59000,24320,78352.0,1328000.0
1999-01-21,59900,61000,56100,56500,9740,75032.0,1328000.0
1999-01-22,55500,56500,52000,52500,9570,69720.0,1328000.0
1999-01-25,48000,54900,48000,51900,7480,68923.0,1328000.0
1999-01-26,49500,54500,49500,53500,11020,71048.0,1328000.0
1999-01-27,50100,58500,50100,54500,14970,72376.0,1328000.0
1999-01-28,55000,56000,55000,55400,6470,73571.0,1328000.0
1999-01-29,58000,58000,53700,55000,3740,73040.0,1328000.0
1999-02-01,54500,54500,54000,54000,2190,71712.0,1328000.0
1999-02-02,54400,55900,54000,55300,5040,73438.0,1328000.0
1999-02-03,55700,55700,54100,54900,1830,72907.0,1328000.0
1999-02-04,54000,54500,51500,51500,3180,68392.0,1328000.0
1999-02-05,51500,53400,51500,53400,630,70915.0,1328000.0
1999-02-08,53000,54400,53000,53900,250,71579.0,1328000.0
1999-02-09,54000,54000,50100,53000,2310,70384.0,1328000.0
1999-02-10,50500,52500,50500,52300,860,69454.0,1328000.0
1999-02-11,51000,52300,50500,51200,1060,67994.0,1328000.0
1999-02-12,51400,52900,51000,52900,2970,70251.0,1328000.0
1999-02-18,58000,58000,52100,52100,450,69189.0,1328000.0
1999-02-19,47200,52000,47200,51800,510,68790.0,1328000.0
1999-02-22,50100,52000,50100,51700,330,68658.0,1328000.0
1999-02-23,51700,51700,50800,51000,1120,67728.0,1328000.0
1999-02-24,51000,52800,51000,51500,80,68392.0,1328000.0
1999-02-25,50600,52700,50600,50700,1090,67330.0,1328000.0
1999-02-26,51000,51400,50000,51000,1080,67728.0,1328000.0
1999-03-02,50200,53000,48000,49000,1780,65072.0,1328000.0
1999-03-03,50000,50000,49000,50000,300,66400.0,1328000.0
1999-03-04,50000,51000,50000,51000,370,67728.0,1328000.0
