청호컴넷(012600),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,8489,8995,8433,8713,62130,49086.0,3166846.0
1999-01-05,8714,9501,8489,8995,139510,50670.0,3166846.0
1999-01-06,9276,10344,8995,10344,257250,58270.0,3166846.0
1999-01-07,10625,10963,10176,10288,241860,57953.0,3166846.0
1999-01-08,10007,10850,9838,10569,187570,59537.0,3166846.0
1999-01-11,10682,11750,10401,11187,257070,63020.0,3166846.0
1999-01-12,11581,12593,11300,12368,433400,69671.0,3166846.0
1999-01-13,12368,12593,10963,11243,260370,63337.0,3166846.0
1999-01-14,10682,10963,10119,10175,177400,57320.0,3166846.0
1999-01-15,10035,11694,10035,11693,207710,65870.0,3166846.0
1999-01-18,13436,13436,13211,13436,263680,75688.0,3166846.0
1999-01-19,15432,15432,15432,15432,68810,86930.0,3166846.0
1999-01-20,15432,16247,13127,13323,839950,75054.0,3166846.0
1999-01-21,13605,14280,13127,13492,521260,76004.0,3166846.0
1999-01-22,13661,13830,11469,11468,282670,64604.0,3166846.0
1999-01-25,11806,13155,10963,12087,435280,68087.0,3166846.0
1999-01-26,12368,12874,11441,11440,256730,64445.0,3166846.0
1999-01-27,11244,11722,10119,11440,171140,64445.0,3166846.0
1999-01-28,11441,12368,11159,11468,239670,64604.0,3166846.0
1999-01-29,11525,11975,11188,11749,145290,66187.0,3166846.0
1999-02-01,12424,12706,12143,12368,233980,69671.0,3166846.0
1999-02-02,12424,13436,12087,12789,419480,72046.0,3166846.0
1999-02-03,12790,12790,11244,11356,179480,63970.0,3166846.0
1999-02-04,11469,11806,11075,11581,215380,65237.0,3166846.0
1999-02-05,11806,11975,11581,11581,143730,65237.0,3166846.0
1999-02-08,11581,11750,10963,10962,114850,61753.0,3166846.0
1999-02-09,10682,10682,9838,9950,99390,56053.0,3166846.0
1999-02-10,9613,10963,9389,10231,120380,57637.0,3166846.0
1999-02-11,10288,10569,10119,10231,65610,57637.0,3166846.0
1999-02-12,10401,10625,10288,10512,77950,59220.0,3166846.0
1999-02-18,10625,10907,10344,10456,41670,58903.0,3166846.0
1999-02-19,10232,10232,9557,9950,52980,56053.0,3166846.0
1999-02-22,9445,9838,9332,9444,35400,53203.0,3166846.0
1999-02-23,9585,9838,9220,9219,40790,51936.0,3166846.0
1999-02-24,9445,9501,8939,8938,44750,50353.0,3166846.0
1999-02-25,8770,8826,8489,8545,40400,48136.0,3166846.0
1999-02-26,8545,9810,8545,9810,240150,55261.0,3166846.0
1999-03-02,10625,11159,10176,10850,342860,61120.0,3166846.0
1999-03-03,10401,11019,9951,10119,225830,57003.0,3166846.0
1999-03-04,10288,10794,9979,10175,128110,57320.0,3166846.0
1999-03-05,9895,10401,9895,9978,73300,56212.0,3166846.0
1999-03-08,10794,10794,10232,10456,104380,58903.0,3166846.0
1999-03-09,10513,11356,10344,10737,306940,60487.0,3166846.0
1999-03-10,10569,10907,10344,10372,69790,58428.0,3166846.0
1999-03-11,10569,10682,10401,10569,61010,59537.0,3166846.0
1999-03-12,10625,11019,10569,10569,89000,59537.0,3166846.0
1999-03-15,11131,11131,10682,10709,88880,60328.0,3166846.0
1999-03-16,10766,10935,10569,10794,57110,60803.0,3166846.0
1999-03-17,10850,11244,10682,10737,113930,60487.0,3166846.0
1999-03-18,10738,10963,10232,10231,48880,57637.0,3166846.0
1999-03-19,10119,10401,10119,10175,50660,57320.0,3166846.0
1999-03-22,10288,10738,10119,10737,92640,60487.0,3166846.0
1999-03-23,10625,10963,10457,10794,65190,60803.0,3166846.0
1999-03-24,10738,11075,10569,10569,82680,59537.0,3166846.0
1999-03-25,10569,10794,10401,10512,50030,59220.0,3166846.0
1999-03-26,10597,10907,10513,10569,53430,59537.0,3166846.0
1999-03-29,10569,10850,10401,10400,52360,58587.0,3166846.0
1999-03-30,10597,10682,10457,10625,38080,59853.0,3166846.0
1999-03-31,10682,11525,10513,11440,273340,64445.0,3166846.0
1999-04-01,11412,11665,11131,11440,153120,64445.0,3166846.0
1999-04-02,11525,11778,11300,11468,96810,64604.0,3166846.0
1999-04-06,11469,12087,11356,11806,125100,66504.0,3166846.0
1999-04-07,11806,12087,11581,11581,114390,65237.0,3166846.0
1999-04-08,11525,11918,11356,11524,81260,64920.0,3166846.0
1999-04-09,11525,11975,11356,11581,98160,65237.0,3166846.0
1999-04-12,11694,11806,11469,11468,80570,64604.0,3166846.0
1999-04-13,11441,11694,11075,11271,74000,63495.0,3166846.0
1999-04-14,11272,11581,11188,11412,72740,64287.0,3166846.0
1999-04-15,11441,12762,11441,12368,202710,69671.0,3166846.0
1999-04-16,12368,12593,11890,11918,122350,67137.0,3166846.0
1999-04-19,11918,12256,11694,11918,147270,67137.0,3166846.0
1999-04-20,11918,13099,11806,12649,284290,71254.0,3166846.0
1999-04-21,12790,13155,12368,12424,154720,69987.0,3166846.0
1999-04-22,12649,14055,12368,13211,498380,74421.0,3166846.0
1999-04-23,13605,13886,13043,13239,239840,74579.0,3166846.0
1999-04-26,13661,13746,13071,13661,194260,76954.0,3166846.0
1999-04-27,13717,15123,13717,14335,236580,80755.0,3166846.0
