메디파트너생명공학(015540),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,139240128,139240128,124835992,129637376,758400,4223.0,7821248.0
1999-01-05,139239968,144041296,134438640,144041296,1266600,4693.0,7821248.0
1999-01-06,134438832,144041648,132038152,134438832,1602300,4380.0,7821248.0
1999-01-07,134438992,144041840,134438992,139240416,714400,4536.0,7821248.0
1999-01-08,144041840,144041840,134438992,139240416,1258300,4536.0,7821248.0
1999-01-11,144041904,158446064,134438960,158445904,1971700,5162.0,7821248.0
1999-01-12,163247280,163247280,144041904,158445904,1024000,5162.0,7821248.0
1999-01-13,144041808,182452864,144041808,182452864,3174900,5905.0,7821248.0
1999-01-14,182452784,182452784,156045120,156045120,4620000,5084.0,7821248.0
1999-01-15,168048352,180051904,163246976,177651296,2841900,5788.0,7821248.0
1999-01-18,204058848,204058848,201658304,204059040,7098800,6648.0,7821248.0
1999-01-19,235267616,235267616,213661504,213661504,8226800,6961.0,7821248.0
1999-01-20,204059312,204059312,182452864,182452864,4434100,5944.0,7821248.0
1999-01-21,163247056,180052144,160846576,160846576,2483100,5201.0,7821248.0
1999-01-22,160846608,175250800,160846608,175250624,2910300,5710.0,7821248.0
1999-01-25,160846208,175250480,160846208,168048256,916700,5436.0,7821248.0
1999-01-26,189655040,189655040,165648320,165648160,1334900,5397.0,7821248.0
1999-01-27,170449344,170449344,156045216,163247360,1151000,5318.0,7821248.0
1999-01-28,165647696,170449056,165647696,170449056,1801600,5553.0,7821248.0
1999-01-29,172849664,175250272,170449056,170449056,1280100,5553.0,7821248.0
1999-02-01,170449280,187254304,170449280,182452864,2465900,5944.0,7821248.0
1999-02-02,182452400,182452400,170449056,170449056,2264300,5553.0,7821248.0
1999-02-03,175250560,175250560,160846272,172849840,2549000,5631.0,7821248.0
1999-02-04,168048432,177651264,160846272,172849840,1232400,5592.0,7821248.0
1999-02-05,172849664,172849664,170449120,172849840,943400,5592.0,7821248.0
1999-02-08,165648320,172850384,165648320,165648160,704800,5397.0,7821248.0
1999-02-09,165647488,165647488,141640688,144041296,2322800,4693.0,7821248.0
1999-02-10,122435256,146442096,122435256,146442096,1733900,4732.0,7821248.0
1999-02-11,146442192,151243568,146442192,148842880,742400,4810.0,7821248.0
1999-02-12,148843040,148843040,144041520,148842880,1306200,4849.0,7821248.0
1999-02-18,153644256,153644256,146442192,148842880,668200,4810.0,7821248.0
1999-02-19,144041872,144041872,139240528,141641200,662800,4615.0,7821248.0
1999-02-22,141641056,146442624,139240560,139240416,941400,4536.0,7821248.0
1999-02-23,136839504,144041648,132038152,134438832,527900,4341.0,7821248.0
1999-02-24,134439040,139240336,134439040,136839616,986700,4419.0,7821248.0
1999-02-25,139240096,139240096,127236592,127236592,676200,4145.0,7821248.0
1999-02-26,144041648,144041648,132038152,134438832,538300,4341.0,7821248.0
1999-03-02,136839472,141641056,127236904,136839616,488000,4419.0,7821248.0
1999-03-03,132038152,134438832,129637480,134438832,535700,4380.0,7821248.0
1999-03-04,136839472,136839472,132038200,136839616,553900,4458.0,7821248.0
1999-03-05,139240336,139240336,134439040,136839616,335400,4419.0,7821248.0
1999-03-08,136839296,146442096,136839296,146442096,1061900,4732.0,7821248.0
1999-03-09,146442624,146442624,139240560,139240416,843900,4536.0,7821248.0
1999-03-10,141641056,141641056,134438992,139240416,573200,4497.0,7821248.0
1999-03-11,139240128,153644256,139240128,148842880,2478200,4849.0,7821248.0
1999-03-12,151243488,151243488,141640688,146442096,1475500,4732.0,7821248.0
1999-03-15,141640688,148842720,141640688,146442096,1834100,4732.0,7821248.0
1999-03-16,146442096,151243488,146442096,146442096,1797500,4732.0,7821248.0
1999-03-17,146442688,146442688,141641344,141641200,1508600,4615.0,7821248.0
1999-03-18,141641344,141641344,136839840,141641200,1030200,4615.0,7821248.0
1999-03-19,139240336,144041616,136839472,136839616,1195800,4458.0,7821248.0
1999-03-22,136839472,139240336,134439040,136839616,514900,4419.0,7821248.0
1999-03-23,134438832,134438832,132038152,134438832,1014800,4341.0,7821248.0
1999-03-24,134438832,139240320,132038152,134438832,1135500,4341.0,7821248.0
1999-03-25,132038152,134438832,132038152,134438832,778200,4380.0,7821248.0
1999-03-26,132038152,134438832,132038152,134438832,500200,4341.0,7821248.0
1999-03-29,134438880,134438880,132038288,132038160,534600,4302.0,7821248.0
1999-03-30,132038152,134438832,129637480,134438832,497300,4341.0,7821248.0
1999-03-31,134438880,134438880,132038288,132038160,772600,4263.0,7821248.0
1999-04-01,129637504,132038136,124835992,129637376,743300,4184.0,7821248.0
1999-04-02,129637104,129637104,122435208,124835800,1134800,4067.0,7821248.0
1999-04-06,122435648,122435648,115233568,115233448,1667100,3754.0,7821248.0
1999-04-07,120034704,132038288,120034704,132038160,1183800,4302.0,7821248.0
1999-04-08,134438560,134438560,120034496,127236592,472900,4145.0,7821248.0
1999-04-09,127236744,129637504,127236744,129637376,820700,4223.0,7821248.0
1999-04-12,129637480,134438832,127236680,134438832,796800,4380.0,7821248.0
1999-04-13,127236904,136839472,124836176,136839616,975600,4458.0,7821248.0
1999-04-14,139240128,156045088,139240128,148842880,2742200,4810.0,7821248.0
1999-04-15,148843376,158446208,141641344,141641200,2936600,4575.0,7821248.0
1999-04-16,141640896,141640896,132038288,132038160,1414400,4302.0,7821248.0
1999-04-19,132038136,134438896,127236744,129637376,1440100,4184.0,7821248.0
1999-04-20,129637504,132038136,129637504,129637376,1325500,4223.0,7821248.0
1999-04-21,132038000,132038000,122435192,127236592,1194000,4106.0,7821248.0
1999-04-22,129637288,129637288,127236592,127236592,758300,4106.0,7821248.0
1999-04-23,124835896,127236592,124835896,127236592,998100,4145.0,7821248.0
1999-04-26,129637704,129637704,120035032,120034912,1197600,3911.0,7821248.0
1999-04-27,122435616,124836296,120035032,120034912,881300,3911.0,7821248.0
1999-04-28,122435480,122435480,117634112,117634232,1087400,3832.0,7821248.0
1999-04-29,120034648,134438832,120034648,134438832,2326000,4380.0,7821248.0
1999-04-30,134438560,134438560,127236592,127236592,1795000,4145.0,7821248.0
1999-05-03,129637504,134438896,127236744,129637376,1180200,4223.0,7821248.0
1999-05-04,132038200,136839472,132038200,136839616,3413800,4458.0,7821248.0
1999-05-06,144041904,158446064,144041904,158445904,4485100,5123.0,7821248.0
1999-05-07,156044688,156044688,139239968,144041296,4166800,4693.0,7821248.0
1999-05-10,141641056,141641056,134438992,139240416,2009000,4497.0,7821248.0
