한일현대시멘트(006390),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,34885,37124,34885,36381,35490,43920.0,3600000.0
1999-01-05,37277,38171,32797,36083,71270,43560.0,3600000.0
1999-01-06,36077,38760,36077,38468,101070,46440.0,3600000.0
1999-01-07,39660,39960,38021,38766,88760,46800.0,3600000.0
1999-01-08,38472,38765,36676,38766,56050,46800.0,3600000.0
1999-01-11,38765,38765,37277,38766,71300,46800.0,3600000.0
1999-01-12,39654,42931,38759,41450,143380,50040.0,3600000.0
1999-01-13,40550,42188,39355,40257,54250,48600.0,3600000.0
1999-01-14,39660,39660,35782,36083,56730,43560.0,3600000.0
1999-01-15,35183,37565,35183,36679,36460,44280.0,3600000.0
1999-01-18,38616,40849,37721,37723,46300,45540.0,3600000.0
1999-01-19,38019,38470,35936,37126,34360,44820.0,3600000.0
1999-01-20,36080,37124,35486,35486,27310,42840.0,3600000.0
1999-01-21,34884,34884,30712,31908,28480,38520.0,3600000.0
1999-01-22,31012,31306,29524,29969,44640,36180.0,3600000.0
1999-01-25,32209,32209,29676,29820,36630,36000.0,3600000.0
1999-01-26,29665,32205,28620,28628,42460,34560.0,3600000.0
1999-01-27,28620,29221,28204,28628,62000,34560.0,3600000.0
1999-01-28,29526,31014,29526,30715,87700,37080.0,3600000.0
1999-01-29,31014,31014,29526,29820,24920,36000.0,3600000.0
1999-02-01,30709,31160,29522,30417,25290,36720.0,3600000.0
1999-02-02,31306,31306,29217,29224,37870,35280.0,3600000.0
1999-02-03,29072,29223,27195,28657,25160,34596.0,3600000.0
1999-02-04,28656,29223,27734,27763,18940,33516.0,3600000.0
1999-02-05,27878,28895,27467,27763,22340,33516.0,3600000.0
1999-02-08,28331,29014,27764,28031,24640,33840.0,3600000.0
1999-02-09,28027,28027,25343,26689,14880,32220.0,3600000.0
1999-02-10,24750,26839,24750,26123,51450,31536.0,3600000.0
1999-02-11,27136,28297,26126,27137,31660,32760.0,3600000.0
1999-02-12,27286,28003,26841,27465,32650,33156.0,3600000.0
1999-02-18,29486,29486,26536,26838,27880,32400.0,3600000.0
1999-02-19,26682,26682,24750,25884,33420,31248.0,3600000.0
1999-02-22,25196,25339,24451,24453,42520,29520.0,3600000.0
1999-02-23,24451,25196,24151,24453,27610,29520.0,3600000.0
1999-02-24,24594,25345,24594,24602,51800,29700.0,3600000.0
1999-02-25,24453,25285,24029,24632,33680,29736.0,3600000.0
1999-02-26,24454,25348,24454,25288,18820,30528.0,3600000.0
1999-03-02,26240,26957,25496,26242,36580,31680.0,3600000.0
1999-03-03,26832,27133,26532,26540,44140,32040.0,3600000.0
1999-03-04,26241,27402,25940,26809,23580,32364.0,3600000.0
1999-03-05,26569,27279,26535,27137,19840,32760.0,3600000.0
1999-03-08,27137,29165,27137,29105,39990,35136.0,3600000.0
1999-03-09,29098,29814,28327,28628,32100,34560.0,3600000.0
1999-03-10,28628,29222,28328,29134,22760,35172.0,3600000.0
1999-03-11,29223,31011,28929,29791,53200,35964.0,3600000.0
1999-03-12,30409,31904,29815,31311,64560,37800.0,3600000.0
1999-03-15,32792,33393,31303,31311,59410,37800.0,3600000.0
1999-03-16,31307,32209,31015,31610,38650,38160.0,3600000.0
1999-03-17,31906,32801,30712,31013,36630,37440.0,3600000.0
1999-03-18,28382,31010,28382,29284,35120,35352.0,3600000.0
1999-03-19,29375,30421,28631,29820,30690,36000.0,3600000.0
1999-03-22,29967,30412,29524,30119,23790,36360.0,3600000.0
1999-03-23,29818,31012,29367,29552,58250,35676.0,3600000.0
1999-03-24,29818,30412,29524,30119,55000,36360.0,3600000.0
1999-03-25,31306,34590,31306,34592,242560,41760.0,3600000.0
1999-03-26,34590,34884,32794,34592,81950,41760.0,3600000.0
1999-03-29,33999,36683,33398,35188,88520,42480.0,3600000.0
1999-03-30,35194,35638,33999,35188,48010,42480.0,3600000.0
1999-03-31,35784,36679,35183,35784,64120,43200.0,3600000.0
1999-04-01,35782,36383,35187,36083,52750,43560.0,3600000.0
1999-04-02,37275,37868,35786,36381,89350,43920.0,3600000.0
1999-04-06,36676,39359,36082,38766,113190,46800.0,3600000.0
1999-04-07,39956,39956,38468,38468,102690,46440.0,3600000.0
1999-04-08,37725,38469,37275,38170,55560,46080.0,3600000.0
1999-04-09,38765,38765,37277,37872,76450,45720.0,3600000.0
1999-04-12,37876,38763,36981,37275,71720,45000.0,3600000.0
1999-04-13,37277,38171,36082,36977,68420,44640.0,3600000.0
1999-04-14,36972,38467,36378,37574,65130,45360.0,3600000.0
1999-04-15,37566,39354,37566,39363,96340,47520.0,3600000.0
1999-04-16,39357,39357,36974,38170,69150,46080.0,3600000.0
1999-04-19,37869,39214,36981,39065,99470,47160.0,3600000.0
1999-04-20,38166,41150,38166,40407,94040,48780.0,3600000.0
1999-04-21,40556,42339,39955,41152,121500,49680.0,3600000.0
1999-04-22,42342,44138,41304,42643,136020,51480.0,3600000.0
1999-04-23,43232,46516,42638,45029,229490,54360.0,3600000.0
1999-04-26,45024,45024,43535,44731,67870,54000.0,3600000.0
1999-04-27,44727,47704,44727,47713,151050,57600.0,3600000.0
1999-04-28,47704,48606,45916,47713,78590,57600.0,3600000.0
1999-04-29,46517,49200,46216,47713,64410,57600.0,3600000.0
1999-04-30,47708,53676,46519,53677,72070,64800.0,3600000.0
1999-05-03,53373,53673,50990,53080,106680,64080.0,3600000.0
1999-05-04,53078,54272,51589,52484,42250,63360.0,3600000.0
1999-05-06,53082,54870,51586,52782,88420,63720.0,3600000.0
1999-05-07,53678,54566,50844,51589,111250,62280.0,3600000.0
1999-05-10,51586,54563,50992,53677,157770,64800.0,3600000.0
1999-05-11,54572,57256,53077,55168,182460,66600.0,3600000.0
1999-05-12,53671,54566,52183,53229,73040,64260.0,3600000.0
1999-05-13,53523,53673,50696,52186,69070,63000.0,3600000.0
1999-05-14,50691,50992,48158,48309,49910,58320.0,3600000.0
1999-05-17,47709,47709,44131,47116,49110,56880.0,3600000.0
1999-05-18,46812,47263,45625,46520,88570,56160.0,3600000.0
1999-05-19,46516,47110,45772,45923,18820,55440.0,3600000.0
1999-05-20,47113,47113,42941,44731,52210,54000.0,3600000.0
1999-05-21,41748,44138,41748,42643,7230,51480.0,3600000.0
1999-05-24,42642,42935,40852,40854,11410,49320.0,3600000.0
1999-05-25,41444,41444,39062,40257,23710,48600.0,3600000.0
1999-05-26,41748,44282,40997,44283,23730,53460.0,3600000.0
1999-05-27,45323,46810,44728,44880,59570,54180.0,3600000.0
1999-05-28,45624,46218,42941,44731,16010,54000.0,3600000.0
1999-05-31,45178,49793,45178,45923,109170,55440.0,3600000.0
1999-06-01,46216,47110,44127,45029,61090,54360.0,3600000.0
1999-06-02,45917,46068,44730,45625,41480,55080.0,3600000.0
1999-06-03,45624,47413,44730,44731,58710,54000.0,3600000.0
1999-06-04,46220,46220,44131,44432,18350,53640.0,3600000.0
1999-06-07,44732,46364,44581,46222,38750,55800.0,3600000.0
1999-06-08,46811,48155,46216,47713,84480,57600.0,3600000.0
1999-06-09,49202,50690,46219,46520,41280,56160.0,3600000.0
1999-06-10,46216,47110,45322,46818,26490,56520.0,3600000.0
1999-06-11,47716,49205,46078,46072,32860,55620.0,3600000.0
1999-06-14,46366,47411,44728,45029,11570,54360.0,3600000.0
1999-06-15,44730,46518,44730,45625,76350,55080.0,3600000.0
1999-06-16,46216,49200,45615,47713,115030,57600.0,3600000.0
1999-06-17,48905,54272,48905,50695,117990,61200.0,3600000.0
1999-06-18,50694,52190,49205,50695,34130,61200.0,3600000.0
1999-06-21,50994,51588,49204,49800,26030,60120.0,3600000.0
1999-06-22,49201,51434,49201,51142,57230,61740.0,3600000.0
1999-06-23,51294,51888,43537,43538,40020,52560.0,3600000.0
1999-06-24,49945,49945,48157,48458,54240,58500.0,3600000.0
1999-06-25,48310,48610,46221,48011,31030,57960.0,3600000.0
1999-06-28,53077,55166,50693,55168,124350,66600.0,3600000.0
1999-06-29,57844,62617,56657,58746,311110,70920.0,3600000.0
1999-06-30,59490,61128,57550,58746,99040,70920.0,3600000.0
1999-07-01,58445,62023,56950,61430,124480,74160.0,3600000.0
1999-07-02,62921,65604,61726,65605,131970,79200.0,3600000.0
1999-07-05,67095,72161,65899,71569,157970,86400.0,3600000.0
1999-07-06,74549,74549,66799,70078,101310,84600.0,3600000.0
1999-07-07,69777,72159,67092,70972,89220,85680.0,3600000.0
1999-07-08,69183,73955,68582,70078,103620,84600.0,3600000.0
1999-07-09,70074,70074,65602,67692,68310,81720.0,3600000.0
1999-07-12,65897,67692,64114,64710,120810,78120.0,3600000.0
1999-07-13,64113,64405,60528,60535,55660,73080.0,3600000.0
1999-07-14,61124,62619,59041,61132,61360,73800.0,3600000.0
1999-07-15,61128,61722,57550,59641,35730,72000.0,3600000.0
1999-07-16,58148,63516,58148,63517,54240,76680.0,3600000.0
1999-07-19,64411,64411,59938,62623,45480,75600.0,3600000.0
1999-07-20,62619,63213,60236,61132,36880,73800.0,3600000.0
1999-07-21,61133,61133,56660,58150,30960,70200.0,3600000.0
1999-07-22,58146,58146,53673,56659,40620,68400.0,3600000.0
1999-07-23,56655,58144,52326,52335,38160,63180.0,3600000.0
1999-07-26,51295,52332,46814,47116,34550,56880.0,3600000.0
1999-07-27,46519,50097,46519,50098,58040,60480.0,3600000.0
1999-07-28,56361,57406,51138,55168,68400,66600.0,3600000.0
1999-07-29,55166,56061,53378,54273,63040,65520.0,3600000.0
1999-07-30,54561,56057,50095,53080,47610,64080.0,3600000.0
1999-08-02,53674,54868,51290,54869,59490,66240.0,3600000.0
1999-08-03,57847,59636,54863,55615,68750,67140.0,3600000.0
1999-08-04,56657,56657,53674,54869,36860,66240.0,3600000.0
1999-08-05,54871,54871,51887,51887,32720,62640.0,3600000.0
1999-08-06,50692,53074,49797,50993,25210,61560.0,3600000.0
1999-08-09,50100,50694,49356,50695,26620,61200.0,3600000.0
1999-08-10,51584,51584,49201,50396,13600,60840.0,3600000.0
1999-08-11,50693,51588,49649,49800,52280,60120.0,3600000.0
1999-08-12,49944,51883,49944,50546,18720,61020.0,3600000.0
1999-08-13,50691,50991,48007,49204,44170,59400.0,3600000.0
1999-08-16,48009,49799,47709,48011,25240,57960.0,3600000.0
1999-08-17,48606,50688,47110,47713,23020,57600.0,3600000.0
1999-08-18,46822,47716,45026,46072,18810,55620.0,3600000.0
1999-08-19,46221,50693,45620,48905,34720,59040.0,3600000.0
1999-08-20,49202,49796,48608,49204,22730,59400.0,3600000.0
1999-08-23,49494,50990,49201,50396,31800,60840.0,3600000.0
1999-08-24,50995,51889,50394,50695,22540,61200.0,3600000.0
1999-08-25,50692,51587,50391,50993,36000,61560.0,3600000.0
1999-08-26,52185,52185,50097,50098,16270,60480.0,3600000.0
1999-08-27,49200,50095,48606,48607,29480,58680.0,3600000.0
1999-08-30,49798,50099,48603,48905,22670,59040.0,3600000.0
1999-08-31,48904,49498,47115,47116,34180,56880.0,3600000.0
1999-09-01,47707,47707,45625,46520,15000,56160.0,3600000.0
1999-09-02,46218,46218,44436,44731,28270,54000.0,3600000.0
1999-09-03,43533,44434,42337,43240,20080,52200.0,3600000.0
1999-09-06,43535,44731,43242,44581,17320,53820.0,3600000.0
1999-09-07,45024,46218,44730,45625,15660,55080.0,3600000.0
1999-09-08,45772,46516,44127,44134,15680,53280.0,3600000.0
1999-09-09,44127,45321,43232,44134,13250,53280.0,3600000.0
1999-09-10,44430,45618,44129,45476,49280,54900.0,3600000.0
1999-09-13,46070,46220,40253,44432,23620,53640.0,3600000.0
1999-09-14,42939,44728,42939,43985,12960,53100.0,3600000.0
1999-09-15,43537,44439,42643,42643,12620,51480.0,3600000.0
1999-09-16,42637,43231,42336,42345,18680,51120.0,3600000.0
1999-09-17,42036,42036,40547,41450,15460,50040.0,3600000.0
1999-09-20,41747,42491,40251,41748,10680,50400.0,3600000.0
1999-09-21,42486,42637,41742,42345,18740,51120.0,3600000.0
1999-09-22,43243,43243,41153,41748,11700,50400.0,3600000.0
1999-09-27,42343,42343,40553,40705,8830,49140.0,3600000.0
1999-09-28,40249,41151,39061,39363,12950,47520.0,3600000.0
1999-09-29,40254,40254,37571,38766,25620,46800.0,3600000.0
1999-09-30,37865,38759,37721,37723,7360,45540.0,3600000.0
1999-10-01,36382,38765,34886,38766,23190,46800.0,3600000.0
1999-10-04,38763,38763,36380,36381,6160,43920.0,3600000.0
1999-10-05,35785,37874,33695,33697,15170,40680.0,3600000.0
1999-10-06,32503,35638,28925,28926,31650,34920.0,3600000.0
1999-10-07,33242,33242,33242,33250,28660,40140.0,3600000.0
1999-10-08,38170,38170,36080,38170,89080,46080.0,3600000.0
1999-10-11,39507,40852,38169,40108,86990,48420.0,3600000.0
1999-10-12,41745,44728,40556,41152,108530,49680.0,3600000.0
1999-10-13,41747,44131,41153,41748,91570,50400.0,3600000.0
1999-10-14,41744,43533,41150,42196,48130,50940.0,3600000.0
1999-10-15,43087,43231,41148,41450,33310,50040.0,3600000.0
1999-10-18,40550,41444,39662,40257,46900,48600.0,3600000.0
1999-10-19,40853,43981,40253,43538,54020,52560.0,3600000.0
1999-10-20,45024,46369,43835,44731,99440,54000.0,3600000.0
1999-10-21,44728,45616,42038,42196,37830,50940.0,3600000.0
1999-10-22,41899,43687,41447,42643,17230,51480.0,3600000.0
1999-10-25,43088,44727,41443,43240,42470,52200.0,3600000.0
1999-10-26,41743,43239,41150,43240,40420,52200.0,3600000.0
1999-10-27,43242,43242,41897,41898,38180,50580.0,3600000.0
1999-10-28,41748,42943,41447,42643,35170,51480.0,3600000.0
1999-10-29,42638,44577,42638,44134,105210,53280.0,3600000.0
1999-11-01,44136,45195,42368,44840,67110,45720.0,3600000.0
1999-11-02,44139,44842,42719,43075,44570,43920.0,3600000.0
1999-11-03,43425,44136,42367,42545,36330,43380.0,3600000.0
1999-11-04,42714,48190,42544,45193,103650,46080.0,3600000.0
1999-11-05,45361,46598,44658,45370,75860,46260.0,3600000.0
1999-11-08,46252,49428,44840,47135,144790,48060.0,3600000.0
1999-11-09,49426,49426,47309,48724,87820,49680.0,3600000.0
1999-11-10,49427,49783,47311,47312,60030,48240.0,3600000.0
1999-11-11,46958,48016,46077,46959,54550,47880.0,3600000.0
1999-11-12,48717,48717,44483,45017,66830,45900.0,3600000.0
1999-11-15,45544,46424,43426,43428,44490,44280.0,3600000.0
1999-11-16,44127,44837,43423,43958,35930,44820.0,3600000.0
1999-11-17,44131,45190,42015,42016,48920,42840.0,3600000.0
1999-11-18,40598,43425,40598,41486,34740,42300.0,3600000.0
1999-11-19,42716,44839,41486,44840,102120,45720.0,3600000.0
1999-11-22,44837,45540,43069,44134,49270,45000.0,3600000.0
1999-11-23,44658,44658,42713,42898,26910,43740.0,3600000.0
1999-11-24,43076,43076,40953,41310,51390,42120.0,3600000.0
1999-11-25,42367,42367,40776,42369,42290,43200.0,3600000.0
1999-11-26,40599,43426,39363,43428,90810,44280.0,3600000.0
1999-11-29,42370,42903,39543,39544,35010,40320.0,3600000.0
1999-11-30,39539,40597,38836,39191,52680,39960.0,3600000.0
1999-12-01,39361,41485,38836,39191,41840,39960.0,3600000.0
1999-12-02,39364,39897,38128,38485,46420,39240.0,3600000.0
1999-12-03,38481,39539,37778,37779,72370,38520.0,3600000.0
1999-12-06,38833,38833,37072,37073,39490,37800.0,3600000.0
1999-12-07,37068,37245,34664,35307,36560,36000.0,3600000.0
1999-12-08,35308,35308,32480,33895,30490,34560.0,3600000.0
1999-12-09,32869,34774,32869,34072,35580,34740.0,3600000.0
1999-12-10,34428,38663,33616,38308,111670,39060.0,3600000.0
1999-12-13,40597,43949,40597,43958,142800,44820.0,3600000.0
1999-12-14,44662,46956,42361,43605,200810,44460.0,3600000.0
1999-12-15,43603,43603,38100,40218,78080,34200.0,3600000.0
1999-12-16,40641,41487,38100,39371,61860,33480.0,3600000.0
1999-12-17,38101,40006,37083,37466,58360,31860.0,3600000.0
1999-12-20,37888,38100,35983,35984,49670,30600.0,3600000.0
1999-12-21,35560,36406,33443,33868,46140,28800.0,3600000.0
1999-12-22,32173,33020,29250,32174,63760,27360.0,3600000.0
1999-12-23,32638,33867,32173,32174,39910,27360.0,3600000.0
1999-12-24,29841,33228,29841,32894,41250,27972.0,3600000.0
1999-12-27,32889,34289,32800,33402,49890,28404.0,3600000.0
1999-12-28,33396,34290,32761,34291,42700,29160.0,3600000.0
2000-01-04,29633,35895,29633,33868,25970,28800.0,3600000.0
2000-01-05,34713,34713,32173,32174,30170,27360.0,3600000.0
2000-01-06,33019,33019,31114,31116,25920,26460.0,3600000.0
2000-01-07,30905,32639,30693,32005,18980,27216.0,3600000.0
2000-01-10,31327,31750,29967,30693,68420,53244.0,7344000.0
2000-01-11,30481,30481,29251,29253,61500,50747.0,7344000.0
2000-01-12,28787,28787,27517,27517,96750,47736.0,7344000.0
2000-01-13,26247,29251,25865,27517,115610,47736.0,7344000.0
2000-01-14,28700,30481,27812,29041,151630,50380.0,7344000.0
2000-01-17,29422,29633,27729,27729,91310,48103.0,7344000.0
2000-01-18,27980,28192,26246,26459,61530,45900.0,7344000.0
2000-01-19,25652,25905,24129,24131,84130,41861.0,7344000.0
2000-01-20,24170,24170,22518,23284,122950,40392.0,7344000.0
2000-01-21,23494,24977,22477,23919,137400,41494.0,7344000.0
2000-01-24,24169,25139,23324,24342,116590,42228.0,7344000.0
2000-01-25,23959,26458,23706,24342,112340,42228.0,7344000.0
2000-01-26,24554,26247,24130,26247,149420,45533.0,7344000.0
2000-01-27,26669,29209,26458,29211,201670,50674.0,7344000.0
2000-01-28,29633,30480,26751,27729,115330,48103.0,7344000.0
2000-01-31,28144,29543,27344,29168,111150,50600.0,7344000.0
2000-02-01,29210,30220,27517,28787,89040,49939.0,7344000.0
2000-02-02,27978,29542,27978,28914,80770,50160.0,7344000.0
2000-02-03,30271,30271,29001,29507,75270,51188.0,7344000.0
2000-02-07,28998,29845,28657,28787,54130,49939.0,7344000.0
2000-02-08,28446,28699,27387,27517,89600,47736.0,7344000.0
2000-02-09,26751,27517,25611,25824,92700,44798.0,7344000.0
2000-02-10,25612,25824,24341,24554,74720,42595.0,7344000.0
