코오롱플라스틱(138490),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-06-15,6600,7556,6226,6839,18054937,207350.0,29000000.0
2011-06-16,6705,7862,6609,7863,7075944,238380.0,29000000.0
2011-06-17,8321,9039,8226,9039,3576130,274050.0,29000000.0
2011-06-20,9852,10378,9220,10378,7025866,314650.0,29000000.0
2011-06-21,10617,11430,9708,10235,11772473,310300.0,29000000.0
2011-06-22,10473,10760,9947,10474,5453047,317550.0,29000000.0
2011-06-23,11334,11526,10091,10091,5031628,305950.0,29000000.0
2011-06-24,9995,10186,8694,8877,5593836,269120.0,29000000.0
2011-06-27,8742,9000,8254,8322,2980120,252300.0,29000000.0
2011-06-28,8503,8733,7604,7719,3421268,234030.0,29000000.0
2011-06-29,7795,8130,7326,7710,3502755,233740.0,29000000.0
2011-06-30,7709,8034,7546,7930,2989312,240410.0,29000000.0
2011-07-01,7843,8082,7700,7796,2043016,236350.0,29000000.0
2011-07-04,7910,8034,7680,7700,1187676,233450.0,29000000.0
2011-07-05,7795,8446,7709,8255,4230582,250270.0,29000000.0
2011-07-06,8321,8379,8082,8370,1212315,253750.0,29000000.0
2011-07-07,8398,8666,8140,8159,1535707,247370.0,29000000.0
2011-07-08,8245,8254,7795,8016,945531,243020.0,29000000.0
2011-07-11,7996,8015,7757,7805,484098,236640.0,29000000.0
2011-07-12,7652,7738,7231,7289,848450,220980.0,29000000.0
2011-07-13,7326,7566,7269,7509,596079,227650.0,29000000.0
2011-07-14,7413,7604,7317,7557,439923,229100.0,29000000.0
2011-07-15,7508,7872,7508,7872,905525,238670.0,29000000.0
2011-07-18,7986,8226,7910,7977,695666,241860.0,29000000.0
2011-07-19,7910,7939,7566,7652,720032,232000.0,29000000.0
2011-07-20,7843,7843,7422,7442,591167,225620.0,29000000.0
2011-07-21,7470,7537,7173,7203,600436,218370.0,29000000.0
2011-07-22,7231,7326,6915,7069,890930,214310.0,29000000.0
2011-07-25,7087,7279,6963,7117,416199,215760.0,29000000.0
2011-07-26,7087,7403,7078,7193,693954,218080.0,29000000.0
2011-07-27,7260,7260,7097,7203,384631,218370.0,29000000.0
2011-07-28,7154,7709,6992,7413,968531,224750.0,29000000.0
2011-07-29,7499,7537,7135,7174,488371,217500.0,29000000.0
2011-08-01,7269,7346,7154,7203,275674,218370.0,29000000.0
2011-08-02,7154,7154,6915,6935,380162,210250.0,29000000.0
2011-08-03,6676,6886,6494,6667,329570,202130.0,29000000.0
2011-08-04,6753,6820,6169,6179,410759,187340.0,29000000.0
2011-08-05,5471,5786,5461,5624,503288,170520.0,29000000.0
2011-08-08,5413,5566,4782,4983,735432,151090.0,29000000.0
2011-08-09,4591,5729,4495,5730,1093349,173710.0,29000000.0
