대양금속(009190),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,97908,104305,97908,99341,242500,42560.0,2728200.0
1999-01-05,101895,101895,96773,100615,81000,43106.0,2728200.0
1999-01-06,100500,110665,97335,108257,481600,46379.0,2728200.0
1999-01-07,113872,113872,104914,105073,95000,45015.0,2728200.0
1999-01-08,101744,102347,98585,99341,203700,42560.0,2728200.0
1999-01-11,99597,112701,99597,111122,436500,47607.0,2728200.0
1999-01-12,110647,110647,102371,106665,125000,45697.0,2728200.0
1999-01-13,107009,114009,107009,108893,569000,46652.0,2728200.0
1999-01-14,108889,108889,101206,101889,199200,43651.0,2728200.0
1999-01-15,101762,104921,98603,103799,197000,44470.0,2728200.0
1999-01-18,106863,111303,102351,107620,449500,46107.0,2728200.0
1999-01-19,108071,109346,103625,107620,228500,46107.0,2728200.0
1999-01-20,108191,108868,105032,105709,165800,45288.0,2728200.0
1999-01-21,107496,107496,98617,101252,248700,43378.0,2728200.0
1999-01-22,90418,101863,90418,98705,51900,42287.0,2728200.0
1999-01-25,96767,96767,93603,94884,70900,40650.0,2728200.0
1999-01-26,90426,96749,90426,90426,113500,38740.0,2728200.0
1999-01-27,90432,92018,84712,92018,99800,39422.0,2728200.0
1999-01-28,92217,95376,91912,92973,75600,39832.0,2728200.0
1999-01-29,92202,97922,92202,96794,133200,41469.0,2728200.0
1999-02-01,97929,98606,94087,95521,76500,40923.0,2728200.0
1999-02-02,94764,95368,93185,95521,140600,40923.0,2728200.0
1999-02-03,95376,95376,90632,92973,68800,39832.0,2728200.0
1999-02-04,90752,91051,85326,85332,53300,36558.0,2728200.0
1999-02-05,85807,89643,85807,88516,614400,37922.0,2728200.0
1999-02-08,89465,90441,85922,86605,255100,37104.0,2728200.0
1999-02-09,85292,85292,82737,84695,117300,36285.0,2728200.0
1999-02-10,80773,85816,80773,85969,33500,36831.0,2728200.0
1999-02-11,83055,87873,83055,87879,116600,37649.0,2728200.0
1999-02-12,87096,89054,85816,85969,130000,36831.0,2728200.0
1999-02-18,89657,94779,87779,88834,462400,38058.0,2728200.0
1999-02-19,87082,88363,82039,88516,71400,37922.0,2728200.0
1999-02-22,87096,88371,84913,85969,51500,36831.0,2728200.0
1999-02-23,86599,87874,83435,83740,148400,35876.0,2728200.0
1999-02-24,83740,84716,79594,79600,83100,34102.0,2728200.0
1999-02-25,79607,79607,77649,78327,62700,33557.0,2728200.0
1999-02-26,78319,82759,78319,79600,82900,34102.0,2728200.0
1999-03-02,80887,85632,80887,81192,57400,34785.0,2728200.0
1999-03-03,82632,82632,81351,82785,75500,35467.0,2728200.0
1999-03-04,82632,83309,82034,82785,98700,35467.0,2728200.0
1999-03-05,81456,85597,81456,84695,161800,36285.0,2728200.0
1999-03-08,85788,91581,83904,88197,521000,37786.0,2728200.0
1999-03-09,88172,91037,84708,87879,324200,37649.0,2728200.0
1999-03-10,86599,88483,84038,86605,86700,37104.0,2728200.0
1999-03-11,86493,87096,84609,85969,190800,36831.0,2728200.0
1999-03-12,85915,89153,85915,87879,310200,37649.0,2728200.0
1999-03-15,88370,90931,88370,90108,214300,38604.0,2728200.0
1999-03-16,88482,90738,88482,90745,173800,38877.0,2728200.0
1999-03-17,92185,92185,88045,88197,173200,37786.0,2728200.0
1999-03-18,89167,89771,85326,85332,84800,36558.0,2728200.0
1999-03-19,84708,87873,84708,87879,98000,37649.0,2728200.0
1999-03-22,87759,87759,85497,85650,26100,36694.0,2728200.0
1999-03-23,86792,86792,82956,85969,48600,36831.0,2728200.0
1999-03-24,85504,88065,84602,87242,88000,37376.0,2728200.0
1999-03-25,87746,90910,87069,91063,196900,39013.0,2728200.0
1999-03-26,91900,92205,88363,88516,167000,37922.0,2728200.0
1999-03-29,91907,91907,88370,90108,156900,38604.0,2728200.0
1999-03-30,89152,90433,87872,89153,226200,38195.0,2728200.0
1999-03-31,88363,88363,86783,88516,172400,37922.0,2728200.0
1999-04-01,87872,89451,87195,89153,193200,38195.0,2728200.0
1999-04-02,87752,92198,87752,89789,404000,38468.0,2728200.0
1999-04-06,89736,91694,89138,91700,100200,39286.0,2728200.0
1999-04-07,91605,96648,91605,95521,1126300,40923.0,2728200.0
1999-04-08,96449,98028,95467,97431,318100,41741.0,2728200.0
1999-04-09,97417,99978,95459,99978,556700,42833.0,2728200.0
1999-04-12,99871,104914,99871,105073,496900,45015.0,2728200.0
1999-04-13,102845,105028,101186,101570,153900,43515.0,2728200.0
1999-04-14,101451,105585,99189,102207,279400,43788.0,2728200.0
1999-04-15,104914,105219,101755,105073,425400,45015.0,2728200.0
1999-04-16,102161,103740,99978,99978,189300,42833.0,2728200.0
1999-04-19,99879,100477,96641,96794,173900,41469.0,2728200.0
1999-04-20,99186,108071,99186,107620,510600,46107.0,2728200.0
1999-04-21,107502,123387,104343,123540,1125300,52927.0,2728200.0
1999-04-22,118438,122274,117158,119719,276100,51290.0,2728200.0
1999-04-23,121012,133738,120335,124177,788900,53200.0,2728200.0
1999-04-26,128483,128483,120884,127361,159600,54564.0,2728200.0
1999-04-27,128497,132942,124661,124814,218100,53473.0,2728200.0
1999-04-28,124745,136868,124745,130545,388900,55928.0,2728200.0
1999-04-29,133721,136880,130557,135002,449100,57838.0,2728200.0
1999-04-30,136880,136880,130557,135002,248400,57838.0,2728200.0
1999-05-03,129167,142491,129167,142644,274100,61112.0,2728200.0
1999-05-04,146325,146325,127202,127361,295400,54564.0,2728200.0
1999-05-06,140062,146464,140062,146465,780300,62749.0,2728200.0
1999-05-07,153735,162315,147710,152833,1468200,65477.0,2728200.0
1999-05-10,159043,175605,159043,175758,1257200,75298.0,2728200.0
1999-05-11,178890,184689,172566,173847,1181200,74480.0,2728200.0
1999-05-12,175001,199466,170488,199320,2591100,85393.0,2728200.0
1999-05-13,224638,228778,210033,228931,2304700,98079.0,2728200.0
1999-05-14,222875,248028,197428,200593,2113700,85938.0,2728200.0
1999-05-17,191585,200470,170511,170663,1349700,73116.0,2728200.0
1999-05-18,161626,170511,155906,170663,1413300,73116.0,2728200.0
1999-05-19,175127,189732,173847,173847,1615800,74480.0,2728200.0
1999-05-20,175602,176279,162205,167479,738600,71752.0,2728200.0
1999-05-21,168734,175137,162337,164295,817900,70388.0,2728200.0
1999-05-24,162208,168007,153329,155062,524100,66432.0,2728200.0
1999-05-25,154908,162207,152048,159201,610700,68205.0,2728200.0
1999-05-26,161600,173040,161600,168753,842600,72297.0,2728200.0
1999-05-27,168628,171189,165469,166524,815700,71342.0,2728200.0
1999-05-28,164272,176992,162314,176395,1185800,75571.0,2728200.0
1999-05-31,183910,197313,178190,185947,1308600,79663.0,2728200.0
1999-06-01,185769,192769,181329,182763,1000700,78299.0,2728200.0
1999-06-02,187852,190413,178894,180852,709500,77481.0,2728200.0
1999-06-03,184667,187149,176990,184673,790800,79118.0,2728200.0
1999-06-04,178284,188449,178284,182126,558400,78027.0,2728200.0
1999-06-07,184681,186565,179564,182126,497300,78027.0,2728200.0
1999-06-08,183009,185271,182106,184673,556400,79118.0,2728200.0
1999-06-09,189608,203609,185168,191041,1137100,81846.0,2728200.0
1999-06-10,190890,192774,185773,189768,439200,81300.0,2728200.0
1999-06-11,187729,200450,187729,191041,545900,81846.0,2728200.0
1999-06-14,186551,190990,184667,184673,340200,79118.0,2728200.0
1999-06-15,184581,186460,157780,180215,415700,77208.0,2728200.0
1999-06-16,182748,187870,180864,185310,322400,79391.0,2728200.0
1999-06-17,183287,187049,179445,182763,440900,78299.0,2728200.0
1999-06-18,184667,186551,180825,184673,330200,79118.0,2728200.0
1999-06-21,184682,185280,171883,175121,318200,75026.0,2728200.0
1999-06-22,171757,179434,165439,177031,527200,75844.0,2728200.0
1999-06-23,176897,182617,171775,181489,275300,77754.0,2728200.0
1999-06-24,181329,184567,178165,182763,248300,78299.0,2728200.0
