광주신세계(037710),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-02-07,66000,75900,66000,75900,30788,121440.0,1600000.0
2002-02-08,87200,87200,87200,87200,37864,139520.0,1600000.0
2002-02-14,100000,100000,88000,94500,197758,151200.0,1600000.0
2002-02-15,90500,91000,80400,80400,78810,128640.0,1600000.0
2002-02-18,80500,86500,75900,76900,58837,123040.0,1600000.0
2002-02-19,76300,79000,76200,76900,35073,123040.0,1600000.0
2002-02-20,75700,76100,70400,71900,32680,115040.0,1600000.0
2002-02-21,71600,73600,68000,71600,42450,114560.0,1600000.0
2002-02-22,72000,75800,70300,74800,41703,119680.0,1600000.0
2002-02-25,74800,75800,72000,72000,23489,115200.0,1600000.0
2002-02-26,72000,74000,71000,71500,13423,114400.0,1600000.0
2002-02-27,71000,72800,71000,72500,14937,116000.0,1600000.0
2002-02-28,73000,76700,70100,75900,23157,121440.0,1600000.0
2002-03-04,76900,81000,74200,77900,52593,124640.0,1600000.0
2002-03-05,78900,80500,76600,77700,25183,124320.0,1600000.0
2002-03-06,78100,78200,75000,75500,16691,120800.0,1600000.0
2002-03-07,75200,76600,74000,74100,19836,118560.0,1600000.0
2002-03-08,73400,77100,73400,74500,27520,119200.0,1600000.0
2002-03-11,75000,76300,74600,76300,16966,122080.0,1600000.0
2002-03-12,77000,82100,77000,80000,40180,128000.0,1600000.0
2002-03-13,83900,92000,83000,92000,75511,147200.0,1600000.0
2002-03-14,94300,105500,92600,105500,116701,168800.0,1600000.0
2002-03-15,107500,120500,104000,105000,101471,168000.0,1600000.0
2002-03-18,109000,120500,104000,120500,76355,192800.0,1600000.0
2002-03-19,124000,138500,123500,138500,118248,221600.0,1600000.0
2002-03-20,141500,147500,125000,125000,112805,200000.0,1600000.0
2002-03-21,121000,125000,107000,109000,65007,174400.0,1600000.0
2002-03-22,109000,123000,105000,114000,65352,182400.0,1600000.0
2002-03-25,111000,113000,107500,108000,30585,172800.0,1600000.0
2002-03-26,105500,112500,100500,101500,40535,162400.0,1600000.0
2002-03-27,102500,108500,102500,106000,41820,169600.0,1600000.0
2002-03-28,107000,114500,106000,106500,30439,170400.0,1600000.0
2002-03-29,107500,109000,104000,106000,19014,169600.0,1600000.0
2002-04-01,106000,110000,101000,101500,18558,162400.0,1600000.0
2002-04-02,101500,108500,101500,107500,28060,172000.0,1600000.0
2002-04-03,105000,111000,104000,107000,18054,171200.0,1600000.0
2002-04-04,105500,117000,105500,117000,44746,187200.0,1600000.0
2002-04-08,117000,122000,102000,103000,79706,164800.0,1600000.0
2002-04-09,104000,106500,90600,96000,97979,153600.0,1600000.0
2002-04-10,96000,96000,90500,92500,39394,148000.0,1600000.0
2002-04-11,93000,94900,91200,92000,34837,147200.0,1600000.0
2002-04-12,80000,93400,80000,92400,32146,147840.0,1600000.0
2002-04-15,93500,96000,93100,94200,19067,150720.0,1600000.0
2002-04-16,94100,96600,94100,95300,24321,152480.0,1600000.0
2002-04-17,97800,109500,97500,109500,65327,175200.0,1600000.0
2002-04-18,112500,115000,106000,111500,69250,178400.0,1600000.0
2002-04-19,104500,112500,104500,109000,26482,174400.0,1600000.0
2002-04-22,111500,111500,99100,100000,22490,160000.0,1600000.0
2002-04-23,100000,103000,95500,100500,16788,160800.0,1600000.0
2002-04-24,97600,102000,97500,98100,10805,156960.0,1600000.0
2002-04-25,97000,99900,90000,90000,21500,144000.0,1600000.0
2002-04-26,92000,98000,91000,94000,44470,150400.0,1600000.0
2002-04-29,92000,94000,91000,92400,15290,147840.0,1600000.0
2002-04-30,92800,96600,92400,95000,34397,152000.0,1600000.0
2002-05-02,99000,99200,96500,98000,20792,156800.0,1600000.0
2002-05-03,98500,98500,94100,95500,14550,152800.0,1600000.0
2002-05-06,92100,94600,92000,92000,12132,147200.0,1600000.0
2002-05-07,90500,92000,89000,90300,12610,144480.0,1600000.0
2002-05-08,91000,93900,91000,92400,16584,147840.0,1600000.0
2002-05-09,94100,94400,90800,91800,13268,146880.0,1600000.0
2002-05-10,90800,91800,89400,90000,11410,144000.0,1600000.0
2002-05-13,88300,89000,87000,88700,10381,141920.0,1600000.0
2002-05-14,89100,90700,87100,89000,13503,142400.0,1600000.0
2002-05-15,91500,92200,89400,90300,13060,144480.0,1600000.0
2002-05-16,90000,90300,88000,88000,12972,140800.0,1600000.0
2002-05-17,88500,89900,87000,87900,23440,140640.0,1600000.0
2002-05-20,87900,88500,86300,87200,13550,139520.0,1600000.0
2002-05-21,85600,86900,84000,85500,13803,136800.0,1600000.0
2002-05-22,83100,85000,82700,85000,23940,136000.0,1600000.0
2002-05-23,84400,85200,80500,81500,20100,130400.0,1600000.0
2002-05-24,81000,82000,80200,80700,17050,129120.0,1600000.0
2002-05-27,80200,81900,78100,78100,10792,124960.0,1600000.0
2002-05-28,78100,78500,73100,77400,22653,123840.0,1600000.0
2002-05-29,75400,75400,71900,73000,35031,116800.0,1600000.0
2002-05-30,71000,72900,68000,68000,34921,108800.0,1600000.0
2002-05-31,66300,69000,62400,64500,42674,103200.0,1600000.0
2002-06-03,63600,74100,63400,71000,78735,113600.0,1600000.0
2002-06-04,67300,72300,67200,71200,32638,113920.0,1600000.0
2002-06-05,72000,73000,70600,70600,25706,112960.0,1600000.0
2002-06-07,70700,70700,67000,67000,31597,107200.0,1600000.0
2002-06-10,67200,70000,67200,69900,26385,111840.0,1600000.0
2002-06-11,71700,71700,69500,71000,20086,113600.0,1600000.0
2002-06-12,71000,76500,71000,75000,53383,120000.0,1600000.0
2002-06-14,73200,75900,72000,72000,26470,115200.0,1600000.0
2002-06-17,73900,73900,71800,72300,14014,115680.0,1600000.0
2002-06-18,72300,73400,71300,71300,15102,114080.0,1600000.0
2002-06-19,71300,72300,66200,66500,20125,106400.0,1600000.0
2002-06-20,65100,68000,64700,66100,24280,105760.0,1600000.0
2002-06-21,64200,67000,64200,66900,13430,107040.0,1600000.0
2002-06-24,64500,66800,64300,64300,16156,102880.0,1600000.0
2002-06-25,64900,65900,61500,62000,25550,99200.0,1600000.0
2002-06-26,60700,60700,53000,53000,22810,84800.0,1600000.0
2002-06-27,54900,57800,53500,54000,28640,86400.0,1600000.0
2002-06-28,57000,62000,56000,62000,30195,99200.0,1600000.0
2002-07-02,58400,66500,58400,64800,32451,103680.0,1600000.0
2002-07-03,62700,67000,62700,65000,17261,104000.0,1600000.0
2002-07-04,68000,68000,65500,66500,11936,106400.0,1600000.0
2002-07-05,66500,69000,66000,67500,23650,108000.0,1600000.0
2002-07-08,68500,69800,65500,67000,20240,107200.0,1600000.0
2002-07-09,67500,68000,66100,68000,18536,108800.0,1600000.0
2002-07-10,68000,73400,67300,71500,42083,114400.0,1600000.0
2002-07-11,70100,70600,67200,69000,29640,110400.0,1600000.0
2002-07-12,69500,70800,69000,70800,17696,113280.0,1600000.0
2002-07-15,70500,70600,68200,68200,10484,109120.0,1600000.0
2002-07-16,69000,70300,66300,66800,21143,106880.0,1600000.0
2002-07-18,68400,68400,66300,67000,11710,107200.0,1600000.0
2002-07-19,66300,66300,63100,64200,16945,102720.0,1600000.0
2002-07-22,57000,60400,56700,57400,27180,91840.0,1600000.0
2002-07-23,57000,61000,57000,61000,20335,97600.0,1600000.0
2002-07-24,60000,60000,58000,59000,12610,94400.0,1600000.0
2002-07-25,64500,64500,59500,59500,13950,95200.0,1600000.0
2002-07-26,59600,61600,58500,59400,14995,95040.0,1600000.0
2002-07-29,60400,60400,58100,59800,5860,95680.0,1600000.0
2002-07-30,60700,62000,60700,61500,12240,98400.0,1600000.0
2002-07-31,61000,62300,60900,62000,6465,99200.0,1600000.0
2002-08-01,61500,61900,58100,59900,7705,95840.0,1600000.0
2002-08-02,58500,59500,58300,59500,5755,95200.0,1600000.0
2002-08-05,58300,58500,56000,56600,7202,90560.0,1600000.0
2002-08-06,54100,55700,54000,55000,19588,88000.0,1600000.0
2002-08-07,56000,57500,55700,55800,8910,89280.0,1600000.0
2002-08-08,56100,57000,55800,56500,6470,90400.0,1600000.0
2002-08-09,57600,58500,56600,56600,10311,90560.0,1600000.0
2002-08-12,57500,57900,56900,57000,3291,91200.0,1600000.0
2002-08-13,57100,58000,56500,57800,6420,92480.0,1600000.0
2002-08-14,57800,58900,56200,58600,9980,93760.0,1600000.0
2002-08-16,59900,59900,58600,59000,7815,94400.0,1600000.0
2002-08-19,60000,60000,57700,58900,6040,94240.0,1600000.0
2002-08-20,59400,59700,58600,59600,11910,95360.0,1600000.0
2002-08-21,59300,59900,58300,59600,8350,95360.0,1600000.0
2002-08-22,59600,61800,59500,61000,14510,97600.0,1600000.0
