한국수출포장공업(002200),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,13200,13500,12950,13200,103960,52800.0,4000000.0
1999-01-05,13200,14400,13000,13800,146500,55200.0,4000000.0
1999-01-06,14300,15500,13850,15450,198750,61800.0,4000000.0
1999-01-07,15300,16200,14950,15900,268820,63600.0,4000000.0
1999-01-08,15800,15950,15300,15950,130550,63800.0,4000000.0
1999-01-11,15600,17000,15600,16300,136800,65200.0,4000000.0
1999-01-12,16600,16600,15700,16000,82500,64000.0,4000000.0
1999-01-13,15900,16500,15600,16000,100180,64000.0,4000000.0
1999-01-14,15100,15700,13750,14000,93800,56000.0,4000000.0
1999-01-15,14600,15200,14200,15000,76810,60000.0,4000000.0
1999-01-18,15100,16250,15100,15800,90340,63200.0,4000000.0
1999-01-19,15800,15800,15000,15200,55320,60800.0,4000000.0
1999-01-20,14500,15400,14500,14900,87050,59600.0,4000000.0
1999-01-21,15200,15200,13800,14500,125310,58000.0,4000000.0
1999-01-22,14150,14400,13800,14000,109190,56000.0,4000000.0
1999-01-25,13800,14000,13050,13150,38960,52600.0,4000000.0
1999-01-26,13500,13950,12800,12800,80050,51200.0,4000000.0
1999-01-27,13000,14300,13000,13400,91300,53600.0,4000000.0
1999-01-28,13500,14000,13500,13800,67760,55200.0,4000000.0
1999-01-29,13800,14100,13600,14000,36980,56000.0,4000000.0
1999-02-01,14400,14800,14000,14200,61850,56800.0,4000000.0
1999-02-02,14300,14600,13800,14200,69430,56800.0,4000000.0
1999-02-03,14300,14300,13400,13550,40770,54200.0,4000000.0
1999-02-04,13100,13800,13100,13550,38020,54200.0,4000000.0
1999-02-05,13200,13550,13150,13200,26770,52800.0,4000000.0
1999-02-08,13500,13600,13000,13000,23250,52000.0,4000000.0
1999-02-09,13050,13050,12000,12400,40060,49600.0,4000000.0
1999-02-10,11600,12700,11600,12400,28720,49600.0,4000000.0
1999-02-11,12900,12900,12400,12500,19440,50000.0,4000000.0
1999-02-12,12300,13000,12300,13000,37090,52000.0,4000000.0
1999-02-18,13000,13300,12700,12900,23970,51600.0,4000000.0
1999-02-19,12900,12900,12100,12500,20990,50000.0,4000000.0
1999-02-22,12100,12500,12000,12000,15060,48000.0,4000000.0
1999-02-23,12000,12350,11800,12000,32010,48000.0,4000000.0
1999-02-24,12200,12300,11800,11900,12840,47600.0,4000000.0
1999-02-25,11500,11850,11500,11600,13120,46400.0,4000000.0
1999-02-26,11500,12100,11500,12100,12820,48400.0,4000000.0
1999-03-02,12200,12450,12150,12300,19040,49200.0,4000000.0
1999-03-03,12500,13600,12100,13200,71810,52800.0,4000000.0
1999-03-04,13200,14000,12800,13900,129910,55600.0,4000000.0
1999-03-05,13900,14000,13200,13300,56910,53200.0,4000000.0
1999-03-08,13600,13700,13200,13700,60840,54800.0,4000000.0
1999-03-09,13950,13950,13200,13300,37090,53200.0,4000000.0
1999-03-10,13400,13400,12800,13000,22930,52000.0,4000000.0
1999-03-11,12800,13250,12800,13250,37070,53000.0,4000000.0
1999-03-12,13300,13750,13100,13600,58480,54400.0,4000000.0
1999-03-15,14000,14300,13700,14200,87140,56800.0,4000000.0
1999-03-16,14200,14350,13800,14000,73760,56000.0,4000000.0
1999-03-17,14200,14400,13600,13800,63990,55200.0,4000000.0
1999-03-18,13400,13800,12900,13100,26480,52400.0,4000000.0
1999-03-19,13100,13500,13000,13300,40530,53200.0,4000000.0
1999-03-22,13300,13600,13300,13500,35710,54000.0,4000000.0
1999-03-23,13500,13500,13200,13250,20080,53000.0,4000000.0
1999-03-24,12800,13900,12800,13450,41990,53800.0,4000000.0
1999-03-25,13050,13350,13000,13100,29200,52400.0,4000000.0
1999-03-26,13400,13500,13100,13200,29200,52800.0,4000000.0
1999-03-29,13100,13800,13000,13500,210450,54000.0,4000000.0
1999-03-30,13900,14100,13550,14000,120130,56000.0,4000000.0
1999-03-31,14300,14700,14000,14500,123940,58000.0,4000000.0
1999-04-01,14800,15300,14400,15100,202650,60400.0,4000000.0
1999-04-02,15100,15250,14700,15200,80000,60800.0,4000000.0
1999-04-06,15450,15550,14900,15400,129150,61600.0,4000000.0
1999-04-07,15400,16300,15200,16000,146680,64000.0,4000000.0
