쌍용자동차(003620),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,906840,1011135,906840,989924,524060,193749.0,69196133.0
1999-01-05,993460,1078314,958104,1014672,771010,198593.0,69196133.0
1999-01-06,1028811,1060633,1007600,1025278,571220,200669.0,69196133.0
1999-01-07,1060638,1179077,1028816,1179070,2537600,230769.0,69196133.0
1999-01-08,1131349,1152560,1095993,1104826,1008130,216238.0,69196133.0
1999-01-11,1095995,1163164,1078317,1134877,1172940,222120.0,69196133.0
1999-01-12,1141947,1272759,1103058,1272760,1861810,249106.0,69196133.0
1999-01-13,1237405,1325792,1173769,1237405,2202910,242186.0,69196133.0
1999-01-14,1202061,1219738,1117206,1117200,1587510,218660.0,69196133.0
1999-01-15,1103059,1184379,1103059,1145484,1044660,224195.0,69196133.0
1999-01-18,1166703,1216195,1149025,1149019,1100490,224887.0,69196133.0
1999-01-19,1131350,1184383,1103062,1117200,932060,218660.0,69196133.0
1999-01-20,1131346,1141948,1025280,1032349,809230,202053.0,69196133.0
1999-01-21,989925,1007603,936892,936892,969800,183370.0,69196133.0
1999-01-22,975779,1053566,954568,1007601,1136450,197209.0,69196133.0
1999-01-25,972245,1007600,936890,954570,765860,186830.0,69196133.0
1999-01-26,954569,986391,866189,866184,904600,169531.0,69196133.0
1999-01-27,848516,883864,795483,873254,936260,170914.0,69196133.0
1999-01-28,875021,972248,852046,919215,788090,179910.0,69196133.0
1999-01-29,915680,949265,901536,922751,449470,180602.0,69196133.0
1999-02-01,919214,933358,901536,922751,399590,180602.0,69196133.0
1999-02-02,961645,1019975,919214,945731,830620,185100.0,69196133.0
1999-02-03,945734,954573,901540,926286,542190,181294.0,69196133.0
1999-02-04,936894,949267,889166,905073,342580,177142.0,69196133.0
1999-02-05,894468,905078,873256,883861,497890,172990.0,69196133.0
1999-02-08,883859,943967,859113,866184,526910,169531.0,69196133.0
1999-02-09,852046,852046,777801,783101,345280,153269.0,69196133.0
1999-02-10,760126,813159,738914,781333,546930,152923.0,69196133.0
1999-02-11,809614,841435,788402,823758,535180,161227.0,69196133.0
1999-02-12,823757,844968,816689,844971,458070,165379.0,69196133.0
1999-02-18,866190,866190,820225,821991,302230,160881.0,69196133.0
1999-02-19,806083,864421,763659,830829,483260,162611.0,69196133.0
1999-02-22,820226,880327,799014,848506,720280,166071.0,69196133.0
1999-02-23,830835,859114,800784,813152,276320,159151.0,69196133.0
1999-02-24,813160,830838,777805,777797,282300,152231.0,69196133.0
1999-02-25,745977,770723,744209,749514,275210,146696.0,69196133.0
1999-02-26,744208,784868,744208,767191,306850,150156.0,69196133.0
1999-03-02,777800,799011,777800,784868,293790,153615.0,69196133.0
1999-03-03,767195,795482,760127,786636,268670,153961.0,69196133.0
1999-03-04,788406,795482,770728,781333,232690,152923.0,69196133.0
1999-03-05,795482,802550,777804,781333,316430,152923.0,69196133.0
1999-03-08,802546,883859,791944,866184,680390,169531.0,69196133.0
1999-03-09,862650,866191,827294,848506,598560,166071.0,69196133.0
1999-03-10,880330,894474,844975,855577,465300,167455.0,69196133.0
1999-03-11,855579,899773,841435,883861,711690,172990.0,69196133.0
1999-03-12,919212,933356,883857,889164,667930,174028.0,69196133.0
1999-03-15,883858,919213,867951,867951,715620,169877.0,69196133.0
1999-03-16,883861,908615,864420,905073,683920,177142.0,69196133.0
1999-03-17,933360,989927,905080,905073,1343360,177142.0,69196133.0
1999-03-18,905081,919217,848513,848506,568060,166071.0,69196133.0
1999-03-19,880327,899776,859115,890932,471210,174374.0,69196133.0
1999-03-22,890933,901535,834366,853810,575620,167109.0,69196133.0
1999-03-23,859118,876796,836136,855577,402780,167455.0,69196133.0
1999-03-24,850273,912144,830832,894467,753550,175066.0,69196133.0
