케이씨텍(281820),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-12-05,28450,29350,21750,22700,1390347,450353.0,19839340.0
2017-12-06,22800,24600,22500,23200,412734,460273.0,19839340.0
2017-12-07,23150,24400,22600,24400,190904,484080.0,19839340.0
2017-12-08,24200,24300,22600,23000,174607,456305.0,19839340.0
2017-12-11,22500,23100,21750,22000,177474,436465.0,19839340.0
2017-12-12,22000,22350,20150,22150,190306,439441.0,19839340.0
2017-12-13,22150,22150,21400,21750,119561,431506.0,19839340.0
2017-12-14,21500,23050,21000,22900,162026,454321.0,19839340.0
2017-12-15,23050,24450,22800,24100,223919,478128.0,19839340.0
2017-12-18,24100,24200,22800,23600,100419,468208.0,19839340.0
2017-12-19,23600,24150,23000,23950,69647,475152.0,19839340.0
2017-12-20,24300,24450,23250,23800,74698,472176.0,19839340.0
2017-12-21,23600,23800,22350,22700,95959,450353.0,19839340.0
2017-12-22,22550,22850,22100,22450,60338,445393.0,19839340.0
2017-12-26,22300,22750,21250,21750,173914,431506.0,19839340.0
2017-12-27,21750,22500,21350,21600,86308,428530.0,19839340.0
2017-12-28,21900,21900,21150,21300,104865,422578.0,19839340.0
2018-01-02,21500,21500,20150,20700,205606,410674.0,19839340.0
2018-01-03,20550,20900,20150,20750,146053,411666.0,19839340.0
2018-01-04,20800,21200,20150,20250,159437,401747.0,19839340.0
2018-01-05,20250,20650,20150,20450,134494,405715.0,19839340.0
2018-01-08,20500,20500,19500,19950,156969,395795.0,19839340.0
2018-01-09,19950,20650,19550,20350,131342,403731.0,19839340.0
2018-01-10,20400,20600,19500,19750,147140,391827.0,19839340.0
2018-01-11,19950,19950,19500,19850,132929,393811.0,19839340.0
2018-01-12,19750,20100,19450,19950,116541,395795.0,19839340.0
2018-01-15,20050,20100,19700,19800,44049,392819.0,19839340.0
2018-01-16,19800,20450,19650,20000,74922,396787.0,19839340.0
2018-01-17,20300,20600,19950,20350,88328,403731.0,19839340.0
2018-01-18,20500,22400,20300,22100,397862,438449.0,19839340.0
2018-01-19,22200,22200,21150,21200,173376,420594.0,19839340.0
2018-01-22,21200,21300,19600,19750,263382,391827.0,19839340.0
2018-01-23,19850,20200,19600,19800,106802,392819.0,19839340.0
2018-01-24,19850,20100,19650,19800,150256,392819.0,19839340.0
2018-01-25,20000,20200,19800,20150,111743,399763.0,19839340.0
2018-01-26,20200,20900,20100,20700,191068,410674.0,19839340.0
2018-01-29,20800,20850,20300,20750,120065,411666.0,19839340.0
2018-01-30,20500,20700,20150,20250,109024,401747.0,19839340.0
2018-01-31,20150,20900,20150,20550,157706,407698.0,19839340.0
2018-02-01,20850,21300,20550,20900,135907,414642.0,19839340.0
2018-02-02,20850,21050,20400,21050,94710,417618.0,19839340.0
2018-02-05,20400,21000,19650,20150,211620,399763.0,19839340.0
2018-02-06,19150,20450,18700,20150,301281,399763.0,19839340.0
2018-02-07,20550,20600,19500,19500,160076,386867.0,19839340.0
2018-02-08,19800,20050,19400,20000,115449,396787.0,19839340.0
2018-02-09,19300,19400,19100,19300,107286,382899.0,19839340.0
2018-02-12,19350,19500,19150,19200,60912,380915.0,19839340.0
2018-02-13,19300,19650,18500,18550,172661,368020.0,19839340.0
2018-02-14,18550,18650,17650,18400,276595,365044.0,19839340.0
2018-02-19,18550,19400,18550,19350,130827,383891.0,19839340.0
2018-02-20,19350,19350,18650,18900,111005,374964.0,19839340.0
2018-02-21,18900,20250,18750,19950,128963,395795.0,19839340.0
2018-02-22,19950,20700,19650,19950,83227,395795.0,19839340.0
2018-02-23,19950,20450,19700,20250,96791,401747.0,19839340.0
2018-02-26,20550,20550,19600,19950,79150,395795.0,19839340.0
2018-02-27,20000,20150,19500,20150,55893,399763.0,19839340.0
2018-02-28,20000,20200,19750,20100,70078,398771.0,19839340.0
2018-03-02,19850,20000,19450,19650,60551,389843.0,19839340.0
2018-03-05,19900,20200,19450,19800,94547,392819.0,19839340.0
2018-03-06,19800,20100,19500,19900,62100,394803.0,19839340.0
2018-03-07,20000,20450,19450,20200,83934,400755.0,19839340.0
2018-03-08,20050,20350,19850,20300,41060,402739.0,19839340.0
2018-03-09,20350,20600,20150,20400,104482,404723.0,19839340.0
2018-03-12,20550,20600,20250,20500,41414,406706.0,19839340.0
2018-03-13,20650,21850,20300,21500,179780,426546.0,19839340.0
2018-03-14,21400,22050,21250,21700,88594,430514.0,19839340.0
2018-03-15,21600,22200,21500,21850,91599,433490.0,19839340.0
2018-03-16,21800,23050,21750,22800,195076,452337.0,19839340.0
2018-03-19,22750,23250,22500,23000,93712,456305.0,19839340.0
2018-03-20,22850,23000,21700,22100,109895,438449.0,19839340.0
2018-03-21,22100,22250,21600,21950,68883,435474.0,19839340.0
2018-03-22,21750,22350,21700,21900,35648,434482.0,19839340.0
2018-03-23,21450,21600,20600,21000,110046,416626.0,19839340.0
2018-03-26,20600,21400,19500,21200,70725,420594.0,19839340.0
2018-03-27,21450,21450,20350,20850,74760,413650.0,19839340.0
2018-03-28,20650,21150,20450,21050,64526,417618.0,19839340.0
2018-03-29,21200,22350,20800,22350,125653,443409.0,19839340.0
2018-03-30,22500,22600,21800,22450,94981,445393.0,19839340.0
2018-04-02,22450,22850,22000,22800,77541,452337.0,19839340.0
2018-04-03,22400,22550,21350,21750,91084,431506.0,19839340.0
2018-04-04,21850,21850,20600,20900,78547,414642.0,19839340.0
2018-04-05,21050,21250,20700,21200,28715,420594.0,19839340.0
2018-04-06,21200,21300,20100,20650,86298,409682.0,19839340.0
2018-04-09,20300,20850,20150,20850,36191,413650.0,19839340.0
2018-04-10,20950,21800,20300,21450,41453,425554.0,19839340.0
2018-04-11,21350,22000,21350,21800,43712,432498.0,19839340.0
2018-04-12,21950,22150,21650,21950,123815,435474.0,19839340.0
2018-04-13,22150,22650,21600,22250,100620,441425.0,19839340.0
2018-04-16,22300,22500,21900,22250,71826,441425.0,19839340.0
2018-04-17,22500,23200,22300,22800,193586,452337.0,19839340.0
2018-04-18,23000,23600,21900,22450,191124,445393.0,19839340.0
2018-04-19,22450,22450,21550,22050,91250,437457.0,19839340.0
2018-04-20,21700,21750,21250,21400,87626,424562.0,19839340.0
2018-04-23,21400,21550,21000,21350,46991,423570.0,19839340.0
2018-04-24,21150,21650,20700,20850,115006,413650.0,19839340.0
2018-04-25,20900,21350,20600,21150,68939,419602.0,19839340.0
2018-04-26,21050,21600,20950,21250,91411,421586.0,19839340.0
2018-04-27,21150,21550,21150,21450,45772,425554.0,19839340.0
2018-04-30,21200,21500,20500,21200,88671,420594.0,19839340.0
2018-05-02,20700,21200,20300,20650,127025,409682.0,19839340.0
2018-05-03,20550,20650,20100,20400,47063,404723.0,19839340.0
2018-05-04,20500,20500,19850,20400,50369,404723.0,19839340.0
2018-05-08,20300,20500,19600,19950,54168,395795.0,19839340.0
2018-05-09,19950,20700,19600,20500,67518,406706.0,19839340.0
2018-05-10,20600,21300,20300,21000,75647,416626.0,19839340.0
2018-05-11,21200,22450,21150,22000,236941,436465.0,19839340.0
2018-05-14,21900,22650,21550,21700,183667,430514.0,19839340.0
2018-05-15,21700,22300,21400,22000,140086,436465.0,19839340.0
2018-05-16,22200,22300,21300,22100,137790,438449.0,19839340.0
2018-05-17,22100,22100,21200,21850,106737,433490.0,19839340.0
2018-05-18,21850,22300,21450,22100,99763,438449.0,19839340.0
2018-05-21,22100,22150,21550,22100,70610,438449.0,19839340.0
2018-05-23,22400,24800,22300,24350,856194,483088.0,19839340.0
2018-05-24,24350,25000,24000,24650,243705,489040.0,19839340.0
2018-05-25,24250,24850,23750,24600,169260,488048.0,19839340.0
2018-05-28,24700,24750,23600,24100,191450,478128.0,19839340.0
2018-05-29,24600,24600,23550,23800,166007,472176.0,19839340.0
2018-05-30,23900,23950,22950,23650,129625,469200.0,19839340.0
2018-05-31,23650,23750,23100,23200,78006,460273.0,19839340.0
2018-06-01,23000,23450,22950,23300,63397,462257.0,19839340.0
2018-06-04,23000,23750,22900,23350,75027,463249.0,19839340.0
2018-06-05,23500,25600,23300,25000,514477,495984.0,19839340.0
2018-06-07,25700,25900,24300,24850,371695,493008.0,19839340.0
2018-06-08,24850,24850,23550,23850,195001,473168.0,19839340.0
2018-06-11,23850,24100,23500,23900,76334,474160.0,19839340.0
2018-06-12,24400,24900,23900,24850,314579,493008.0,19839340.0
2018-06-14,24800,24800,24100,24250,196589,481104.0,19839340.0
2018-06-15,24300,24700,23800,24050,85658,477136.0,19839340.0
2018-06-18,24200,24200,22500,23050,122433,457297.0,19839340.0
2018-06-19,23500,23750,23100,23300,102253,462257.0,19839340.0
2018-06-20,23300,23450,22700,23450,72592,465233.0,19839340.0
2018-06-21,23700,23850,23550,23800,82043,472176.0,19839340.0
2018-06-22,23700,24200,23200,23800,88238,472176.0,19839340.0
2018-06-25,23950,24300,23250,23300,103001,462257.0,19839340.0
2018-06-26,22900,23350,22150,23050,69512,457297.0,19839340.0
2018-06-27,23050,23500,23000,23200,63008,460273.0,19839340.0
2018-06-28,22900,23400,22850,23100,59909,458289.0,19839340.0
2018-06-29,23000,23200,22650,23000,29735,456305.0,19839340.0
2018-07-02,23000,23000,21400,21700,53141,430514.0,19839340.0
2018-07-03,21700,21900,19550,20600,236601,408690.0,19839340.0
2018-07-04,20300,20700,19800,20050,79957,397779.0,19839340.0
2018-07-05,19800,20100,19050,20000,150873,396787.0,19839340.0
2018-07-06,20000,20150,19700,20150,31726,399763.0,19839340.0
2018-07-09,19900,20100,19700,19900,41177,394803.0,19839340.0
2018-07-10,20000,20050,19450,19600,55580,388851.0,19839340.0
