미원화학(134380),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-02-15,46000,46000,39100,39100,5305,89597.0,458297.0
2011-02-16,33300,33300,33300,33300,595,76306.0,458297.0
2011-02-17,30100,32900,28400,28800,38283,65995.0,458297.0
2011-02-18,29200,29800,26900,27300,11134,62558.0,458297.0
2011-02-21,27900,27900,25900,26800,8308,61412.0,458297.0
2011-02-22,26700,26900,25300,25400,5813,58204.0,458297.0
2011-02-23,24800,27100,24600,25600,6025,58662.0,458297.0
2011-02-24,25600,26300,25000,25200,4113,57745.0,458297.0
2011-02-25,25600,26000,24400,24600,2411,56371.0,458297.0
2011-02-28,25100,25100,23600,23600,2354,54079.0,458297.0
2011-03-02,23000,24100,23000,23400,734,53621.0,458297.0
2011-03-03,23500,23600,23000,23300,3142,53392.0,458297.0
2011-03-04,23400,24100,23400,24000,1822,54996.0,458297.0
2011-03-07,24000,24000,23300,23300,1538,53392.0,458297.0
2011-03-08,23500,26700,23500,25600,10107,58662.0,458297.0
2011-03-09,25600,27600,24900,25400,6183,58204.0,458297.0
2011-03-10,25400,25799,23900,24400,3504,55912.0,458297.0
2011-03-11,24300,24300,23700,23700,1388,54308.0,458297.0
2011-03-14,22800,25100,22800,23800,2142,54537.0,458297.0
2011-03-15,23600,24900,22600,22600,1779,51788.0,458297.0
2011-03-16,22200,23200,22200,23200,1643,53162.0,458297.0
2011-03-17,23100,24200,22799,23400,966,53621.0,458297.0
2011-03-18,23300,24100,22800,23600,925,54079.0,458297.0
2011-03-21,23900,23900,22900,23000,1271,52704.0,458297.0
2011-03-22,23100,23800,23100,23200,539,53162.0,458297.0
2011-03-23,23800,23800,23200,23500,891,53850.0,458297.0
2011-03-24,23500,26100,23300,23700,2806,54308.0,458297.0
2011-03-25,24200,24900,23800,24200,1296,55454.0,458297.0
2011-03-28,24300,24700,24200,24700,878,56600.0,458297.0
2011-03-29,24900,25700,24900,25400,1695,58204.0,458297.0
2011-03-30,24900,25800,24800,25400,1076,58204.0,458297.0
2011-03-31,26000,26000,24900,25300,748,57975.0,458297.0
