크라운제과(264900),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-04-11,27150,29600,20550,22200,4669199,278029.0,12523850.0
2017-04-12,22300,25600,21750,22900,3666001,286796.0,12523850.0
2017-04-13,22650,23800,21000,21400,1626571,268010.0,12523850.0
2017-04-14,21400,27800,20550,24000,4504894,300572.0,12523850.0
2017-04-17,24650,28500,23600,24200,4835709,303077.0,12523850.0
2017-04-18,24500,24600,22500,23150,1574522,289927.0,12523850.0
2017-04-19,23200,23300,21100,21150,1512264,264879.0,12523850.0
2017-04-20,21500,21700,20700,21200,770352,265506.0,12523850.0
2017-04-21,21050,21400,20600,20650,402313,258618.0,12523850.0
2017-04-24,20850,20900,18400,18500,1006097,231691.0,12523850.0
2017-04-25,18600,18950,18400,18550,263485,232317.0,12523850.0
2017-04-26,18600,19100,18200,18350,305797,229813.0,12523850.0
2017-04-27,18250,21800,18200,19600,3993732,245467.0,12523850.0
2017-04-28,19600,20500,18550,18550,900095,232317.0,12523850.0
2017-05-02,18750,19050,18400,18500,184406,231691.0,12523850.0
2017-05-04,18550,18900,18500,18550,123136,232317.0,12523850.0
2017-05-08,18650,19100,18550,18600,169415,232944.0,12523850.0
2017-05-10,18750,18800,18500,18700,156307,234196.0,12523850.0
2017-05-11,18850,18850,18550,18550,144195,232317.0,12523850.0
2017-05-12,18450,18550,18000,18250,189787,228560.0,12523850.0
2017-05-15,18250,18450,18200,18250,64772,228560.0,12523850.0
2017-05-16,18550,18750,18200,18250,106537,228560.0,12523850.0
2017-05-17,18250,18350,18050,18150,95103,227308.0,12523850.0
2017-05-18,18050,18350,17800,18200,178414,227934.0,12523850.0
2017-05-19,18050,18950,17950,18200,262748,227934.0,12523850.0
2017-05-22,18350,18500,18250,18350,62874,229813.0,12523850.0
2017-05-23,18350,18500,18200,18350,70610,229813.0,12523850.0
2017-05-24,18400,18600,18250,18400,101259,230439.0,12523850.0
2017-05-25,18450,18650,18300,18350,149087,229813.0,12523850.0
2017-05-26,18500,18500,18150,18200,111779,227934.0,12523850.0
2017-05-29,18200,19050,18200,18800,295924,235448.0,12523850.0
2017-05-30,18900,19350,18750,19150,192775,239832.0,12523850.0
2017-05-31,19100,19750,19050,19050,209697,238579.0,12523850.0
2017-06-01,19000,19250,18950,19100,70905,239206.0,12523850.0
2017-06-02,19050,19400,18850,19400,120882,242963.0,12523850.0
2017-06-05,19450,20050,19450,19450,133074,243589.0,12523850.0
2017-06-07,19450,19500,19250,19500,56214,244215.0,12523850.0
2017-06-08,19600,19700,19350,19450,92703,243589.0,12523850.0
2017-06-09,19350,19400,19050,19050,78085,238579.0,12523850.0
2017-06-12,19050,19200,18900,18950,49604,237327.0,12523850.0
2017-06-13,18900,19450,18850,19050,72521,238579.0,12523850.0
2017-06-14,19050,19200,18850,18950,59626,237327.0,12523850.0
2017-06-15,18900,19050,18650,18800,72673,235448.0,12523850.0
2017-06-16,18850,19000,18600,18750,52317,234822.0,12523850.0
2017-06-19,18900,18900,18350,18500,82042,231691.0,12523850.0
2017-06-20,18600,18850,18450,18650,81615,233570.0,12523850.0
2017-06-21,18700,19200,18650,19050,98824,238579.0,12523850.0
2017-06-22,19000,19200,18750,18800,51370,235448.0,12523850.0
2017-06-23,18850,18950,18600,18600,58736,232944.0,12523850.0
2017-06-26,18450,18750,18100,18400,74698,230439.0,12523850.0
2017-06-27,18500,18650,18300,18550,40099,232317.0,12523850.0
2017-06-28,18500,18700,18300,18650,39710,233570.0,12523850.0
2017-06-29,18750,18750,18450,18550,47070,232317.0,12523850.0
2017-06-30,18500,18650,18300,18350,37730,229813.0,12523850.0
2017-07-03,18450,18450,18000,18150,40190,227308.0,12523850.0
2017-07-04,18050,18400,18050,18150,26233,227308.0,12523850.0
2017-07-05,18200,18750,18000,18650,79287,233570.0,12523850.0
2017-07-06,18650,18950,18600,18750,48644,234822.0,12523850.0
2017-07-07,18900,18900,18500,18750,44786,234822.0,12523850.0
2017-07-10,18700,19150,18600,19000,80275,237953.0,12523850.0
2017-07-11,19000,19750,18950,19600,243091,245467.0,12523850.0
2017-07-12,19700,20000,19350,19800,155405,247972.0,12523850.0
2017-07-13,19800,20450,19600,20000,219315,250477.0,12523850.0
2017-07-14,20000,20200,19600,19900,54598,249225.0,12523850.0
2017-07-17,19950,20050,19600,19800,71274,247972.0,12523850.0
2017-07-18,19700,19900,19200,19750,88329,247346.0,12523850.0
2017-07-19,19750,20650,19750,20500,202468,256739.0,12523850.0
2017-07-20,20500,22000,20400,21900,596356,274272.0,12523850.0
2017-07-21,22050,22500,21550,22300,352787,279282.0,12523850.0
2017-07-24,22100,22300,21450,21550,211471,269889.0,12523850.0
2017-07-25,21650,22150,21500,21900,165539,274272.0,12523850.0
2017-07-26,21950,22350,21400,22200,164310,278029.0,12523850.0
2017-07-27,22200,22450,21850,22150,97640,277403.0,12523850.0
2017-07-28,21900,21950,21100,21300,118659,266758.0,12523850.0
2017-07-31,21300,21500,20600,20950,81584,262375.0,12523850.0
2017-08-01,20850,21550,20550,21500,122325,269263.0,12523850.0
2017-08-02,21800,22450,21500,21750,183258,272394.0,12523850.0
2017-08-03,21800,21850,20800,21500,88544,269263.0,12523850.0
2017-08-04,21900,22200,21200,21550,71277,269889.0,12523850.0
2017-08-07,21850,22000,21300,21700,56112,271768.0,12523850.0
2017-08-08,21700,22100,21300,22050,84582,276151.0,12523850.0
2017-08-09,22050,22050,21050,21050,72298,263627.0,12523850.0
2017-08-10,20750,21150,19450,20450,249053,256113.0,12523850.0
2017-08-11,19900,21000,19550,20900,125107,261748.0,12523850.0
2017-08-14,20550,20950,18600,18800,298784,235448.0,12523850.0
2017-08-16,19450,20000,19250,19350,339046,242336.0,12523850.0
2017-08-17,20350,20500,19450,19550,1036935,244841.0,12523850.0
2017-08-18,19400,19550,18950,19050,278507,238579.0,12523850.0
2017-08-21,19100,19200,18400,18500,216883,231691.0,12523850.0
2017-08-22,18550,18950,18350,18600,85729,232944.0,12523850.0
2017-08-23,18650,18750,18250,18500,130534,231691.0,12523850.0
2017-08-24,18400,18600,18250,18350,87525,229813.0,12523850.0
2017-08-25,18350,18600,18300,18400,42297,230439.0,12523850.0
2017-08-28,18600,18600,18400,18600,57008,232944.0,12523850.0
2017-08-29,18450,18800,18350,18650,75277,233570.0,12523850.0
2017-08-30,18800,18900,18650,18700,40360,234196.0,12523850.0
2017-08-31,18650,18850,18450,18500,55353,231691.0,12523850.0
2017-09-01,18500,18700,18400,18550,36981,232317.0,12523850.0
2017-09-04,18200,18450,18150,18350,58366,229813.0,12523850.0
2017-09-05,18550,18550,18300,18350,39073,229813.0,12523850.0
2017-09-06,18250,18600,18250,18600,28749,232944.0,12523850.0
2017-09-07,18600,18700,18300,18550,39285,232317.0,12523850.0
2017-09-08,18500,18500,18200,18300,54770,229186.0,12523850.0
2017-09-11,18300,18550,18300,18450,29836,231065.0,12523850.0
