신한지주(055550),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-09-10,10797,11324,9885,10894,1254910,3318107.0,292344192.0
2001-09-11,11037,11277,10894,11181,1239210,3405810.0,292344192.0
2001-09-12,9549,10509,9549,9694,1468150,2952676.0,292344192.0
2001-09-13,10173,10749,10029,10366,1916800,3157317.0,292344192.0
2001-09-14,10077,10317,9549,9742,1323690,2967294.0,292344192.0
2001-09-17,9741,9789,9501,9550,620390,2908825.0,292344192.0
2001-09-18,9693,9981,9587,9838,602350,2996528.0,292344192.0
2001-09-19,9885,9981,9741,9790,764310,2981911.0,292344192.0
2001-09-20,9789,9885,9597,9790,924140,2981911.0,292344192.0
2001-09-21,9558,9558,9117,9166,1591080,2791887.0,292344192.0
2001-09-24,9118,9262,8936,9233,884070,2812351.0,292344192.0
2001-09-25,9405,9453,8992,9022,1278900,2748035.0,292344192.0
2001-09-26,9117,9453,9059,9310,808430,2835739.0,292344192.0
2001-09-27,9357,9549,9222,9550,1382880,2908825.0,292344192.0
2001-09-28,9462,9539,9386,9483,1641830,2888361.0,292344192.0
2001-10-04,9558,9885,9558,9694,2507140,2952676.0,292344192.0
2001-10-05,9693,9885,9645,9790,1192070,2981911.0,292344192.0
2001-10-08,9933,10029,9789,9886,1055830,3011145.0,292344192.0
2001-10-09,10077,10605,10029,10414,1758340,3171934.0,292344192.0
2001-10-10,10557,10940,10365,10750,2111790,3274255.0,292344192.0
2001-10-11,10749,10893,10653,10798,1305670,3288872.0,292344192.0
2001-10-12,10893,10893,10461,10846,1175910,3303489.0,292344192.0
2001-10-15,10702,10941,10702,10941,603660,3332724.0,292344192.0
2001-10-16,10941,10989,10846,10941,584450,3332724.0,292344192.0
2001-10-17,10940,10988,10701,10750,787800,3274255.0,292344192.0
2001-10-18,10653,10653,10461,10606,1209910,3230403.0,292344192.0
2001-10-19,10461,10557,10221,10270,1924400,3128083.0,292344192.0
2001-10-22,10365,10365,10173,10366,470120,3157317.0,292344192.0
2001-10-23,10365,10557,10317,10366,439180,3157317.0,292344192.0
2001-10-24,10461,10749,10317,10750,881130,3274255.0,292344192.0
2001-10-25,10798,11277,10654,11229,1197270,3420427.0,292344192.0
2001-10-26,11229,11229,10894,10941,1101740,3332724.0,292344192.0
2001-10-29,11133,11181,10798,10941,745010,3332724.0,292344192.0
2001-10-30,10605,10797,10605,10654,708220,3245021.0,292344192.0
2001-10-31,10605,10797,10413,10702,839540,3259638.0,292344192.0
2001-11-01,10797,10845,10557,10702,656760,3259638.0,292344192.0
2001-11-02,10653,11180,10653,10894,1357800,3318107.0,292344192.0
2001-11-05,11037,11469,11037,11373,1685760,3464279.0,292344192.0
2001-11-06,11469,11901,11373,11613,2644240,3537365.0,292344192.0
2001-11-07,11613,11757,11421,11421,1275250,3478896.0,292344192.0
2001-11-08,11613,12381,11613,12141,2600770,3698154.0,292344192.0
2001-11-09,12381,12381,11517,12189,2278660,3712771.0,292344192.0
2001-11-12,12141,12477,11805,12477,1504800,3800474.0,292344192.0
2001-11-13,12381,12573,12189,12477,1100050,3800474.0,292344192.0
2001-11-14,12477,12717,12237,12285,1571590,3742006.0,292344192.0
2001-11-15,12333,12669,12285,12477,1518280,3800474.0,292344192.0
2001-11-16,12477,12765,12381,12477,2432360,3800474.0,292344192.0
2001-11-19,12477,12717,12333,12477,1909260,3800474.0,292344192.0
2001-11-20,12573,12909,12045,12189,2380840,3712771.0,292344192.0
2001-11-21,12284,13532,12236,13341,5728730,4063584.0,292344192.0
2001-11-22,13532,14252,13484,14061,4392670,4282842.0,292344192.0
2001-11-23,14300,14492,14108,14397,4121440,4385163.0,292344192.0
2001-11-26,14877,16124,14733,15980,4365020,4867531.0,292344192.0
