롯데제과(280360),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-10-30,225500,225500,185500,190000,173576,799729.0,4209102.0
2017-10-31,192500,199500,186000,186000,81114,782893.0,4209102.0
2017-11-01,181000,187000,180000,180000,58893,757638.0,4209102.0
2017-11-02,178500,180000,170500,172000,39370,723966.0,4209102.0
2017-11-03,171000,173000,169000,170000,33896,715547.0,4209102.0
2017-11-06,168000,169500,165500,166000,38638,698711.0,4209102.0
2017-11-07,167000,173500,167000,169000,37818,711338.0,4209102.0
2017-11-08,167000,178000,167000,177500,41470,747116.0,4209102.0
2017-11-09,177500,180000,173500,173500,32950,730279.0,4209102.0
2017-11-10,176500,177000,169500,170000,34304,715547.0,4209102.0
2017-11-13,171000,174000,169000,171500,16804,721861.0,4209102.0
2017-11-14,172000,172500,167500,170000,13378,715547.0,4209102.0
2017-11-15,170000,172000,167000,167000,15432,702920.0,4209102.0
2017-11-16,167500,168000,163000,163500,23883,688188.0,4209102.0
2017-11-17,164500,165000,160000,161000,22838,677665.0,4209102.0
2017-11-20,161000,162500,159000,160500,16033,675561.0,4209102.0
2017-11-21,160500,161000,158500,159000,14661,669247.0,4209102.0
2017-11-22,159000,159500,156000,157500,21901,662934.0,4209102.0
2017-11-23,157500,158500,153000,153500,22954,646097.0,4209102.0
2017-11-24,156500,158500,152500,153000,27545,643993.0,4209102.0
2017-11-27,153000,154000,149000,149000,42837,627156.0,4209102.0
2017-11-28,149000,151500,149000,149000,31768,627156.0,4209102.0
2017-11-29,149000,149500,145500,146500,27780,616633.0,4209102.0
2017-11-30,146000,153000,144500,149500,43474,629261.0,4209102.0
2017-12-01,151000,159500,148000,159000,52454,669247.0,4209102.0
2017-12-04,159000,159000,153500,157000,20540,660829.0,4209102.0
2017-12-05,159500,163000,155000,161500,30481,679770.0,4209102.0
2017-12-06,163000,163500,160000,160000,11411,673456.0,4209102.0
2017-12-07,162000,162500,155500,158000,11729,665038.0,4209102.0
2017-12-08,156500,156500,151000,154500,15051,650306.0,4209102.0
2017-12-11,153500,153500,145000,147500,29026,620843.0,4209102.0
2017-12-12,147500,150000,146500,149500,5816,629261.0,4209102.0
2017-12-13,147500,151500,147500,151500,5143,637679.0,4209102.0
2017-12-14,151500,152000,147000,147000,6413,618738.0,4209102.0
2017-12-15,148000,151500,147000,147000,10928,618738.0,4209102.0
2017-12-18,146500,149000,146000,149000,7350,627156.0,4209102.0
2017-12-19,148500,149000,146000,146000,5554,614529.0,4209102.0
2017-12-20,146000,147500,145000,145000,6254,610320.0,4209102.0
2017-12-21,145000,146500,145000,145000,6056,610320.0,4209102.0
2017-12-22,143500,148000,143500,145500,3737,612424.0,4209102.0
2017-12-26,151000,152000,148000,149000,7303,627156.0,4209102.0
2017-12-27,148000,149500,147000,147500,3869,620843.0,4209102.0
2017-12-28,147000,147000,145500,146000,5145,614529.0,4209102.0
2018-01-02,146000,148000,146000,147000,2105,618738.0,4209102.0
2018-01-03,148500,151500,146000,151500,10133,637679.0,4209102.0
2018-01-04,151000,153500,148500,153000,10999,643993.0,4209102.0
2018-01-05,153500,154500,150000,152500,6793,641888.0,4209102.0
2018-01-08,152000,152000,149000,151500,8970,637679.0,4209102.0
2018-01-09,149500,153000,139000,148000,12765,622947.0,4209102.0
2018-01-10,147000,148500,145000,147000,9214,618738.0,4209102.0
2018-01-11,148000,148000,145000,147500,3944,620843.0,4209102.0
2018-01-12,148000,149000,147000,148000,8232,622947.0,4209102.0
2018-01-15,147500,148000,145500,146500,6298,616633.0,4209102.0
2018-01-16,145500,147500,145500,146500,2589,616633.0,4209102.0
2018-01-17,147000,150500,146500,150000,7182,631365.0,4209102.0
2018-01-18,149500,156500,149000,156500,15305,658724.0,4209102.0
2018-01-19,156500,159000,154500,158500,15098,667143.0,4209102.0
2018-01-22,158500,160500,155000,158000,14305,665038.0,4209102.0
2018-01-23,159500,164000,158500,164000,20358,690293.0,4209102.0
2018-01-24,163500,168500,163000,168500,23280,709234.0,4209102.0
2018-01-25,168500,174500,167500,173000,21892,728175.0,4209102.0
2018-01-26,172000,177000,170500,173000,12263,728175.0,4209102.0
2018-01-29,173000,175500,169500,173500,13570,730279.0,4209102.0
2018-01-30,175000,179000,174500,175000,19012,736593.0,4209102.0
2018-01-31,175000,178000,173500,175000,10279,736593.0,4209102.0
2018-02-01,176500,177000,171500,176000,8926,740802.0,4209102.0
2018-02-02,176000,177000,174000,174500,10892,734488.0,4209102.0
2018-02-05,174000,175000,167000,172500,17261,726070.0,4209102.0
2018-02-06,168000,173500,165000,172000,18323,723966.0,4209102.0
2018-02-07,172500,172500,164000,164000,13028,690293.0,4209102.0
2018-02-08,169000,169000,164500,167000,9511,702920.0,4209102.0
2018-02-09,162000,168500,162000,165000,7601,694502.0,4209102.0
2018-02-12,167000,168500,165000,168000,13369,707129.0,4209102.0
2018-02-13,167500,172000,167000,167000,10615,702920.0,4209102.0
2018-02-14,163000,168000,161500,167000,10013,702920.0,4209102.0
2018-02-19,167000,170000,167000,169000,6769,711338.0,4209102.0
2018-02-20,168500,170500,168500,169000,6827,711338.0,4209102.0
2018-02-21,168000,172000,166500,171000,5712,719756.0,4209102.0
2018-02-22,169000,172500,169000,171500,5551,721861.0,4209102.0
2018-02-23,170500,172500,170000,172000,6549,723966.0,4209102.0
2018-02-26,170500,174000,170500,170500,8369,717652.0,4209102.0
2018-02-27,171000,173000,170000,171500,9255,721861.0,4209102.0
2018-02-28,170500,175000,170500,174000,7681,732384.0,4209102.0
2018-03-02,172500,176500,172000,174500,7774,734488.0,4209102.0
2018-03-05,173500,180000,173500,179500,15405,755534.0,4209102.0
2018-03-06,179500,182000,178500,179000,11208,753429.0,4209102.0
2018-03-07,178500,180000,174500,174500,5729,734488.0,4209102.0
2018-03-08,174000,175000,169000,174000,9722,732384.0,4209102.0
2018-03-09,173000,176000,173000,175000,6534,736593.0,4209102.0
2018-03-12,175000,179500,175000,177000,3564,745011.0,4209102.0
2018-03-13,179500,180000,177500,180000,4839,757638.0,4209102.0
2018-03-14,180000,180000,177500,177500,4832,747116.0,4209102.0
2018-03-15,177000,179000,175000,176000,5882,740802.0,4209102.0
2018-03-16,176500,179500,173000,173000,4728,728175.0,4209102.0
2018-03-19,173000,176500,167500,171500,10067,721861.0,4209102.0
2018-03-20,170000,173500,169000,170000,7024,715547.0,4209102.0
2018-03-21,172000,172500,165000,165500,10969,696606.0,4209102.0
2018-03-22,165500,169500,165000,168000,6447,707129.0,4209102.0
2018-03-23,166500,169500,164000,164000,5762,690293.0,4209102.0
2018-03-26,162500,170000,158000,166000,4944,698711.0,4209102.0
2018-03-27,167000,170000,166500,169500,3914,713443.0,4209102.0
2018-03-28,169500,172500,167000,170500,13208,717652.0,4209102.0
2018-03-29,171000,171000,167500,170000,6431,715547.0,4209102.0
2018-03-30,170500,175000,169000,174000,7616,732384.0,4209102.0
2018-04-02,175000,177000,173000,175000,3720,736593.0,4209102.0
2018-04-03,178000,180000,175000,178500,17975,751325.0,4209102.0
2018-04-04,180000,181500,173500,176000,9797,740802.0,4209102.0
2018-04-05,176000,180000,175000,177500,5601,747116.0,4209102.0
2018-04-06,177500,180000,173000,175500,6426,738697.0,4209102.0
2018-04-09,173000,179000,173000,175500,6182,738697.0,4209102.0
2018-04-10,175500,182500,175500,180500,17293,759743.0,4209102.0
2018-04-11,180500,181000,179000,181000,9070,761847.0,4209102.0
2018-04-12,181500,182500,181000,181000,5562,761847.0,4209102.0
2018-04-13,181000,182500,178500,180500,4301,759743.0,4209102.0
2018-04-16,178500,181500,177500,181000,9357,761847.0,4209102.0
2018-04-17,182000,187000,181000,186500,22939,784998.0,4209102.0
2018-04-18,187000,191000,187000,190000,18354,799729.0,4209102.0
2018-04-19,191500,192500,187000,189000,13162,795520.0,4209102.0
2018-04-20,187500,192000,187000,187000,10253,787102.0,4209102.0
2018-04-23,189000,192500,185500,186000,9073,782893.0,4209102.0
2018-04-24,189500,191000,186500,189500,5859,797625.0,4209102.0
2018-04-25,189500,191500,182000,188000,11424,791311.0,4209102.0
2018-04-26,188000,189000,184000,185500,7302,780788.0,4209102.0
2018-04-27,185500,188000,185500,186500,2758,784998.0,4209102.0
2018-04-30,186500,190000,183500,190000,4155,799729.0,4209102.0
2018-05-02,189000,191500,186000,186000,9091,782893.0,4209102.0
2018-05-03,186000,188000,184500,186500,7555,784998.0,4209102.0
2018-05-04,187000,187000,180000,180000,3625,757638.0,4209102.0
2018-05-08,180000,180500,175000,175000,7973,736593.0,4209102.0
2018-05-09,177000,179500,176000,177000,3858,745011.0,4209102.0
2018-05-10,178000,182500,177000,182500,4626,768161.0,4209102.0
2018-05-11,181000,184500,180000,181500,4610,763952.0,4209102.0
2018-05-14,180000,183000,179500,180500,3708,759743.0,4209102.0
