삼양패키징(272550),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-11-29,25750,26400,23250,23800,3263099,338193.0,14209804.0
2017-11-30,24100,25300,23000,23550,1026668,334641.0,14209804.0
2017-12-01,23750,24000,22850,23000,449758,326825.0,14209804.0
2017-12-04,22900,23400,22150,22150,341503,314747.0,14209804.0
2017-12-05,22300,22350,21450,21550,334691,306221.0,14209804.0
2017-12-06,21550,21950,20800,20850,332844,296274.0,14209804.0
2017-12-07,20750,20800,19950,20150,375103,286328.0,14209804.0
2017-12-08,20050,22400,20050,21300,648962,302669.0,14209804.0
2017-12-11,21300,21850,20850,21150,115103,300537.0,14209804.0
2017-12-12,21000,21200,20700,20850,100802,296274.0,14209804.0
2017-12-13,20850,21050,20550,20700,74645,294143.0,14209804.0
2017-12-14,20650,21250,20600,20700,80220,294143.0,14209804.0
2017-12-15,20950,21550,20700,21450,76749,304800.0,14209804.0
2017-12-18,21600,21600,20850,20950,88536,297695.0,14209804.0
2017-12-19,21000,21000,20000,20150,128426,286328.0,14209804.0
2017-12-20,20150,20500,20000,20150,61711,286328.0,14209804.0
2017-12-21,20150,20250,19650,20100,102644,285617.0,14209804.0
2017-12-22,20100,20400,19900,20100,43314,285617.0,14209804.0
2017-12-26,20200,20300,19900,19900,50288,282775.0,14209804.0
2017-12-27,20000,20100,19750,20000,58412,284196.0,14209804.0
2017-12-28,20000,20600,19850,20250,38704,287749.0,14209804.0
2018-01-02,20300,20500,20150,20450,35697,290590.0,14209804.0
2018-01-03,20350,21600,20300,21550,105373,306221.0,14209804.0
2018-01-04,21700,22500,21250,21900,151978,311195.0,14209804.0
2018-01-05,22150,22750,21950,22200,129844,315458.0,14209804.0
2018-01-08,22250,22400,21500,21600,88266,306932.0,14209804.0
2018-01-09,21600,22500,21450,21800,61200,309774.0,14209804.0
2018-01-10,21850,22650,21850,22500,80790,319721.0,14209804.0
2018-01-11,22550,23000,22400,22600,79955,321142.0,14209804.0
2018-01-12,22850,22850,22100,22200,55082,315458.0,14209804.0
2018-01-15,22350,22350,21900,22000,41391,312616.0,14209804.0
2018-01-16,22000,22250,21900,22000,39652,312616.0,14209804.0
2018-01-17,22000,22600,21950,22200,59504,315458.0,14209804.0
2018-01-18,22200,22450,21950,22150,43565,314747.0,14209804.0
2018-01-19,22250,23200,22150,23100,119700,328246.0,14209804.0
2018-01-22,23350,23350,22850,22950,46082,326115.0,14209804.0
2018-01-23,23000,23250,22800,23000,43700,326825.0,14209804.0
2018-01-24,23100,23800,22900,23450,83210,333220.0,14209804.0
2018-01-25,23550,23950,23450,23600,85112,335351.0,14209804.0
2018-01-26,23550,24500,23400,24250,109351,344588.0,14209804.0
2018-01-29,24450,24850,24400,24650,120036,350272.0,14209804.0
2018-01-30,24750,24950,24200,24700,124164,350982.0,14209804.0
2018-01-31,24700,24700,23850,24100,56961,342456.0,14209804.0
2018-02-01,24000,24350,23150,23400,77761,332509.0,14209804.0
2018-02-02,23250,23600,22800,23150,38747,328957.0,14209804.0
2018-02-05,23000,23000,22450,22500,48950,319721.0,14209804.0
2018-02-06,21750,22050,21200,21950,116700,311905.0,14209804.0
2018-02-07,22450,22550,21550,21550,38905,306221.0,14209804.0
2018-02-08,21650,21900,21350,21550,20485,306221.0,14209804.0
2018-02-09,21000,21500,21000,21500,32881,305511.0,14209804.0
2018-02-12,21600,21850,21500,21700,18242,308353.0,14209804.0
2018-02-13,21900,22000,21000,21200,41461,301248.0,14209804.0
2018-02-14,21200,21200,20800,21000,40983,298406.0,14209804.0
2018-02-19,21300,21550,21000,21450,11485,304800.0,14209804.0
2018-02-20,21450,21750,21300,21600,17918,306932.0,14209804.0
2018-02-21,21400,21800,21300,21650,17354,307642.0,14209804.0
2018-02-22,21650,21650,21300,21350,16041,303379.0,14209804.0
2018-02-23,21500,21550,21150,21400,22955,304090.0,14209804.0
2018-02-26,21400,21650,21350,21500,9898,305511.0,14209804.0
2018-02-27,21650,21650,21200,21250,19240,301958.0,14209804.0
2018-02-28,21400,21400,21000,21300,10784,302669.0,14209804.0
2018-03-02,21250,21600,21000,21150,22505,300537.0,14209804.0
2018-03-05,21150,21200,20850,20900,16736,296985.0,14209804.0
2018-03-06,20900,21350,20850,20950,13092,297695.0,14209804.0
2018-03-07,21150,21150,20800,20950,16863,297695.0,14209804.0
2018-03-08,21200,21300,20800,21250,14815,301958.0,14209804.0
2018-03-09,21300,21600,21000,21550,24226,306221.0,14209804.0
2018-03-12,21400,21850,21400,21850,15332,310484.0,14209804.0
2018-03-13,21850,21900,21600,21700,16847,308353.0,14209804.0
2018-03-14,21750,21750,21250,21350,26384,303379.0,14209804.0
2018-03-15,21200,21900,21200,21850,36364,310484.0,14209804.0
2018-03-16,22000,22000,21200,21450,32078,304800.0,14209804.0
2018-03-19,21150,21700,21100,21200,24858,301248.0,14209804.0
2018-03-20,21250,21250,20950,21150,11856,300537.0,14209804.0
2018-03-21,21050,21150,20750,21100,36883,299827.0,14209804.0
2018-03-22,20900,21550,20850,21450,16467,304800.0,14209804.0
2018-03-23,21050,21200,20850,20850,17937,296274.0,14209804.0
2018-03-26,20850,21050,20500,20900,10733,296985.0,14209804.0
2018-03-27,21150,21150,20850,20950,15927,297695.0,14209804.0
2018-03-28,21150,21150,20550,20800,21262,295564.0,14209804.0
2018-03-29,20800,20800,20600,20700,10926,294143.0,14209804.0
2018-03-30,21100,21100,20700,20700,20670,294143.0,14209804.0
2018-04-02,20750,21050,20600,20750,16284,294853.0,14209804.0
2018-04-03,20600,20850,20550,20850,9433,296274.0,14209804.0
2018-04-04,20950,20950,20500,20500,18051,291301.0,14209804.0
2018-04-05,20600,20700,20350,20450,14334,290590.0,14209804.0
2018-04-06,20150,20450,20100,20150,22920,286328.0,14209804.0
2018-04-09,20150,20450,19900,20250,29985,287749.0,14209804.0
2018-04-10,20100,20150,19750,19950,24997,283486.0,14209804.0
2018-04-11,20200,20400,19900,20000,36931,284196.0,14209804.0
2018-04-12,20200,20600,19850,20550,23681,292011.0,14209804.0
2018-04-13,20450,20700,20100,20600,30568,292722.0,14209804.0
2018-04-16,20400,20400,20100,20350,17095,289170.0,14209804.0
2018-04-17,20350,20700,20050,20300,24717,288459.0,14209804.0
2018-04-18,20500,20500,20050,20100,19784,285617.0,14209804.0
2018-04-19,20000,20250,20000,20200,24426,287038.0,14209804.0
2018-04-20,20050,20250,20050,20050,15850,284907.0,14209804.0
2018-04-23,19950,20050,19850,20000,21924,284196.0,14209804.0
2018-04-24,20000,20200,19950,20050,14852,284907.0,14209804.0
