사조대림(003960),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,47061,50136,47061,50073,43340,11675.0,1462990.0
1999-01-05,52709,53336,47124,48943,47930,11411.0,1462990.0
1999-01-06,48944,53399,47689,53398,50710,12450.0,1462990.0
1999-01-07,55281,56474,53964,56473,55170,13167.0,1462990.0
1999-01-08,57101,62748,55846,58983,59230,13752.0,1462990.0
1999-01-11,59988,65258,59988,64944,74430,15142.0,1462990.0
1999-01-12,65258,65258,59611,60866,35310,14191.0,1462990.0
1999-01-13,60239,68396,60239,65258,49660,15215.0,1462990.0
1999-01-14,62121,62748,56787,58983,38220,13752.0,1462990.0
1999-01-15,60239,63376,58984,61493,37430,14337.0,1462990.0
1999-01-18,64631,70592,64317,70278,84400,16385.0,1462990.0
1999-01-19,70278,74043,66513,66827,56650,15581.0,1462990.0
1999-01-20,65258,70278,64631,68395,98150,15947.0,1462990.0
1999-01-21,67141,70906,62121,63375,89870,14776.0,1462990.0
1999-01-22,64003,64631,59611,59611,38430,13898.0,1462990.0
1999-01-25,56474,58670,52709,52708,21160,12289.0,1462990.0
1999-01-26,57101,57101,48756,48755,49160,11367.0,1462990.0
1999-01-27,46434,56034,46434,56034,67740,13065.0,1462990.0
1999-01-28,55407,62748,55407,60866,86500,14191.0,1462990.0
1999-01-29,62121,62748,59046,61242,30060,14279.0,1462990.0
1999-02-01,61494,66827,60364,65258,46580,15215.0,1462990.0
1999-02-02,65258,74984,64631,74984,111300,17483.0,1462990.0
1999-02-03,81573,85965,75612,84082,289770,19604.0,1462990.0
1999-02-04,82201,83142,73416,78435,91750,18287.0,1462990.0
1999-02-05,81259,90044,79691,88475,178970,20628.0,1462990.0
1999-02-08,88789,88789,84710,85337,59110,19897.0,1462990.0
1999-02-09,81573,84083,76553,78435,68650,18287.0,1462990.0
1999-02-10,79691,80946,75926,79063,30010,18434.0,1462990.0
1999-02-11,72161,80318,72161,79690,31710,18580.0,1462990.0
1999-02-12,82828,87220,81573,84710,62970,19750.0,1462990.0
1999-02-18,86593,86593,80318,80945,10480,18873.0,1462990.0
1999-02-19,81573,83455,77181,79376,21470,18507.0,1462990.0
1999-02-22,80318,90985,79691,90985,71240,21213.0,1462990.0
1999-02-23,96005,99770,86593,90357,203040,21067.0,1462990.0
1999-02-24,88162,94123,86593,90985,76810,21213.0,1462990.0
1999-02-25,88475,89730,85024,85965,22480,20043.0,1462990.0
1999-02-26,82201,89103,82201,89102,41660,20774.0,1462990.0
1999-03-02,87848,96005,87220,92240,57820,21506.0,1462990.0
1999-03-03,92240,102908,91613,95377,110910,22237.0,1462990.0
1999-03-04,94123,94123,90985,90985,31090,21213.0,1462990.0
1999-03-05,90985,93495,90358,90357,25100,21067.0,1462990.0
1999-03-08,92240,97260,91613,92240,47450,21506.0,1462990.0
1999-03-09,95378,95378,89730,90044,18650,20994.0,1462990.0
1999-03-10,89103,90985,85965,90357,36260,21067.0,1462990.0
1999-03-11,90358,103849,86593,103848,57260,24212.0,1462990.0
1999-03-12,94123,103221,94123,100397,106450,23408.0,1462990.0
1999-03-15,100398,105417,97260,100083,43660,23335.0,1462990.0
1999-03-16,103535,106672,99770,99770,60480,23262.0,1462990.0
1999-03-17,99770,102280,95378,95377,27610,22237.0,1462990.0
1999-03-18,96319,109496,96319,108554,101680,25310.0,1462990.0
1999-03-19,107300,115143,104790,108554,72210,25310.0,1462990.0
1999-03-22,108555,110437,104790,104789,24120,24432.0,1462990.0
1999-03-23,103535,109810,103535,104162,27190,24286.0,1462990.0
1999-03-24,109810,110124,106672,108554,27120,25310.0,1462990.0
1999-03-25,106986,109810,105417,106044,19910,24725.0,1462990.0
1999-03-26,103849,106672,102280,104162,24430,24286.0,1462990.0
1999-03-29,104162,105104,101025,101025,23990,23554.0,1462990.0
1999-03-30,99044,108949,98054,102345,24190,22676.0,1462990.0
1999-03-31,105647,105647,102346,104326,6730,23115.0,1462990.0
1999-04-01,101025,107628,101025,103666,14220,22969.0,1462990.0
1999-04-02,103666,107298,102346,103666,17440,22969.0,1462990.0
1999-04-06,104327,106968,99704,104986,13040,23262.0,1462990.0
1999-04-07,104987,115882,102346,102345,52100,22676.0,1462990.0
1999-04-08,104987,104987,100365,102345,27700,22676.0,1462990.0
1999-04-09,101685,103666,100365,101025,15800,22384.0,1462990.0
1999-04-12,101025,103666,96733,101025,19170,22384.0,1462990.0
1999-04-13,102346,104987,98054,101685,26160,22530.0,1462990.0
1999-04-14,102346,102346,99704,101685,9640,22530.0,1462990.0
1999-04-15,105647,105647,99044,100694,38910,22311.0,1462990.0
1999-04-16,101685,103006,97724,99704,29170,22091.0,1462990.0
1999-04-19,99044,99044,95743,97063,13120,21506.0,1462990.0
1999-04-20,97063,106968,97063,106967,53150,23700.0,1462990.0
1999-04-21,106638,122815,104987,122814,104400,27212.0,1462990.0
1999-04-22,123805,134040,119513,132058,109840,29260.0,1462990.0
1999-04-23,138662,138662,122815,129417,107260,28675.0,1462990.0
