CJ CGV(079160),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-12-24,30000,33100,28500,31400,4039871,647319.0,20615248.0
2004-12-27,32100,32300,30500,31500,508141,649380.0,20615248.0
2004-12-28,31400,31450,29900,30500,364932,628765.0,20615248.0
2004-12-29,30200,31500,30100,31200,203763,643196.0,20615248.0
2004-12-30,31200,32000,31050,32000,153647,659688.0,20615248.0
2005-01-03,31850,31900,31250,31250,66611,644226.0,20615248.0
2005-01-04,31350,31500,30850,31500,111490,649380.0,20615248.0
2005-01-05,31100,31750,30750,31450,81548,648350.0,20615248.0
2005-01-06,31100,33550,31100,32900,244878,678242.0,20615248.0
2005-01-07,32900,34200,32900,33900,186849,698857.0,20615248.0
2005-01-10,34300,34650,33800,33900,137864,698857.0,20615248.0
2005-01-11,34000,34000,33400,33950,129646,699888.0,20615248.0
2005-01-12,34400,34550,33800,34000,114984,700918.0,20615248.0
2005-01-13,34000,35300,33950,34250,123862,706072.0,20615248.0
2005-01-14,34000,34700,33850,34000,86583,700918.0,20615248.0
2005-01-17,34150,34400,33850,34000,73940,700918.0,20615248.0
2005-01-18,34100,34300,33950,34050,82846,701949.0,20615248.0
2005-01-19,34100,35500,33850,34200,163843,705041.0,20615248.0
2005-01-20,34200,34500,33250,33450,242801,689580.0,20615248.0
2005-01-21,33000,33500,32750,33200,189467,684426.0,20615248.0
2005-01-24,32600,33000,31800,32300,509679,665873.0,20615248.0
2005-01-25,32050,32350,30900,31100,351229,641134.0,20615248.0
2005-01-26,31450,31900,31050,31700,238046,653503.0,20615248.0
2005-01-27,31900,32800,31550,32800,322610,676180.0,20615248.0
2005-01-28,32750,32800,32000,32300,105324,665873.0,20615248.0
2005-01-31,32950,33000,32250,32350,222115,666903.0,20615248.0
2005-02-01,32400,32400,31750,32000,185911,659688.0,20615248.0
2005-02-02,32300,32300,31600,31850,91898,656596.0,20615248.0
2005-02-03,31850,31850,31100,31200,138757,643196.0,20615248.0
2005-02-04,31050,31700,31050,31450,96620,648350.0,20615248.0
2005-02-07,31550,31700,31250,31450,166113,648350.0,20615248.0
2005-02-11,31150,31450,30750,30750,104326,633919.0,20615248.0
2005-02-14,30850,31300,30800,30950,140239,638042.0,20615248.0
2005-02-15,31250,31250,30850,30900,93100,637011.0,20615248.0
2005-02-16,31250,32300,31200,31900,242786,657626.0,20615248.0
2005-02-17,32000,32250,31000,31500,138106,649380.0,20615248.0
2005-02-18,31550,31550,31100,31500,110844,649380.0,20615248.0
2005-02-21,31500,31650,30750,30750,222078,633919.0,20615248.0
2005-02-22,30850,31900,30700,31350,442361,646288.0,20615248.0
2005-02-23,31350,31700,30950,31350,96252,646288.0,20615248.0
2005-02-24,31300,33450,31300,33000,465032,680303.0,20615248.0
2005-02-25,33800,34600,33300,34300,422685,707103.0,20615248.0
2005-02-28,33600,34650,33600,34400,111110,709165.0,20615248.0
2005-03-02,34300,35150,33700,34500,178775,711226.0,20615248.0
2005-03-03,34950,35500,34300,34800,71784,717411.0,20615248.0
2005-03-04,34800,34950,33700,34850,114562,718441.0,20615248.0
2005-03-07,34450,34500,33400,34400,51520,709165.0,20615248.0
2005-03-08,34600,34800,32250,33900,93150,698857.0,20615248.0
2005-03-09,33000,33450,32650,33450,59373,689580.0,20615248.0
2005-03-10,33350,33350,32500,32800,41449,676180.0,20615248.0
2005-03-11,32700,34250,32700,33800,118608,696795.0,20615248.0
2005-03-14,33250,33900,33250,33700,108281,694734.0,20615248.0
2005-03-15,33800,34000,32350,33000,91050,680303.0,20615248.0
2005-03-16,32550,33300,32000,33300,63210,686488.0,20615248.0
2005-03-17,32750,32750,32050,32500,55840,669996.0,20615248.0
2005-03-18,32000,32400,31250,31900,122035,657626.0,20615248.0
2005-03-21,32000,32000,30800,30800,131794,634950.0,20615248.0
2005-03-22,30650,31450,30200,31450,156880,648350.0,20615248.0
2005-03-23,31000,31200,30450,31000,122724,639073.0,20615248.0
2005-03-24,30650,31900,30500,31900,145910,657626.0,20615248.0
2005-03-25,31500,32250,31300,31450,99345,648350.0,20615248.0
2005-03-28,31100,31800,31100,31450,51663,648350.0,20615248.0
2005-03-29,31250,31250,30300,30350,85545,625673.0,20615248.0
2005-03-30,30350,30400,29200,29700,113922,612273.0,20615248.0
2005-03-31,30500,30500,29400,29400,105748,606088.0,20615248.0
2005-04-01,29500,30150,29000,29900,98335,616396.0,20615248.0
2005-04-04,29950,30200,29400,30000,81186,618457.0,20615248.0
2005-04-06,30250,31450,30000,31400,172361,647319.0,20615248.0
2005-04-07,31200,31300,30500,30500,81240,628765.0,20615248.0
2005-04-08,29650,29700,28550,28700,5707642,591658.0,20615248.0
2005-04-11,29000,29000,28000,28000,661112,577227.0,20615248.0
2005-04-12,28150,28550,27700,28200,321754,581350.0,20615248.0
2005-04-13,28000,28400,27800,28300,263570,583412.0,20615248.0
2005-04-14,28000,28750,27900,28200,343826,581350.0,20615248.0
2005-04-15,27900,28250,26950,27350,198254,563827.0,20615248.0
2005-04-18,26200,26850,24900,25200,455060,519504.0,20615248.0
2005-04-19,25800,25900,24500,25900,469327,533935.0,20615248.0
2005-04-20,26150,26500,25800,26450,303587,545273.0,20615248.0
2005-04-21,25800,26800,25350,26650,153484,549396.0,20615248.0
2005-04-22,26900,27300,26550,27200,205250,560735.0,20615248.0
2005-04-25,27600,27900,27200,27850,312099,574135.0,20615248.0
2005-04-26,27600,28050,26900,27100,214670,558673.0,20615248.0
2005-04-27,27100,27450,26950,27400,288970,564858.0,20615248.0
2005-04-28,27550,27900,27050,27200,92174,560735.0,20615248.0
2005-04-29,27100,28000,27000,28000,137576,577227.0,20615248.0
2005-05-02,28200,28200,27400,27550,48385,567950.0,20615248.0
2005-05-03,27400,27650,27300,27500,50295,566919.0,20615248.0
2005-05-04,27500,27700,27300,27650,118581,570012.0,20615248.0
