대한유화(006650),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-08-11,32200,32200,32200,32200,76710,264040.0,8200000.0
1999-08-12,32900,32900,27550,28950,617080,237390.0,8200000.0
1999-08-13,27200,28100,24650,27000,251480,221400.0,8200000.0
1999-08-16,26000,27300,25600,25600,130700,209920.0,8200000.0
1999-08-17,24500,26300,24100,25000,132240,205000.0,8200000.0
1999-08-18,24100,25000,23200,23900,70310,195980.0,8200000.0
1999-08-19,23500,24800,23500,24000,149790,196800.0,8200000.0
1999-08-20,24100,25500,24000,24600,91090,201720.0,8200000.0
1999-08-23,24650,25350,24400,25000,62040,205000.0,8200000.0
1999-08-24,25000,26400,24700,25300,97580,207460.0,8200000.0
1999-08-25,24800,25550,24800,25300,82980,207460.0,8200000.0
1999-08-26,26500,28000,25800,27200,213930,223040.0,8200000.0
1999-08-27,27000,27500,26150,26700,78580,218940.0,8200000.0
1999-08-30,26100,27400,25800,27000,75220,221400.0,8200000.0
1999-08-31,26700,29400,26100,27800,306980,227960.0,8200000.0
1999-09-01,27100,28300,27100,27300,125650,223860.0,8200000.0
1999-09-02,27800,31350,26600,30100,273620,246820.0,8200000.0
1999-09-03,29100,31900,29000,30050,160050,246410.0,8200000.0
1999-09-06,29500,30850,29500,30100,83410,246820.0,8200000.0
1999-09-07,29900,30700,29600,30100,84780,246820.0,8200000.0
1999-09-08,30100,31700,29700,30500,146110,250100.0,8200000.0
1999-09-09,30500,32000,30000,32000,197230,262400.0,8200000.0
1999-09-10,32000,36500,32000,35500,423650,291100.0,8200000.0
1999-09-13,36000,36900,35000,35400,215890,290280.0,8200000.0
1999-09-14,35400,37000,34000,36600,231750,300120.0,8200000.0
1999-09-15,36600,38500,36000,37000,129950,303400.0,8200000.0
1999-09-16,37000,38500,36400,37500,149080,307500.0,8200000.0
1999-09-17,38000,38000,35900,36000,113680,295200.0,8200000.0
1999-09-20,36200,37000,35000,35800,119290,293560.0,8200000.0
1999-09-21,35100,41150,35050,40000,270580,328000.0,8200000.0
1999-09-22,40100,41500,38700,38800,131190,318160.0,8200000.0
1999-09-27,38800,40000,37700,37700,49700,309140.0,8200000.0
