풍산(103140),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-07-30,15000,15500,12750,13000,1003955,364316.0,28024278.0
2008-07-31,13000,13450,12450,12550,459359,351705.0,28024278.0
2008-08-01,12450,12600,11400,11600,421040,325082.0,28024278.0
2008-08-04,11500,11900,10600,10800,746124,302662.0,28024278.0
2008-08-05,10750,11150,10750,10950,191126,306866.0,28024278.0
2008-08-06,11200,11300,10900,11200,239945,313872.0,28024278.0
2008-08-07,11100,11350,10900,11350,146015,318076.0,28024278.0
2008-08-08,11200,12450,11200,12450,183086,348902.0,28024278.0
2008-08-11,12300,12300,11600,11650,225785,326483.0,28024278.0
2008-08-12,11650,12100,11500,11550,167131,323680.0,28024278.0
2008-08-13,11500,11800,11400,11750,113837,329285.0,28024278.0
2008-08-14,11750,12250,11550,12200,209560,341896.0,28024278.0
2008-08-18,12200,12300,11600,12300,966040,344699.0,28024278.0
2008-08-19,12250,12250,12000,12000,82768,336291.0,28024278.0
2008-08-20,12000,12200,11650,12050,199434,337693.0,28024278.0
2008-08-21,12050,12050,11400,11550,217265,323680.0,28024278.0
2008-08-22,11450,11550,11100,11450,80165,320878.0,28024278.0
2008-08-25,11350,11600,11250,11300,70896,316674.0,28024278.0
2008-08-26,11100,11200,10800,10800,228489,302662.0,28024278.0
2008-08-27,10800,10950,10000,10950,153156,306866.0,28024278.0
2008-08-28,10900,11150,10750,10900,119552,305465.0,28024278.0
2008-08-29,10850,11000,10700,10800,112617,302662.0,28024278.0
2008-09-01,10500,10650,10250,10650,188499,298459.0,28024278.0
2008-09-02,10450,10500,10050,10350,153842,290051.0,28024278.0
2008-09-03,10050,10700,9950,10450,143349,292854.0,28024278.0
2008-09-04,10200,10600,10200,10500,107677,294255.0,28024278.0
2008-09-05,10300,10550,10250,10500,75007,294255.0,28024278.0
2008-09-08,10650,11150,10650,11050,205673,309668.0,28024278.0
2008-09-09,11050,11100,10850,11050,92011,309668.0,28024278.0
2008-09-10,10800,11000,10650,10900,187049,305465.0,28024278.0
2008-09-11,10900,11100,10900,11000,170375,308267.0,28024278.0
2008-09-12,11050,11200,10850,11000,308774,308267.0,28024278.0
2008-09-16,10050,10600,9980,10150,156056,284446.0,28024278.0
2008-09-17,10350,10600,10300,10550,123522,295656.0,28024278.0
2008-09-18,10200,10400,10050,10350,133944,290051.0,28024278.0
2008-09-19,10700,10900,10500,10500,198548,294255.0,28024278.0
2008-09-22,10650,10700,10300,10350,107319,290051.0,28024278.0
2008-09-23,10100,10650,10050,10600,198154,297057.0,28024278.0
2008-09-24,10550,10700,10450,10550,118650,295656.0,28024278.0
2008-09-25,10550,10900,10550,10900,184084,305465.0,28024278.0
2008-09-26,10950,10950,10500,10500,219117,294255.0,28024278.0
2008-09-29,10750,10800,10100,10200,185573,285848.0,28024278.0
2008-09-30,9550,10000,9530,10000,232127,280243.0,28024278.0
2008-10-01,10150,10200,9920,10000,148011,280243.0,28024278.0
2008-10-02,10100,10350,9970,10100,172571,283045.0,28024278.0
2008-10-06,10000,10050,9510,9510,201162,266511.0,28024278.0
2008-10-07,9400,9400,8920,9150,241885,256422.0,28024278.0
2008-10-08,8800,8890,8030,8050,290410,225595.0,28024278.0
2008-10-09,8050,8400,8050,8150,157857,228398.0,28024278.0
2008-10-10,7700,7790,7140,7270,257102,203737.0,28024278.0
2008-10-13,7400,7810,7350,7700,209050,215787.0,28024278.0
2008-10-14,8130,8830,8110,8830,277831,247454.0,28024278.0
2008-10-15,8800,8800,8470,8650,61129,242410.0,28024278.0
2008-10-16,8020,8300,7760,8040,106152,225315.0,28024278.0
2008-10-17,8230,8300,7900,8200,101844,229799.0,28024278.0
2008-10-20,8220,8300,7650,7850,89887,219991.0,28024278.0
2008-10-21,8000,8100,7830,7830,84111,219430.0,28024278.0
2008-10-22,7730,7830,7000,7300,153705,204577.0,28024278.0
2008-10-23,7100,7100,6210,6330,242574,177394.0,28024278.0
2008-10-24,6330,6350,5390,5390,315043,151051.0,28024278.0
2008-10-27,4750,5300,4590,4800,225977,134517.0,28024278.0
2008-10-28,4365,5240,4350,5110,497356,143204.0,28024278.0
2008-10-29,5350,5650,4600,4900,359661,137319.0,28024278.0
2008-10-30,5400,5630,5150,5630,190168,157777.0,28024278.0
2008-10-31,5710,6270,5670,6180,213118,173190.0,28024278.0
2008-11-03,6330,7000,6200,7000,190873,196170.0,28024278.0
2008-11-04,7010,7120,6700,7100,130160,198972.0,28024278.0
2008-11-05,7200,7550,7100,7120,217866,199533.0,28024278.0
2008-11-06,6550,6750,6160,6180,142214,173190.0,28024278.0
2008-11-07,5900,6710,5810,6600,105666,184960.0,28024278.0
2008-11-10,6590,6900,6500,6800,160570,190565.0,28024278.0
2008-11-11,6700,7400,6570,6910,199275,193648.0,28024278.0
2008-11-12,6920,7400,6800,6820,259261,191126.0,28024278.0
2008-11-13,6500,6650,6350,6650,121371,186361.0,28024278.0
2008-11-14,6920,7000,6700,6860,102513,192247.0,28024278.0
2008-11-17,6620,7000,6610,6930,98557,194208.0,28024278.0
2008-11-18,6720,6980,6720,6790,85105,190285.0,28024278.0
2008-11-19,6820,6830,6290,6490,62598,181878.0,28024278.0
2008-11-20,6000,6190,6000,6010,169589,168426.0,28024278.0
2008-11-21,5600,6210,5600,6190,125610,173470.0,28024278.0
2008-11-24,6080,6370,6060,6310,75185,176833.0,28024278.0
2008-11-25,6600,6650,6430,6490,67640,181878.0,28024278.0
2008-11-26,6490,6630,6450,6610,107854,185240.0,28024278.0
2008-11-27,6700,6740,6500,6620,124810,185521.0,28024278.0
2008-11-28,6670,6950,6630,6760,107180,189444.0,28024278.0
2008-12-01,6710,6950,6580,6640,45729,186081.0,28024278.0
2008-12-02,6300,6380,6220,6270,71980,175712.0,28024278.0
2008-12-03,6400,6400,6240,6350,39176,177954.0,28024278.0
2008-12-04,6450,6450,6200,6290,29023,176273.0,28024278.0
2008-12-05,6390,6390,6290,6340,23608,177674.0,28024278.0
2008-12-08,6480,6800,6380,6700,89535,187763.0,28024278.0
2008-12-09,6880,7000,6680,6930,93853,194208.0,28024278.0
2008-12-10,6920,6940,6720,6920,67008,193928.0,28024278.0
2008-12-11,6920,7000,6810,6880,113181,192807.0,28024278.0
2008-12-12,6740,7050,6570,6840,266622,191686.0,28024278.0
2008-12-15,7000,7170,6910,7060,298550,197851.0,28024278.0
2008-12-16,7060,7390,7030,7300,244491,204577.0,28024278.0
2008-12-17,7500,7610,7100,7400,280682,207380.0,28024278.0
2008-12-18,7470,7790,7430,7700,246638,215787.0,28024278.0
2008-12-19,7590,7800,7500,7800,144190,218589.0,28024278.0
2008-12-22,7890,7890,7670,7890,129503,221112.0,28024278.0
2008-12-23,7760,7800,7400,7650,122051,214386.0,28024278.0
2008-12-24,7500,7600,7180,7570,90087,212144.0,28024278.0
2008-12-26,7560,7560,7330,7500,43268,210182.0,28024278.0
2008-12-29,7400,7400,7080,7390,73231,207099.0,28024278.0
2008-12-30,7380,7520,7300,7300,96730,204577.0,28024278.0
2009-01-02,7380,7690,7270,7560,119330,211864.0,28024278.0
2009-01-05,7660,8240,7570,8210,306934,230079.0,28024278.0
2009-01-06,8130,8690,8130,8660,573470,242690.0,28024278.0
2009-01-07,8780,8780,8560,8750,262116,245212.0,28024278.0
2009-01-08,8500,8570,8270,8370,146650,234563.0,28024278.0
2009-01-09,8400,8480,8240,8350,135707,234003.0,28024278.0
2009-01-12,8350,8430,8100,8200,97763,229799.0,28024278.0
2009-01-13,8200,8350,8100,8350,81584,234003.0,28024278.0
2009-01-14,8410,9220,8340,9050,184654,253620.0,28024278.0
2009-01-15,8700,8780,8370,8480,261912,237646.0,28024278.0
2009-01-16,8600,9180,8540,9100,292736,255021.0,28024278.0
2009-01-19,9390,9800,9290,9800,438401,274638.0,28024278.0
2009-01-20,9800,9950,9310,9700,322907,271835.0,28024278.0
2009-01-21,9280,9940,9280,9690,276142,271555.0,28024278.0
2009-01-22,9890,10400,9480,10200,474290,285848.0,28024278.0
2009-01-23,10400,11200,10200,10500,507569,294255.0,28024278.0
2009-01-28,10800,11000,10300,10400,243079,291452.0,28024278.0
2009-01-29,10650,10650,10000,10000,184825,280243.0,28024278.0
2009-01-30,10100,10550,10000,10150,253697,284446.0,28024278.0
2009-02-02,10100,10550,9940,10300,253072,288650.0,28024278.0
2009-02-03,10300,10700,10300,10700,244982,299860.0,28024278.0
2009-02-04,10950,12250,10700,11450,463202,320878.0,28024278.0
2009-02-05,11700,11800,11300,11350,295349,318076.0,28024278.0
2009-02-06,11600,11800,11000,11250,142374,315273.0,28024278.0
2009-02-09,11600,11600,11200,11300,132501,316674.0,28024278.0
2009-02-10,11200,11600,11200,11350,113277,318076.0,28024278.0
2009-02-11,11000,11250,10700,10950,185004,306866.0,28024278.0
