지역난방공사(071320),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-01-29,90000,99700,76500,76500,2987840,885774.0,11578744.0
2010-02-01,76700,79600,66000,73500,837930,851038.0,11578744.0
2010-02-02,75000,79400,73700,75400,438534,873037.0,11578744.0
2010-02-03,76200,77500,72300,73000,188982,845248.0,11578744.0
2010-02-04,73000,75000,68900,69600,239285,805881.0,11578744.0
2010-02-05,65500,66700,63300,65400,246812,757250.0,11578744.0
2010-02-08,69000,72000,67000,68600,405027,794302.0,11578744.0
2010-02-09,69200,69200,65700,66500,204355,769986.0,11578744.0
2010-02-10,67400,71100,66800,70600,227050,817459.0,11578744.0
2010-02-11,71200,72600,70000,71800,159373,831354.0,11578744.0
2010-02-12,72500,72800,70700,72600,73249,840617.0,11578744.0
2010-02-16,72900,73400,71400,72800,36547,842933.0,11578744.0
2010-02-17,72800,72800,70700,71100,95601,823249.0,11578744.0
2010-02-18,71200,71200,69300,69400,75354,803565.0,11578744.0
2010-02-19,69200,70800,68600,69500,71561,804723.0,11578744.0
2010-02-22,70200,70600,68900,69200,67520,801249.0,11578744.0
2010-02-23,69300,70500,67500,70400,57604,815144.0,11578744.0
2010-02-24,69900,71900,68900,71700,63600,830196.0,11578744.0
2010-02-25,72200,72700,70200,70500,44265,816301.0,11578744.0
2010-02-26,71300,72100,71000,71500,54170,827880.0,11578744.0
2010-03-02,72000,72000,70200,70500,46129,816301.0,11578744.0
2010-03-03,70000,70400,68700,69200,71784,801249.0,11578744.0
2010-03-04,69200,69700,68700,68800,36692,796618.0,11578744.0
2010-03-05,68900,69400,68300,69200,46901,801249.0,11578744.0
2010-03-08,69400,69500,68700,68700,40283,795460.0,11578744.0
2010-03-09,68700,68700,67400,67500,63074,781565.0,11578744.0
2010-03-10,67300,68200,66800,67500,43716,781565.0,11578744.0
2010-03-11,67700,67900,66700,66700,44030,772302.0,11578744.0
2010-03-12,67000,68300,66700,66800,30565,773460.0,11578744.0
2010-03-15,66700,67400,66700,67100,15263,776934.0,11578744.0
2010-03-16,67100,67100,65700,65900,54617,763039.0,11578744.0
2010-03-17,65900,67300,65800,67200,58711,778092.0,11578744.0
2010-03-18,67300,68900,66700,68700,45814,795460.0,11578744.0
2010-03-19,68800,70200,68500,69600,59231,805881.0,11578744.0
2010-03-22,69600,70000,68600,69900,39507,809354.0,11578744.0
2010-03-23,70000,70100,68600,69500,55632,804723.0,11578744.0
2010-03-24,69500,69500,67900,68800,37614,796618.0,11578744.0
2010-03-25,68100,68600,67500,67700,27012,783881.0,11578744.0
2010-03-26,67700,68300,67100,67700,35839,783881.0,11578744.0
2010-03-29,67700,67700,65800,66000,70900,764197.0,11578744.0
2010-03-30,66200,67100,65600,66900,35773,774618.0,11578744.0
2010-03-31,67200,67600,65500,65500,39937,758408.0,11578744.0
2010-04-01,65800,66200,65400,65700,72341,760723.0,11578744.0
2010-04-02,65800,66100,64000,64700,41393,749145.0,11578744.0
2010-04-05,64800,64800,61900,64100,57459,742197.0,11578744.0
2010-04-06,64000,64000,62100,63200,40606,731777.0,11578744.0
2010-04-07,63000,63200,62100,62700,38727,725987.0,11578744.0
2010-04-08,63100,63100,62100,63100,31033,730619.0,11578744.0
2010-04-09,62800,64000,62400,63800,33783,738724.0,11578744.0
2010-04-12,64000,64700,63400,64400,15561,745671.0,11578744.0
2010-04-13,64400,64400,62900,63300,27996,732934.0,11578744.0
2010-04-14,63300,63300,62100,62800,23137,727145.0,11578744.0
2010-04-15,62700,62900,62000,62600,19339,724829.0,11578744.0
2010-04-16,62400,62800,60600,60900,38124,705146.0,11578744.0
2010-04-19,60500,60900,59600,60300,24552,698198.0,11578744.0
2010-04-20,60300,62500,60000,62500,30138,723672.0,11578744.0
2010-04-21,62500,63500,62000,63400,32268,734092.0,11578744.0
2010-04-22,62700,63400,61900,63400,16297,734092.0,11578744.0
2010-04-23,63400,63500,61100,62800,39988,727145.0,11578744.0
2010-04-26,62800,62800,61000,61400,37863,710935.0,11578744.0
2010-04-27,61300,61700,60700,60800,15564,703988.0,11578744.0
2010-04-28,60100,60500,59300,59300,37495,686620.0,11578744.0
2010-04-29,59700,60400,59200,59700,23688,691251.0,11578744.0
2010-04-30,59900,60400,59000,59100,24512,684304.0,11578744.0
2010-05-03,58600,59100,57300,57300,34566,663462.0,11578744.0
2010-05-04,56900,58100,56900,58100,16563,672725.0,11578744.0
2010-05-06,57500,60400,56600,59400,26090,687777.0,11578744.0
2010-05-07,58000,60000,57500,58400,13243,676199.0,11578744.0
2010-05-10,59000,59800,57900,58400,14810,676199.0,11578744.0
2010-05-11,58500,59500,57900,58900,14271,681988.0,11578744.0
2010-05-12,58900,59200,58400,58400,12097,676199.0,11578744.0
2010-05-13,59000,59000,57800,57800,17802,669251.0,11578744.0
2010-05-14,57000,57800,56500,56800,16309,657673.0,11578744.0
2010-05-17,56300,56500,52400,52900,49649,612516.0,11578744.0
2010-05-18,53100,54100,52600,53200,37564,615989.0,11578744.0
2010-05-19,52700,54000,52000,54000,30189,625252.0,11578744.0
2010-05-20,53600,55500,53500,54000,22445,625252.0,11578744.0
2010-05-24,54800,55100,53200,54900,9373,635673.0,11578744.0
2010-05-25,54600,55100,52400,54000,23057,625252.0,11578744.0
2010-05-26,53300,54900,53000,54900,13213,635673.0,11578744.0
2010-05-27,54800,54900,53600,53600,23314,620621.0,11578744.0
2010-05-28,54400,56200,53800,55200,27399,639147.0,11578744.0
2010-05-31,55700,58300,55000,57000,38515,659988.0,11578744.0
2010-06-01,57000,58400,56600,58000,23380,671567.0,11578744.0
2010-06-03,58000,60200,58000,59500,55469,688935.0,11578744.0
2010-06-04,60000,61300,59800,61000,52069,706303.0,11578744.0
2010-06-07,60000,60900,58800,60700,22957,702830.0,11578744.0
2010-06-08,60900,61300,60000,61200,13686,708619.0,11578744.0
2010-06-09,61200,61200,60100,60500,16790,700514.0,11578744.0
2010-06-10,60500,60500,59400,59600,16058,690093.0,11578744.0
2010-06-11,59500,60500,59500,59600,8888,690093.0,11578744.0
2010-06-14,59400,60900,59400,60600,11634,701672.0,11578744.0
2010-06-15,60400,61100,59600,59800,16291,692409.0,11578744.0
2010-06-16,60200,60200,58200,58300,37988,675041.0,11578744.0
2010-06-17,58300,58300,56900,58000,37094,671567.0,11578744.0
2010-06-18,57700,58700,57300,57700,8194,668094.0,11578744.0
2010-06-21,58100,58400,57400,58000,11487,671567.0,11578744.0
2010-06-22,57800,57800,56900,57600,22212,666936.0,11578744.0
2010-06-23,57600,57600,56500,56700,11862,656515.0,11578744.0
2010-06-24,56500,57700,56500,57300,11770,663462.0,11578744.0
2010-06-25,57200,58500,56700,58300,13348,675041.0,11578744.0
2010-06-28,58600,62900,58500,62000,70813,717882.0,11578744.0
2010-06-29,62300,63000,61300,62400,26357,722514.0,11578744.0
2010-06-30,61700,64600,61200,64000,40435,741040.0,11578744.0
2010-07-01,63600,65700,63300,63800,26327,738724.0,11578744.0
2010-07-02,63300,66700,63300,66400,92364,768829.0,11578744.0
2010-07-05,67100,67300,65200,65600,24896,759566.0,11578744.0
2010-07-06,65600,66900,64700,65700,28033,760723.0,11578744.0
2010-07-07,65700,65900,64200,65700,15732,760723.0,11578744.0
2010-07-08,65700,66100,64200,64300,17048,744513.0,11578744.0
2010-07-09,64800,65500,64300,65400,20851,757250.0,11578744.0
2010-07-12,65800,65800,64600,65700,10254,760723.0,11578744.0
2010-07-13,65300,67400,65300,67000,22066,775776.0,11578744.0
2010-07-14,67000,69700,66600,68800,62991,796618.0,11578744.0
2010-07-15,68800,69200,68100,68900,24518,797775.0,11578744.0
2010-07-16,68300,68900,67100,68700,34059,795460.0,11578744.0
2010-07-19,67500,69400,67500,69400,15945,803565.0,11578744.0
2010-07-20,70200,70200,68100,68100,11531,788512.0,11578744.0
2010-07-21,68300,68400,66500,66600,15056,771144.0,11578744.0
2010-07-22,66600,67200,66000,66600,11037,771144.0,11578744.0
2010-07-23,66800,67600,66800,67000,13666,775776.0,11578744.0
2010-07-26,67000,67800,64700,65000,19024,752618.0,11578744.0
2010-07-27,64700,66600,63300,65100,29357,753776.0,11578744.0
2010-07-28,65100,65400,64000,64500,15031,746829.0,11578744.0
2010-07-29,64600,64900,63700,63700,16235,737566.0,11578744.0
2010-07-30,63400,65100,61300,65000,43955,752618.0,11578744.0
2010-08-02,64600,66100,63900,65200,14297,754934.0,11578744.0
2010-08-03,65100,65100,63700,64300,9639,744513.0,11578744.0
2010-08-04,63900,63900,62300,63100,17194,730619.0,11578744.0
2010-08-05,62700,63600,62400,62700,10287,725987.0,11578744.0
2010-08-06,62300,63400,62300,63000,5891,729461.0,11578744.0
2010-08-09,62500,63200,62500,63000,6702,729461.0,11578744.0
2010-08-10,62700,63700,62500,62900,4211,728303.0,11578744.0
2010-08-11,62900,63000,61900,62700,8926,725987.0,11578744.0
2010-08-12,61600,62500,61000,61000,9296,706303.0,11578744.0
2010-08-13,61700,61900,60700,61200,5979,708619.0,11578744.0
2010-08-16,61100,61800,61000,61500,3414,712093.0,11578744.0
2010-08-17,61800,62300,61200,62300,8972,721356.0,11578744.0
2010-08-18,62300,63400,62100,63100,17856,730619.0,11578744.0
2010-08-19,62800,63500,62500,63100,12109,730619.0,11578744.0
2010-08-20,63000,66100,62900,65000,25199,752618.0,11578744.0
2010-08-23,64800,64800,63800,64300,12305,744513.0,11578744.0
2010-08-24,63500,64300,63200,63800,15705,738724.0,11578744.0
2010-08-25,63500,63700,62700,62900,7049,728303.0,11578744.0
2010-08-26,64000,64000,62500,62600,9137,724829.0,11578744.0
2010-08-27,63400,63400,62700,63000,10581,729461.0,11578744.0
2010-08-30,63000,63300,62500,62700,1769,725987.0,11578744.0
2010-08-31,63100,63800,62500,63800,7985,738724.0,11578744.0
2010-09-01,64000,64800,63100,63100,8827,730619.0,11578744.0
2010-09-02,63500,63800,62100,63200,19249,731777.0,11578744.0
2010-09-03,62700,63300,62300,62800,11780,727145.0,11578744.0
2010-09-06,62600,63000,61900,62800,14406,727145.0,11578744.0
2010-09-07,62800,62800,61000,61100,28231,707461.0,11578744.0
2010-09-08,60800,61100,59400,59500,33910,688935.0,11578744.0
2010-09-09,60300,60300,59000,60100,12035,695883.0,11578744.0
2010-09-10,60000,60500,59600,60100,12519,695883.0,11578744.0
2010-09-13,60100,60300,59600,59900,20794,693567.0,11578744.0
2010-09-14,59700,60400,59600,60000,12085,694725.0,11578744.0
2010-09-15,61000,61900,60800,61300,15957,709777.0,11578744.0
2010-09-16,61300,64300,61300,63800,46479,738724.0,11578744.0
2010-09-17,63900,64900,63000,64900,38493,751460.0,11578744.0
2010-09-20,64400,65000,63800,65000,14014,752618.0,11578744.0
2010-09-24,64500,64700,63500,64000,16296,741040.0,11578744.0
2010-09-27,64400,64400,63400,63500,14482,735250.0,11578744.0
2010-09-28,63500,64000,62800,64000,25686,741040.0,11578744.0
2010-09-29,63500,66800,63400,66800,62184,773460.0,11578744.0
2010-09-30,66600,68800,66100,68800,49706,796618.0,11578744.0
2010-10-01,68800,70000,67300,69800,58099,808196.0,11578744.0
2010-10-04,70300,72600,69100,71000,66870,822091.0,11578744.0
2010-10-05,71700,75600,71400,74500,117868,862616.0,11578744.0
2010-10-06,75000,76700,73000,75700,45871,876511.0,11578744.0
2010-10-07,75700,76500,74000,76400,35636,884616.0,11578744.0
2010-10-08,76400,76400,74300,75400,32723,873037.0,11578744.0
2010-10-11,75400,75900,73400,75800,40776,877669.0,11578744.0
2010-10-12,75000,77400,75000,77000,36474,891563.0,11578744.0
