현대엘리베이터(017800),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,25954,26495,25575,26009,44540,144372.0,3001507.0
1999-01-05,26332,27575,25954,26494,73920,147074.0,3001507.0
1999-01-06,26224,26981,25764,26927,70350,149475.0,3001507.0
1999-01-07,27035,30009,26872,28604,206330,211680.0,4001507.0
1999-01-08,28116,28656,26927,27359,74025,202476.0,4001507.0
1999-01-11,26927,27574,26115,26873,114610,198875.0,4001507.0
1999-01-12,27034,28873,26927,28279,185100,209279.0,4001507.0
1999-01-13,28440,31090,27846,29956,249620,221683.0,4001507.0
1999-01-14,29468,29468,27088,27468,91120,203277.0,4001507.0
1999-01-15,27467,28117,26495,26494,72800,196074.0,4001507.0
1999-01-18,27142,28116,27034,27143,65350,200876.0,4001507.0
1999-01-19,27575,27575,26548,26765,38030,198075.0,4001507.0
1999-01-20,26495,27521,26224,26765,41380,198075.0,4001507.0
1999-01-21,26494,26709,24600,24819,56960,183669.0,4001507.0
1999-01-22,24817,24817,23249,23522,35320,174066.0,4001507.0
1999-01-25,22763,23467,22654,22656,29110,167663.0,4001507.0
1999-01-26,22708,23790,21788,21791,30150,161261.0,4001507.0
1999-01-27,21788,22547,21194,22006,37120,162861.0,4001507.0
1999-01-28,22167,22763,21681,22223,43310,164462.0,4001507.0
1999-01-29,22276,23141,22167,22709,28210,168063.0,4001507.0
1999-02-01,22437,22817,22330,22628,22930,167463.0,4001507.0
1999-02-02,22547,22600,21788,22006,34270,162861.0,4001507.0
1999-02-03,22167,23682,21573,22440,142110,166063.0,4001507.0
1999-02-04,22574,22655,21844,22602,23990,167263.0,4001507.0
1999-02-05,22222,23196,22222,22602,26470,167263.0,4001507.0
1999-02-08,23520,23520,22438,22548,25100,166863.0,4001507.0
1999-02-09,22168,22168,20978,21196,21840,156859.0,4001507.0
1999-02-10,20924,21356,20491,21088,15390,156059.0,4001507.0
1999-02-11,21033,21627,20817,21629,21800,160060.0,4001507.0
1999-02-12,21086,22438,21086,21954,122860,162461.0,4001507.0
1999-02-18,21788,22870,21788,21791,8530,161261.0,4001507.0
1999-02-19,21736,21736,20384,21062,17770,155859.0,4001507.0
1999-02-22,20329,21033,20221,20249,10220,149856.0,4001507.0
1999-02-23,20195,20518,18924,19304,12980,142854.0,4001507.0
1999-02-24,19303,19735,18816,18926,13610,140053.0,4001507.0
1999-02-25,18923,18923,18167,18493,19390,136852.0,4001507.0
1999-02-26,18517,21248,18517,19466,35910,144054.0,4001507.0
1999-03-02,19735,19897,19195,19574,17590,144855.0,4001507.0
1999-03-03,19844,20546,19518,20061,85340,148456.0,4001507.0
