한전KPS(051600),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-04-01,18100,18100,16900,16900,573758,760500.0,45000000.0
2008-04-02,17250,17300,16650,16800,339828,756000.0,45000000.0
2008-04-03,16700,17150,16700,17150,153163,771750.0,45000000.0
2008-04-04,17300,17300,16600,16700,237114,751500.0,45000000.0
2008-04-07,16800,17150,16800,16800,221467,756000.0,45000000.0
2008-04-08,16750,17050,16600,16950,146183,762750.0,45000000.0
2008-04-10,17000,17000,16700,16900,80327,760500.0,45000000.0
2008-04-11,16950,17000,16650,16750,130725,753750.0,45000000.0
2008-04-14,16600,16700,16400,16400,123197,738000.0,45000000.0
2008-04-15,16300,17150,16200,17150,155485,771750.0,45000000.0
2008-04-16,17250,18200,17000,17800,393870,801000.0,45000000.0
2008-04-17,17900,18150,17500,17500,137857,787500.0,45000000.0
2008-04-18,17750,17750,17400,17500,88401,787500.0,45000000.0
2008-04-21,17800,17850,17200,17350,245453,780750.0,45000000.0
2008-04-22,17450,17450,16900,17050,150557,767250.0,45000000.0
2008-04-23,17000,17550,16750,16800,211647,756000.0,45000000.0
2008-04-24,16850,17050,16650,16650,221029,749250.0,45000000.0
2008-04-25,16750,17000,16700,16800,183228,756000.0,45000000.0
2008-04-28,17000,17150,16800,16900,164581,760500.0,45000000.0
2008-04-29,17050,17050,16750,16900,145457,760500.0,45000000.0
2008-04-30,17050,17100,16800,17050,107431,767250.0,45000000.0
2008-05-02,17250,17250,16900,16900,121894,760500.0,45000000.0
2008-05-06,16800,18750,16800,18250,632242,821250.0,45000000.0
2008-05-07,18600,18850,18250,18400,318561,828000.0,45000000.0
2008-05-08,18350,20200,18050,19350,871717,870750.0,45000000.0
2008-05-09,19500,21150,19400,21150,951254,951750.0,45000000.0
2008-05-13,21750,21750,20650,21550,623496,969750.0,45000000.0
2008-05-14,21600,21900,20800,21050,498588,947250.0,45000000.0
2008-05-15,21450,24200,21400,24000,2065394,1080000.0,45000000.0
2008-05-16,22750,23550,20950,21800,1740609,981000.0,45000000.0
2008-05-19,22400,23500,22000,22150,722737,996750.0,45000000.0
2008-05-20,22400,22600,21250,22000,461774,990000.0,45000000.0
2008-05-21,21600,22550,21000,21000,414866,945000.0,45000000.0
2008-05-22,21100,22250,21100,21800,426285,981000.0,45000000.0
2008-05-23,21850,22250,21250,21500,315353,967500.0,45000000.0
2008-05-26,21200,21200,20150,20150,366469,906750.0,45000000.0
2008-05-27,20500,21900,20300,21450,452170,965250.0,45000000.0
2008-05-28,22350,22950,22050,22500,769907,1012500.0,45000000.0
2008-05-29,22500,22900,21450,21650,442655,974250.0,45000000.0
2008-05-30,22000,22350,21450,22000,291849,990000.0,45000000.0
2008-06-02,21250,21700,20600,21050,506558,947250.0,45000000.0
2008-06-03,20900,21400,20450,20700,281217,931500.0,45000000.0
2008-06-04,20500,20800,19550,20250,364095,911250.0,45000000.0
2008-06-05,20400,21000,20300,20850,286666,938250.0,45000000.0
2008-06-09,20200,21900,20200,21350,418106,960750.0,45000000.0
2008-06-10,21500,21650,20850,21100,246336,949500.0,45000000.0
2008-06-11,21350,21650,20950,21150,189676,951750.0,45000000.0
2008-06-12,20650,20900,19900,20400,311398,918000.0,45000000.0
2008-06-13,20550,20650,19900,20250,206296,911250.0,45000000.0
2008-06-16,20500,20600,19800,20000,170910,900000.0,45000000.0
2008-06-17,19800,19950,19150,19300,220061,868500.0,45000000.0
2008-06-18,19400,20050,19300,20050,174556,902250.0,45000000.0
2008-06-19,19800,20200,19350,19350,150241,870750.0,45000000.0
2008-06-20,19550,20400,19500,20400,196723,918000.0,45000000.0
2008-06-23,20350,20750,19900,20400,155697,918000.0,45000000.0
2008-06-24,20500,20650,19800,20050,134965,902250.0,45000000.0
2008-06-25,20050,20250,19750,19850,78356,893250.0,45000000.0
2008-06-26,20000,20500,19750,20500,139804,922500.0,45000000.0
2008-06-27,20100,20900,19800,20900,187117,940500.0,45000000.0
2008-06-30,21000,21500,20600,21400,322951,963000.0,45000000.0
2008-07-01,21400,21700,21150,21600,211367,972000.0,45000000.0
2008-07-02,21800,22050,21250,21300,314102,958500.0,45000000.0
2008-07-03,21050,21700,19950,21650,275668,974250.0,45000000.0
2008-07-04,21800,21950,21050,21150,175308,951750.0,45000000.0
2008-07-07,20650,21150,20200,20400,194454,918000.0,45000000.0
2008-07-08,20300,20500,19650,20400,299915,918000.0,45000000.0
2008-07-09,20700,21300,20600,20700,231981,931500.0,45000000.0
2008-07-10,20300,21550,20300,21500,117542,967500.0,45000000.0
2008-07-11,21700,22250,21450,21900,214428,985500.0,45000000.0
2008-07-14,21900,22350,21500,21700,170852,976500.0,45000000.0
2008-07-15,21700,21950,20850,21400,221376,963000.0,45000000.0
2008-07-16,21400,23000,21250,23000,443208,1035000.0,45000000.0
2008-07-17,23350,24800,23250,24500,716760,1102500.0,45000000.0
2008-07-18,24950,24950,23600,23650,366985,1064250.0,45000000.0
2008-07-21,23700,24600,23050,23050,447212,1037250.0,45000000.0
2008-07-22,23200,23550,22650,22800,295202,1026000.0,45000000.0
2008-07-23,23350,24250,23250,24200,371259,1089000.0,45000000.0
2008-07-24,24500,25350,24350,24700,376197,1111500.0,45000000.0
2008-07-25,24500,24500,23550,23600,246131,1062000.0,45000000.0
2008-07-28,23700,24100,23300,24000,133426,1080000.0,45000000.0
2008-07-29,23600,25000,23500,25000,251413,1125000.0,45000000.0
2008-07-30,25300,25700,24700,24800,311938,1116000.0,45000000.0
2008-07-31,25200,25300,24550,24950,167532,1122750.0,45000000.0
2008-08-01,24900,25500,24650,25300,207397,1138500.0,45000000.0
2008-08-04,25300,25600,24350,25550,200861,1149750.0,45000000.0
2008-08-05,25850,26850,25750,26050,473229,1172250.0,45000000.0
2008-08-06,26300,26450,25700,26150,219213,1176750.0,45000000.0
2008-08-07,26250,26750,25850,26000,187600,1170000.0,45000000.0
2008-08-08,25650,25900,25100,25200,276129,1134000.0,45000000.0
2008-08-11,25000,25550,23050,23050,546054,1037250.0,45000000.0
2008-08-12,23450,24450,23200,23450,412192,1055250.0,45000000.0
2008-08-13,23500,23850,23100,23500,202591,1057500.0,45000000.0
2008-08-14,23600,24400,23500,24300,156723,1093500.0,45000000.0
2008-08-18,24700,25000,24000,24000,137958,1080000.0,45000000.0
2008-08-19,23600,24500,23600,24300,139953,1093500.0,45000000.0
2008-08-20,24150,24600,24050,24150,119700,1086750.0,45000000.0
2008-08-21,24100,24200,22950,22950,221364,1032750.0,45000000.0
2008-08-22,22850,23400,22150,23400,212508,1053000.0,45000000.0
2008-08-25,23800,23950,23350,23500,98929,1057500.0,45000000.0
2008-08-26,23000,23850,22800,23650,104449,1064250.0,45000000.0
2008-08-27,23650,24200,23200,24000,186753,1080000.0,45000000.0
2008-08-28,24200,25450,24100,25200,576077,1134000.0,45000000.0
2008-08-29,25500,25700,24550,25150,432756,1131750.0,45000000.0
2008-09-01,25050,25100,24000,24000,214884,1080000.0,45000000.0
2008-09-02,23900,24850,23900,24400,206162,1098000.0,45000000.0
2008-09-03,24750,25500,24550,24800,244343,1116000.0,45000000.0
2008-09-04,24900,25000,24250,24900,165050,1120500.0,45000000.0
2008-09-05,24400,24850,24250,24250,171566,1091250.0,45000000.0
2008-09-08,24700,24750,24300,24550,222956,1104750.0,45000000.0
2008-09-09,24550,25550,24400,24950,325658,1122750.0,45000000.0
2008-09-10,24700,25400,24550,25150,188905,1131750.0,45000000.0
2008-09-11,25250,25750,25100,25500,214272,1147500.0,45000000.0
2008-09-12,25900,26150,25600,25600,170703,1152000.0,45000000.0
2008-09-16,23650,25100,23600,24450,222326,1100250.0,45000000.0
2008-09-17,25300,25400,24850,24850,139835,1118250.0,45000000.0
2008-09-18,24300,25750,24200,25350,179245,1140750.0,45000000.0
2008-09-19,25850,26100,25500,25800,174438,1161000.0,45000000.0
2008-09-22,26100,28400,25900,27950,564973,1257750.0,45000000.0
2008-09-23,27900,28350,27000,27300,375847,1228500.0,45000000.0
2008-09-24,27400,27700,26650,26850,351689,1208250.0,45000000.0
2008-09-25,27200,27650,26400,26900,355352,1210500.0,45000000.0
2008-09-26,27100,27600,26800,26900,259694,1210500.0,45000000.0
2008-09-29,27300,28050,26900,26900,272871,1210500.0,45000000.0
2008-09-30,25400,27350,25300,27000,281613,1215000.0,45000000.0
2008-10-01,27100,27300,26200,26700,289511,1201500.0,45000000.0
2008-10-02,26800,26900,26200,26200,288964,1179000.0,45000000.0
2008-10-06,25900,25900,24100,24100,421050,1084500.0,45000000.0
2008-10-07,23550,24000,22550,23850,276020,1073250.0,45000000.0
2008-10-08,22750,23450,21000,21150,264314,951750.0,45000000.0
2008-10-09,21200,23700,21200,23050,360456,1037250.0,45000000.0
2008-10-10,22050,24350,21800,24300,375455,1093500.0,45000000.0
2008-10-13,24800,25500,24500,25400,183637,1143000.0,45000000.0
2008-10-14,26300,26600,25450,25700,207164,1156500.0,45000000.0
2008-10-15,25900,26200,24750,24850,191340,1118250.0,45000000.0
2008-10-16,23900,24450,22700,22950,203889,1032750.0,45000000.0
2008-10-17,24000,24150,22450,23000,149826,1035000.0,45000000.0
2008-10-20,23450,23650,22000,23400,122742,1053000.0,45000000.0
2008-10-21,23600,24150,22850,23250,88239,1046250.0,45000000.0
2008-10-22,22950,23950,22650,23200,208780,1044000.0,45000000.0
2008-10-23,22200,23300,22200,22800,156032,1026000.0,45000000.0
2008-10-24,22800,23300,19400,19700,246581,886500.0,45000000.0
2008-10-27,19500,21500,19400,21400,234842,963000.0,45000000.0
2008-10-28,21000,24200,20600,23950,246972,1077750.0,45000000.0
2008-10-29,24600,25750,21750,22350,392768,1005750.0,45000000.0
2008-10-30,24000,25300,23050,24900,320256,1120500.0,45000000.0
2008-10-31,24800,25350,23700,24450,377458,1100250.0,45000000.0
2008-11-03,24900,24950,24050,24100,246752,1084500.0,45000000.0
2008-11-04,24150,24750,23700,23850,266890,1073250.0,45000000.0
2008-11-05,24350,25200,23300,24000,539827,1080000.0,45000000.0
2008-11-06,23450,23800,21750,21750,295874,978750.0,45000000.0
2008-11-07,21550,23200,20850,23000,215779,1035000.0,45000000.0
2008-11-10,23300,23700,22800,22950,186455,1032750.0,45000000.0
2008-11-11,23000,23400,22000,22700,179335,1021500.0,45000000.0
2008-11-12,22200,23000,22100,22400,83097,1008000.0,45000000.0
2008-11-13,21700,22850,21650,22800,123890,1026000.0,45000000.0
