만도(204320),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-10-06,42700,43000,37800,39500,558948,1854806.0,9391424.0
2014-10-07,39800,41600,38300,39600,164599,1859502.0,9391424.0
2014-10-08,39600,41400,38800,40300,134062,1892372.0,9391424.0
2014-10-10,40300,40600,38100,40400,119096,1897068.0,9391424.0
2014-10-13,40000,40400,38100,39200,119033,1840719.0,9391424.0
2014-10-14,39000,39300,37100,38000,129121,1784371.0,9391424.0
2014-10-15,38000,39000,36300,37300,121505,1751501.0,9391424.0
2014-10-16,36600,37800,35400,37800,173990,1774979.0,9391424.0
2014-10-17,37700,38300,37100,37500,55043,1760892.0,9391424.0
2014-10-20,38300,38700,37700,38200,70501,1793762.0,9391424.0
2014-10-21,37800,38200,37100,37300,73228,1751501.0,9391424.0
2014-10-22,38000,38300,35900,36100,139723,1695152.0,9391424.0
2014-10-23,35800,36800,34600,35800,125005,1681065.0,9391424.0
2014-10-24,36100,36500,34200,36400,116021,1709239.0,9391424.0
2014-10-27,36900,39100,36600,38000,133824,1784371.0,9391424.0
2014-10-28,38000,40000,38000,39600,126584,1859502.0,9391424.0
2014-10-29,40500,40600,39100,39300,69956,1845415.0,9391424.0
2014-10-30,39600,41000,38800,40700,99834,1911155.0,9391424.0
2014-10-31,40900,41200,39900,40300,62168,1892372.0,9391424.0
2014-11-03,40000,40000,38000,38700,101112,1817241.0,9391424.0
2014-11-04,38300,38700,36200,38100,127495,1789066.0,9391424.0
2014-11-05,38200,38900,38100,38900,58055,1826632.0,9391424.0
2014-11-06,38900,39100,36800,38400,1733127,1803153.0,9391424.0
2014-11-07,37500,38500,37300,37800,83729,1774979.0,9391424.0
2014-11-10,38100,39300,37300,37500,104072,1760892.0,9391424.0
2014-11-11,37500,39000,37500,38500,110762,1807849.0,9391424.0
2014-11-12,38900,39500,38100,38800,49173,1821936.0,9391424.0
2014-11-13,38700,39300,38500,38700,32685,1817241.0,9391424.0
2014-11-14,38400,38700,38000,38400,31835,1803153.0,9391424.0
2014-11-17,38600,38700,37300,37900,60378,1779675.0,9391424.0
2014-11-18,37900,38000,37200,37500,46368,1760892.0,9391424.0
2014-11-19,37500,37700,37000,37700,34137,1770283.0,9391424.0
2014-11-20,37600,37800,37300,37700,31625,1770283.0,9391424.0
2014-11-21,37700,38000,36400,36900,75691,1732718.0,9391424.0
2014-11-24,36600,37000,36100,36600,62996,1718631.0,9391424.0
2014-11-25,36700,37100,36200,36500,64131,1713935.0,9391424.0
