삼성에스디에스(018260),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-11-14,380000,382500,325000,327500,3822084,25341230.0,77377800.0
2014-11-17,317500,342500,312000,338500,1568450,26192385.0,77377800.0
2014-11-18,342000,375000,340000,366000,1423443,28320275.0,77377800.0
2014-11-19,367000,373500,352500,371000,864739,28707164.0,77377800.0
2014-11-20,369500,400000,367500,398000,1706709,30796364.0,77377800.0
2014-11-21,398500,413000,393000,400000,967753,30951120.0,77377800.0
2014-11-24,405000,408500,384000,404000,942445,31260631.0,77377800.0
2014-11-25,396000,428000,375500,428000,3022131,33117698.0,77377800.0
2014-11-26,413000,429500,410500,410500,909494,31763587.0,77377800.0
2014-11-27,412000,419500,378000,378000,834742,29248808.0,77377800.0
2014-11-28,368500,374000,345500,347000,1040525,26850097.0,77377800.0
2014-12-01,357000,361000,343000,343500,531894,26579274.0,77377800.0
2014-12-02,342000,356500,341500,353000,428955,27314363.0,77377800.0
2014-12-03,354000,361000,354000,357000,300156,27623875.0,77377800.0
2014-12-04,361500,368000,354500,355500,262418,27507808.0,77377800.0
2014-12-05,351500,354500,345000,349500,252744,27043541.0,77377800.0
2014-12-08,352000,352000,333500,334000,291875,25844185.0,77377800.0
2014-12-09,331000,335000,317000,321000,435603,24838274.0,77377800.0
2014-12-10,318000,326500,309000,325500,433680,25186474.0,77377800.0
2014-12-11,321000,331000,320000,320000,247997,24760896.0,77377800.0
2014-12-12,318500,321500,309000,309000,291431,23909740.0,77377800.0
2014-12-15,300000,307500,299000,299500,391426,23174651.0,77377800.0
2014-12-16,296500,298500,286000,286500,486239,22168740.0,77377800.0
2014-12-17,293500,306500,288000,290000,599116,22439562.0,77377800.0
2014-12-18,296000,297500,271500,280500,640148,21704473.0,77377800.0
2014-12-19,285000,292500,279000,287500,698457,22246118.0,77377800.0
2014-12-22,286000,287500,275000,281500,394511,21781851.0,77377800.0
2014-12-23,282000,292500,280500,283000,359697,21897917.0,77377800.0
2014-12-24,287500,287500,280500,283000,234835,21897917.0,77377800.0
2014-12-26,283500,286000,279000,283500,249542,21936606.0,77377800.0
2014-12-29,289000,297500,287000,295000,632051,22826451.0,77377800.0
2014-12-30,299000,302000,292000,293500,409522,22710384.0,77377800.0
2015-01-02,298000,319000,295000,318000,684126,24606140.0,77377800.0
2015-01-05,322500,327500,308000,310000,553675,23987118.0,77377800.0
2015-01-06,305500,307500,292500,294000,404667,22749073.0,77377800.0
2015-01-07,292500,298000,290500,290500,176350,22478251.0,77377800.0
2015-01-08,293500,300500,292000,294000,186261,22749073.0,77377800.0
2015-01-09,299500,302500,296500,300500,228505,23252029.0,77377800.0
2015-01-12,296000,299500,289000,289000,280549,22362184.0,77377800.0
2015-01-13,286000,286500,260500,264000,975579,20427739.0,77377800.0
2015-01-14,266500,271000,262500,264000,266692,20427739.0,77377800.0
2015-01-15,265500,269500,264500,267500,145924,20698562.0,77377800.0
2015-01-16,265000,266500,262500,264000,98113,20427739.0,77377800.0
2015-01-19,264500,268500,255000,257500,183261,19924784.0,77377800.0
2015-01-20,258000,260500,248000,249000,355279,19267072.0,77377800.0
2015-01-21,249000,249000,227000,229500,820033,17758205.0,77377800.0
2015-01-22,228000,235000,226500,227500,354100,17603450.0,77377800.0
2015-01-23,232500,239500,230500,238500,391438,18454605.0,77377800.0
2015-01-26,237500,244000,234500,236500,229739,18299850.0,77377800.0
2015-01-27,239000,242500,238500,242000,182275,18725428.0,77377800.0
2015-01-28,255500,275000,252000,271000,860609,20969384.0,77377800.0
2015-01-29,274000,276500,260500,268000,344243,20737250.0,77377800.0
2015-01-30,273000,273500,256500,264500,309643,20466428.0,77377800.0
2015-02-02,261000,263000,252500,254000,190321,19653961.0,77377800.0
2015-02-03,254000,256500,247000,255500,229661,19770028.0,77377800.0
2015-02-04,258000,263000,255500,261500,182413,20234295.0,77377800.0
2015-02-05,258000,263000,254500,260000,147272,20118228.0,77377800.0
2015-02-06,260500,263500,255000,255000,181803,19731339.0,77377800.0
2015-02-09,253000,255500,245000,246000,191976,19034939.0,77377800.0
2015-02-10,244500,245000,238000,238500,183025,18454605.0,77377800.0
2015-02-11,236500,250000,236500,244500,211622,18918872.0,77377800.0
2015-02-12,244000,245000,236000,237500,166730,18377228.0,77377800.0
2015-02-13,238000,246000,234000,242000,303008,18725428.0,77377800.0
2015-02-16,240000,260000,239000,256500,726401,19847406.0,77377800.0
2015-02-17,255000,258500,252000,255000,190610,19731339.0,77377800.0
2015-02-23,259000,259000,254000,257000,158027,19886095.0,77377800.0
2015-02-24,259000,271000,257000,268000,404175,20737250.0,77377800.0
2015-02-25,272000,282500,271500,276000,448168,21356273.0,77377800.0
2015-02-26,278000,280000,271000,279500,205892,21627095.0,77377800.0
2015-02-27,281000,290000,277500,289500,353285,22400873.0,77377800.0
2015-03-02,290500,294500,276000,286000,401795,22130051.0,77377800.0
2015-03-03,286500,288000,276500,285000,287315,22052673.0,77377800.0
2015-03-04,284500,290000,283000,283500,188903,21936606.0,77377800.0
2015-03-05,283000,288500,279500,287500,206684,22246118.0,77377800.0
2015-03-06,289000,293000,286000,292500,206715,22633006.0,77377800.0
2015-03-09,289500,297000,288500,297000,271535,22981207.0,77377800.0
2015-03-10,299000,300000,294000,299500,319047,23174651.0,77377800.0
2015-03-11,284500,288500,272500,277000,1054134,21433651.0,77377800.0
2015-03-12,278500,284000,271500,279500,1267555,21627095.0,77377800.0
2015-03-13,277500,280000,266500,270000,468581,20892006.0,77377800.0
2015-03-16,266000,267500,255500,260000,393273,20118228.0,77377800.0
2015-03-17,265000,279000,264000,279000,408616,21588406.0,77377800.0
2015-03-18,277000,280000,272000,277500,255936,21472340.0,77377800.0
2015-03-19,280000,281000,273000,281000,268731,21743162.0,77377800.0
2015-03-20,279000,282000,276000,279000,143441,21588406.0,77377800.0
2015-03-23,276500,278000,270000,270000,208959,20892006.0,77377800.0
2015-03-24,267000,273000,266500,269000,85981,20814628.0,77377800.0
2015-03-25,268500,273000,266500,268500,92105,20775939.0,77377800.0
2015-03-26,263500,273000,263000,266000,99008,20582495.0,77377800.0
2015-03-27,267000,271000,266000,271000,91849,20969384.0,77377800.0
2015-03-30,272000,274500,266000,272000,86477,21046762.0,77377800.0
2015-03-31,274500,274500,265500,267500,110262,20698562.0,77377800.0
2015-04-01,267500,268000,263500,263500,71961,20389050.0,77377800.0
2015-04-02,265000,265000,260000,260500,99656,20156917.0,77377800.0
2015-04-03,260000,265500,260000,265000,70984,20505117.0,77377800.0
2015-04-06,266000,267000,261000,261000,68686,20195606.0,77377800.0
2015-04-07,262000,264000,259000,263500,72198,20389050.0,77377800.0
2015-04-08,263000,263000,258000,258000,110857,19963472.0,77377800.0
2015-04-09,257500,260000,256000,257500,87797,19924784.0,77377800.0
2015-04-10,256500,264000,256500,260000,124983,20118228.0,77377800.0
2015-04-13,260000,260500,254000,254500,158891,19692650.0,77377800.0
2015-04-14,255500,257000,254000,256000,133917,19808717.0,77377800.0
2015-04-15,257500,292500,256500,269500,762366,20853317.0,77377800.0
2015-04-16,269500,279500,269500,274000,385238,21201517.0,77377800.0
2015-04-17,275500,279000,269000,269000,147036,20814628.0,77377800.0
2015-04-20,264000,277000,264000,273000,177270,21124139.0,77377800.0
2015-04-21,276000,281000,273000,273000,157087,21124139.0,77377800.0
2015-04-22,274000,276500,266500,267000,147404,20659873.0,77377800.0
2015-04-23,270000,288500,266500,275500,574675,21317584.0,77377800.0
2015-04-24,276500,277000,267500,267500,196259,20698562.0,77377800.0
2015-04-27,270000,274000,265500,265500,113907,20543806.0,77377800.0
2015-04-28,266500,270000,266000,266500,81520,20621184.0,77377800.0
2015-04-29,266500,268500,265000,266000,102036,20582495.0,77377800.0
2015-04-30,264000,266500,255500,256000,164005,19808717.0,77377800.0
2015-05-04,256500,257000,249000,251000,181518,19421828.0,77377800.0
2015-05-06,250000,250000,241000,241500,199363,18686739.0,77377800.0
2015-05-07,239500,248000,231500,245000,218876,18957561.0,77377800.0
2015-05-08,249000,258500,248500,252500,161836,19537894.0,77377800.0
2015-05-11,252500,258000,245000,255500,132733,19770028.0,77377800.0
2015-05-12,252000,255000,250500,254000,76259,19653961.0,77377800.0
2015-05-13,254000,265000,254000,262000,142764,20272984.0,77377800.0
2015-05-14,262000,267000,258000,266000,115142,20582495.0,77377800.0
2015-05-15,267000,273000,266500,271500,195935,21008073.0,77377800.0
2015-05-18,270000,272000,265500,270000,94429,20892006.0,77377800.0
2015-05-19,268000,270000,263000,267500,97465,20698562.0,77377800.0
2015-05-20,267500,270500,264000,268500,68959,20775939.0,77377800.0
2015-05-21,266000,267000,260500,261000,99070,20195606.0,77377800.0
2015-05-22,261000,265500,260500,265000,73307,20505117.0,77377800.0
2015-05-26,274500,291500,272000,283500,832097,21936606.0,77377800.0
2015-05-27,290500,305000,288000,301000,1010747,23290718.0,77377800.0
2015-05-28,320000,341000,309500,329000,1394151,25457296.0,77377800.0
2015-05-29,323500,335000,316000,335000,816148,25921563.0,77377800.0
2015-06-01,328000,329500,310500,311500,421272,24103185.0,77377800.0
2015-06-02,314000,325000,311500,319000,268960,24683518.0,77377800.0
2015-06-03,318500,322000,302500,306500,275131,23716296.0,77377800.0
2015-06-04,273500,291500,271000,284000,772964,21975295.0,77377800.0
2015-06-05,281500,283000,272000,273000,388033,21124139.0,77377800.0
2015-06-08,275000,280000,273500,275000,183274,21278895.0,77377800.0
2015-06-09,274500,277000,270000,270000,144361,20892006.0,77377800.0
2015-06-10,272000,275000,260000,261500,218514,20234295.0,77377800.0
2015-06-11,264000,268500,261500,268500,141958,20775939.0,77377800.0
2015-06-12,270500,274000,265000,269500,110014,20853317.0,77377800.0
2015-06-15,265000,267500,262000,263000,56427,20350361.0,77377800.0
2015-06-16,263500,268000,260500,261000,85942,20195606.0,77377800.0
2015-06-17,261500,261500,253500,254500,144846,19692650.0,77377800.0
2015-06-18,258000,275000,255500,258500,194889,20002161.0,77377800.0
2015-06-19,260500,263500,254500,259000,96923,20040850.0,77377800.0
2015-06-22,258000,262500,256000,256500,69963,19847406.0,77377800.0
2015-06-23,257000,266500,255500,260500,101450,20156917.0,77377800.0
2015-06-24,263000,264000,256500,258500,114230,20002161.0,77377800.0
2015-06-25,256500,259500,255000,256500,108364,19847406.0,77377800.0
