세아특수강(019440),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-06-01,32500,37350,32200,37350,2777700,320090.0,8570000.0
2011-06-02,38500,42950,37400,40200,3267812,344514.0,8570000.0
2011-06-03,40800,41200,37500,38500,941842,329945.0,8570000.0
2011-06-07,38950,40200,38350,38400,393069,329088.0,8570000.0
2011-06-08,38400,39200,36400,36700,270382,314519.0,8570000.0
2011-06-09,36500,38000,35500,37800,265640,323946.0,8570000.0
2011-06-10,38000,38500,36600,36700,106772,314519.0,8570000.0
2011-06-13,36700,40000,36550,40000,363781,342800.0,8570000.0
2011-06-14,40000,45750,39350,43000,838047,368510.0,8570000.0
2011-06-15,43600,45500,43500,45200,318664,387364.0,8570000.0
2011-06-16,44500,51300,44100,47600,632728,407932.0,8570000.0
2011-06-17,48500,50000,42900,44000,575712,377080.0,8570000.0
2011-06-20,45300,46000,43100,44000,188232,377080.0,8570000.0
2011-06-21,45000,47600,44000,47600,337454,407932.0,8570000.0
2011-06-22,48300,49450,45550,45850,340048,392934.0,8570000.0
2011-06-23,44900,47000,43600,44000,209590,377080.0,8570000.0
2011-06-24,44050,44800,41100,42750,289277,366368.0,8570000.0
2011-06-27,41850,42800,41000,41500,170064,355655.0,8570000.0
2011-06-28,42200,42450,39050,39050,247470,334658.0,8570000.0
2011-06-29,39350,40950,39100,39450,147116,338086.0,8570000.0
2011-06-30,39750,43850,38800,43200,305877,370224.0,8570000.0
2011-07-01,41500,43150,41500,42500,294510,364225.0,8570000.0
2011-07-04,42900,43750,41500,41550,187214,356084.0,8570000.0
2011-07-05,41700,43350,41700,43100,229967,369367.0,8570000.0
2011-07-06,42800,44750,42200,44450,213718,380936.0,8570000.0
2011-07-07,44700,45700,43700,44700,240391,383079.0,8570000.0
2011-07-08,44800,46150,44350,45350,222902,388650.0,8570000.0
2011-07-11,46000,48500,45050,47050,315068,403218.0,8570000.0
2011-07-12,46500,48000,46050,46950,177567,402362.0,8570000.0
2011-07-13,47250,49300,46950,49100,170518,420787.0,8570000.0
2011-07-14,48900,49450,46550,49100,132460,420787.0,8570000.0
