남양유업(003920),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,92000,92000,91000,91000,50,65520.0,720000.0
1999-01-05,90800,90800,90800,90800,0,65376.0,720000.0
1999-01-06,90000,90000,90000,90000,100,64800.0,720000.0
1999-01-07,90000,90000,90000,90000,20,64800.0,720000.0
1999-01-08,88000,88000,88000,88000,70,63360.0,720000.0
1999-01-11,93000,93000,93000,93000,40,66960.0,720000.0
1999-01-12,93000,93000,93000,93000,0,66960.0,720000.0
1999-01-13,81000,81000,81000,81000,20,58320.0,720000.0
1999-01-14,83000,90000,83000,83000,120,59760.0,720000.0
1999-01-15,83000,89500,83000,89000,50,64080.0,720000.0
1999-01-18,86000,86000,86000,86000,10,61920.0,720000.0
1999-01-19,86000,86000,86000,86000,20,61920.0,720000.0
1999-01-20,88000,88000,88000,88000,30,63360.0,720000.0
1999-01-21,86000,86000,85000,85000,60,61200.0,720000.0
1999-01-22,85000,85000,85000,85000,0,61200.0,720000.0
1999-01-25,82000,82000,82000,82000,10,59040.0,720000.0
1999-01-26,82000,82000,82000,82000,0,59040.0,720000.0
1999-01-27,82000,82000,82000,82000,0,,
1999-01-28,82000,82000,82000,82000,0,,
1999-01-29,82000,82000,82000,82000,2000,59040.0,720000.0
1999-02-01,82000,82000,82000,82000,10,59040.0,720000.0
1999-02-02,85000,85000,85000,85000,0,61200.0,720000.0
1999-02-03,85000,85000,85000,85000,30,61200.0,720000.0
1999-02-04,85000,88000,85000,88000,2330,63360.0,720000.0
1999-02-05,88000,88100,88000,88100,70,63432.0,720000.0
1999-02-08,89000,93000,88000,93000,1060,66960.0,720000.0
1999-02-09,94000,94000,94000,94000,1190,67680.0,720000.0
1999-02-10,96000,96100,96000,96100,7020,69192.0,720000.0
1999-02-11,96500,96500,96500,96500,310,69480.0,720000.0
1999-02-12,95000,95000,95000,95000,10,68400.0,720000.0
1999-02-18,96500,100000,96500,100000,1400,72000.0,720000.0
1999-02-19,100000,100000,100000,100000,110,72000.0,720000.0
1999-02-22,100000,105000,100000,105000,230,75600.0,720000.0
1999-02-23,105000,115000,105000,115000,5550,82800.0,720000.0
