코스맥스(192820),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-04-07,65234,74595,64941,65527,669085,604767.0,8999509.0
2014-04-08,66112,75278,65917,75278,547635,694762.0,8999509.0
2014-04-09,73522,82591,70597,74205,1289933,684863.0,8999509.0
2014-04-10,75765,79373,74107,76058,469749,701962.0,8999509.0
2014-04-11,75082,76838,71182,71183,295291,656964.0,8999509.0
2014-04-14,71670,73522,70695,72255,132670,666864.0,8999509.0
2014-04-15,73035,75473,72450,73523,158050,678563.0,8999509.0
2014-04-16,73327,74107,70500,70695,171818,652464.0,8999509.0
2014-04-17,70987,72742,70695,72255,110554,666864.0,8999509.0
2014-04-18,73327,73327,71475,72060,81066,665064.0,8999509.0
2014-04-21,72352,72840,67769,69135,192668,638065.0,8999509.0
2014-04-22,69232,69914,67867,67965,143415,627266.0,8999509.0
2014-04-23,68647,69037,67087,67282,93002,620966.0,8999509.0
2014-04-24,67672,68257,66404,67087,79807,619166.0,8999509.0
2014-04-25,67087,67964,65917,66112,88931,610167.0,8999509.0
2014-04-28,65721,68159,65429,68062,91346,628166.0,8999509.0
2014-04-29,68159,68452,67087,67380,49598,621866.0,8999509.0
2014-04-30,68062,69427,67087,67770,117602,625466.0,8999509.0
2014-05-02,67769,68744,67087,68160,53204,629066.0,8999509.0
2014-05-07,68354,69622,68257,69622,127057,642565.0,8999509.0
2014-05-08,69622,69622,68062,68745,54293,634465.0,8999509.0
2014-05-09,68549,73620,68549,73230,198743,675863.0,8999509.0
2014-05-12,73230,74790,71767,74400,138712,686663.0,8999509.0
2014-05-13,74400,74887,73230,74010,56942,683063.0,8999509.0
2014-05-14,74302,74790,73230,74010,53548,683063.0,8999509.0
2014-05-15,74497,75570,72450,73035,100214,674063.0,8999509.0
2014-05-16,73620,73912,71767,72450,101793,668664.0,8999509.0
2014-05-19,72450,75180,72352,75181,116672,693862.0,8999509.0
2014-05-20,74985,75473,74107,75181,66240,693862.0,8999509.0
2014-05-21,74985,75765,74010,74010,63365,683063.0,8999509.0
2014-05-22,74302,75960,73230,75961,140395,701062.0,8999509.0
2014-05-23,76155,79861,75375,78398,141448,723561.0,8999509.0
2014-05-26,78398,80348,77423,77618,89733,716361.0,8999509.0
2014-05-27,78105,78495,75765,77716,62048,717261.0,8999509.0
2014-05-28,77715,79373,77033,78301,70393,722661.0,8999509.0
2014-05-29,79373,80933,78300,79081,83946,729860.0,8999509.0
2014-05-30,79958,81421,79275,80154,57961,739760.0,8999509.0
2014-06-02,79958,80153,78203,78496,42125,724460.0,8999509.0
2014-06-03,77228,78690,76058,77911,74931,719061.0,8999509.0
2014-06-05,77520,81713,76740,80836,89259,746059.0,8999509.0
2014-06-09,81713,83956,80933,83664,81540,772158.0,8999509.0
2014-06-10,83663,84834,81908,84249,60201,777558.0,8999509.0
2014-06-11,84639,85516,82981,83274,43059,768558.0,8999509.0
2014-06-12,83663,83956,82591,83469,32282,770358.0,8999509.0
2014-06-13,82883,86296,82298,85614,65690,790157.0,8999509.0
2014-06-16,85614,86589,85029,85907,55348,792857.0,8999509.0
2014-06-17,86589,89904,86296,89612,85354,827055.0,8999509.0
2014-06-18,91074,91952,88831,89417,105189,825255.0,8999509.0
2014-06-19,90099,92342,88149,89710,109559,827955.0,8999509.0
2014-06-20,90002,96730,89709,93610,149471,863953.0,8999509.0
2014-06-23,95072,97315,93609,94390,98815,871152.0,8999509.0
2014-06-24,95365,97412,94975,97120,101042,896351.0,8999509.0
2014-06-25,97022,97022,93122,95365,135124,880152.0,8999509.0
2014-06-26,93902,93902,90294,91465,167542,844154.0,8999509.0
2014-06-27,91854,92244,88929,89612,108953,827055.0,8999509.0
2014-06-30,90002,92927,88929,92830,89191,856753.0,8999509.0
2014-07-01,94585,96632,94195,96340,98439,889151.0,8999509.0
2014-07-02,97217,97315,95365,97315,45123,898151.0,8999509.0
2014-07-03,97997,97997,95950,97998,48871,904451.0,8999509.0
2014-07-04,99460,101410,97997,99461,50551,917950.0,8999509.0
2014-07-07,97997,98485,95560,95950,65767,885552.0,8999509.0
2014-07-08,94682,97997,94390,97510,68475,899951.0,8999509.0
2014-07-09,98485,106773,97997,105799,122189,976447.0,8999509.0
2014-07-10,105798,106286,102873,104336,76153,962947.0,8999509.0
2014-07-11,102385,109699,102385,104336,139112,962947.0,8999509.0
2014-07-14,105311,105798,102385,104824,59012,967447.0,8999509.0
2014-07-15,104336,106286,102385,104824,60294,967447.0,8999509.0
