동원산업(006040),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,13400,13400,12754,12754,138080,117489.0,7436000.0
1999-01-05,12674,12916,12512,12673,81560,116745.0,7436000.0
1999-01-06,12916,14530,12916,14489,426140,133476.0,7436000.0
1999-01-07,14934,15176,14046,14732,253140,135707.0,7436000.0
1999-01-08,15095,15095,14127,14126,127560,130130.0,7436000.0
1999-01-11,14490,14651,14127,14126,126050,130130.0,7436000.0
1999-01-12,14288,14450,13400,13682,106870,126040.0,7436000.0
1999-01-13,14046,14853,13562,13884,151280,127899.0,7436000.0
1999-01-14,13319,13885,12189,12915,116990,118976.0,7436000.0
1999-01-15,12997,13239,12512,13077,150770,120463.0,7436000.0
1999-01-18,13239,14046,12916,13561,205500,124925.0,7436000.0
1999-01-19,13723,13885,13239,13319,85810,122694.0,7436000.0
1999-01-20,13077,13562,12754,12996,92280,119720.0,7436000.0
1999-01-21,12189,12916,11705,11826,92020,108937.0,7436000.0
1999-01-22,11100,11463,10978,11139,82560,102617.0,7436000.0
1999-01-25,11221,11301,10494,10736,95650,98899.0,7436000.0
1999-01-26,10736,11221,10413,10695,142460,98527.0,7436000.0
1999-01-27,10656,11947,10575,11382,115260,104848.0,7436000.0
1999-01-28,11059,11786,11059,11462,100040,105591.0,7436000.0
1999-01-29,11705,11786,11261,11382,76630,104848.0,7436000.0
1999-02-01,11382,12189,11382,11785,128980,108566.0,7436000.0
1999-02-02,12109,13077,11947,12835,324280,118232.0,7436000.0
1999-02-03,13037,13037,11866,11866,165450,109309.0,7436000.0
1999-02-04,12109,12109,11221,11543,83050,106335.0,7436000.0
1999-02-05,11544,11988,11382,11745,93670,108194.0,7436000.0
1999-02-08,11866,11947,11544,11543,46250,106335.0,7436000.0
1999-02-09,11301,11382,10494,10736,62210,98899.0,7436000.0
1999-02-10,10656,11382,10494,10897,60700,100386.0,7436000.0
1999-02-11,11221,11221,10898,10897,43760,100386.0,7436000.0
1999-02-12,11221,11382,10898,10938,78180,100758.0,7436000.0
1999-02-18,10978,11140,10736,10776,40090,99271.0,7436000.0
1999-02-19,10656,10656,10010,10251,72090,94437.0,7436000.0
1999-02-22,10010,10656,9848,10009,60700,92206.0,7436000.0
1999-02-23,10091,10333,9525,9565,82350,88117.0,7436000.0
1999-02-24,9647,9848,9606,9606,67580,88488.0,7436000.0
1999-02-25,9566,9687,9283,9444,56070,87001.0,7436000.0
1999-02-26,9525,10010,9525,10009,92510,92206.0,7436000.0
1999-03-02,10091,10615,9929,10171,155750,93694.0,7436000.0
1999-03-03,10171,10978,10171,10574,160200,97412.0,7436000.0
1999-03-04,10777,10777,10413,10574,48560,97412.0,7436000.0
1999-03-05,10494,10736,10333,10736,41750,98899.0,7436000.0
1999-03-08,10736,11221,10736,11220,110290,103360.0,7436000.0
1999-03-09,11301,11624,11140,11261,103630,103732.0,7436000.0
1999-03-10,11382,12109,11221,12027,161750,110796.0,7436000.0
1999-03-11,12109,12109,11786,12027,58370,110796.0,7436000.0
1999-03-12,12028,12189,11866,11947,38540,110053.0,7436000.0
1999-03-15,12189,12351,11866,11987,71580,110425.0,7436000.0
1999-03-16,12068,12593,12068,12592,91130,116002.0,7436000.0
