포스코강판(058430),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-08-16,26600,30550,22650,22650,897965,135900.0,6000000.0
2002-08-19,24000,24650,22600,23500,203498,141000.0,6000000.0
2002-08-20,23500,23900,22300,22300,127595,133800.0,6000000.0
2002-08-21,21500,21900,20500,20750,143983,124500.0,6000000.0
2002-08-22,21000,23850,20750,23850,139096,143100.0,6000000.0
2002-08-23,24300,26800,23500,24050,363826,144300.0,6000000.0
2002-08-26,23000,23850,22300,22600,80462,135600.0,6000000.0
2002-08-27,23750,23750,22350,22500,53722,135000.0,6000000.0
2002-08-28,21750,22300,21600,21850,70611,131100.0,6000000.0
2002-08-29,21800,22800,21400,22450,54003,134700.0,6000000.0
2002-08-30,22050,23250,22050,23250,51497,139500.0,6000000.0
2002-09-02,22550,23250,22500,23150,41091,138900.0,6000000.0
2002-09-03,22750,23500,22700,23400,34010,140400.0,6000000.0
2002-09-04,22750,23300,22600,23200,37421,139200.0,6000000.0
2002-09-05,22800,24500,22700,22850,73911,137100.0,6000000.0
2002-09-06,23100,23300,21900,21900,26931,131400.0,6000000.0
2002-09-09,22700,22700,20700,20750,21072,124500.0,6000000.0
2002-09-10,20500,21350,20500,21300,19820,127800.0,6000000.0
2002-09-11,20800,21800,20800,21000,19370,126000.0,6000000.0
2002-09-12,21450,21450,20750,21200,16450,127200.0,6000000.0
2002-09-13,20800,21000,20450,20600,22720,123600.0,6000000.0
2002-09-16,20600,20600,18900,19200,73120,115200.0,6000000.0
2002-09-17,19200,19850,19100,19500,194945,117000.0,6000000.0
2002-09-18,19100,19200,17950,18500,141207,111000.0,6000000.0
2002-09-19,18100,18500,17600,17700,107695,106200.0,6000000.0
2002-09-23,17300,18350,16800,16800,278737,100800.0,6000000.0
2002-09-24,16500,16650,15400,15650,133348,93900.0,6000000.0
2002-09-25,15200,15400,14700,15100,92660,90600.0,6000000.0
2002-09-26,15500,15800,14900,14900,96070,89400.0,6000000.0
2002-09-27,15000,15250,14300,15000,141002,90000.0,6000000.0
2002-09-30,15450,17250,15150,16300,502212,97800.0,6000000.0
2002-10-01,16700,17050,16300,16600,158790,99600.0,6000000.0
2002-10-02,17300,17300,16550,16550,155030,99300.0,6000000.0
2002-10-04,16050,16700,16050,16500,58960,99000.0,6000000.0
2002-10-07,16200,16300,15500,15500,49624,93000.0,6000000.0
2002-10-08,15200,16300,15200,15750,100721,94500.0,6000000.0
2002-10-09,16000,16000,15600,16000,104490,96000.0,6000000.0
