황금에스티(032560),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,259,259,259,259,0,1986.0,394000.0
1999-01-05,259,259,259,259,0,,
1999-01-06,259,259,259,258,0,1970.0,394000.0
1999-01-07,226,226,226,226,0,1734.0,394000.0
1999-01-08,226,226,226,226,0,1734.0,394000.0
1999-01-11,226,226,226,226,0,,
1999-01-12,226,226,226,226,0,,
1999-01-13,226,226,226,226,0,,
1999-01-14,226,226,226,226,0,,
1999-01-15,224,224,224,226,0,1726.0,394000.0
1999-01-18,226,253,226,252,700,1931.0,394000.0
1999-01-19,283,283,223,224,270,1702.0,394000.0
1999-01-20,196,223,195,224,140,1702.0,394000.0
1999-01-21,223,223,223,224,1840,1702.0,394000.0
1999-01-22,195,195,195,197,30,1501.0,394000.0
1999-01-25,195,195,195,197,170,1501.0,394000.0
1999-01-26,219,219,219,220,0,1678.0,394000.0
1999-01-27,192,192,192,194,190,1478.0,394000.0
1999-01-28,204,204,168,170,110,1300.0,394000.0
1999-01-29,150,181,150,180,440,1379.0,394000.0
1999-02-01,203,203,203,202,3090,1544.0,394000.0
1999-02-02,226,226,226,226,350,1730.0,394000.0
1999-02-03,254,254,254,253,2390,1935.0,394000.0
1999-02-04,259,259,259,258,1500,1970.0,394000.0
1999-02-05,259,259,259,258,1020,1970.0,394000.0
1999-02-08,259,290,228,289,480,2206.0,394000.0
1999-02-09,290,290,290,289,300,2206.0,394000.0
1999-02-10,290,290,290,289,3580,2206.0,394000.0
1999-02-11,290,290,290,289,0,2206.0,394000.0
1999-02-12,290,290,290,289,0,,
1999-02-18,290,290,290,289,0,,
1999-02-19,290,290,290,289,0,,
1999-02-22,290,290,290,289,0,,
1999-02-23,283,283,283,283,50,2167.0,394000.0
1999-02-24,277,277,277,279,0,2128.0,394000.0
1999-02-25,277,277,277,279,0,2128.0,394000.0
1999-02-26,277,277,277,279,0,,
1999-03-02,259,259,259,258,220,1970.0,394000.0
1999-03-03,259,259,259,258,980,1970.0,394000.0
1999-03-04,259,259,259,258,0,1970.0,394000.0
1999-03-05,259,259,259,258,0,,
1999-03-08,226,226,226,226,120,1734.0,394000.0
1999-03-09,232,232,226,226,2390,1734.0,394000.0
1999-03-10,246,246,246,248,1000,1891.0,394000.0
1999-03-11,222,222,222,223,790,1694.0,394000.0
1999-03-12,226,226,226,226,1100,1734.0,394000.0
1999-03-15,232,232,232,232,0,1773.0,394000.0
1999-03-16,232,232,232,232,0,1773.0,394000.0
1999-03-17,253,253,253,252,2000,1931.0,394000.0
1999-03-18,259,259,259,258,100,1970.0,394000.0
1999-03-19,232,232,232,232,10,1773.0,394000.0
1999-03-22,232,232,232,232,430,1773.0,394000.0
1999-03-23,238,238,238,237,1000,1812.0,394000.0
1999-03-24,238,238,238,237,0,1812.0,394000.0
1999-03-25,232,232,232,232,2000,1773.0,394000.0
1999-03-26,232,232,232,232,0,,
1999-03-29,232,232,232,232,2000,1773.0,394000.0
1999-03-30,232,232,232,232,0,,
1999-03-31,232,232,232,232,140,1773.0,394000.0
1999-04-01,233,253,233,252,1150,1931.0,394000.0
1999-04-02,258,258,253,252,5320,1931.0,394000.0
1999-04-06,253,253,253,252,0,1931.0,394000.0
1999-04-07,253,253,253,252,220,1931.0,394000.0
1999-04-08,253,253,253,252,0,,
1999-04-09,251,277,251,279,360,2128.0,394000.0
1999-04-12,277,277,277,279,0,,
1999-04-13,277,277,277,279,0,,
1999-04-14,277,277,277,279,0,,
1999-04-15,277,277,277,279,0,,
1999-04-16,253,259,253,258,1330,1970.0,394000.0
1999-04-19,263,263,263,263,0,2009.0,394000.0
