신세계I&C(035510),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-11-16,26000,26000,26000,26000,1631,44720.0,1720000.0
2000-11-17,29100,29100,29100,29100,51746,50052.0,1720000.0
2000-11-20,32550,32550,32550,32550,24129,55986.0,1720000.0
2000-11-21,36450,36450,29500,34500,1252126,59340.0,1720000.0
2000-11-22,34000,34300,30400,30400,616283,52288.0,1720000.0
2000-11-23,29000,29600,26800,26800,366356,46096.0,1720000.0
2000-11-24,26000,29800,24800,27350,735918,47042.0,1720000.0
2000-11-27,28000,30600,28000,30600,174101,52632.0,1720000.0
2000-11-28,32100,33500,27650,28300,782784,48676.0,1720000.0
2000-11-29,26000,27200,24950,24950,247685,42914.0,1720000.0
2000-11-30,24500,25500,22000,22000,208175,37840.0,1720000.0
2000-12-01,19800,23200,19550,21500,495110,36980.0,1720000.0
2000-12-04,22000,22450,18950,19450,252373,33454.0,1720000.0
2000-12-05,19800,21750,19050,21750,458419,37410.0,1720000.0
2000-12-06,22500,23250,19150,19200,325145,33024.0,1720000.0
2000-12-07,18600,19650,17900,18400,230593,31648.0,1720000.0
2000-12-08,18700,19100,18000,18350,161747,31562.0,1720000.0
2000-12-11,18100,18750,17300,18600,201277,31992.0,1720000.0
2000-12-12,18600,19600,18300,18400,362757,31648.0,1720000.0
2000-12-13,18200,18600,17350,17400,143813,29928.0,1720000.0
2000-12-14,17200,17700,16600,16850,136235,28982.0,1720000.0
2000-12-15,16500,17400,16450,16550,167720,28466.0,1720000.0
2000-12-18,16100,17450,16050,17350,191282,29842.0,1720000.0
2000-12-19,17850,17850,15300,15350,282470,26402.0,1720000.0
2000-12-20,14800,14800,13550,13550,103900,23306.0,1720000.0
2000-12-21,12100,12650,11950,11950,212351,20554.0,1720000.0
2000-12-22,11500,11900,10550,10750,177654,18490.0,1720000.0
2000-12-26,10800,11400,10550,10600,133214,18232.0,1720000.0
2001-01-02,10600,11600,10450,10850,170019,18662.0,1720000.0
2001-01-03,10600,11200,10600,10850,188950,18662.0,1720000.0
2001-01-04,11550,12050,11350,11500,254050,19780.0,1720000.0
2001-01-05,11600,11750,10850,11300,154589,19436.0,1720000.0
2001-01-08,11500,12650,11150,12650,171952,21758.0,1720000.0
2001-01-09,13500,14150,13400,14150,96712,24338.0,1720000.0
2001-01-10,15800,15800,12550,13350,572262,22962.0,1720000.0
2001-01-11,13800,14950,13250,14950,237447,25714.0,1720000.0
2001-01-12,15750,16500,15200,15500,328496,26660.0,1720000.0
2001-01-15,15200,16900,15200,16050,331424,27606.0,1720000.0
2001-01-16,16050,16050,14600,15050,231413,25886.0,1720000.0
2001-01-17,15200,16850,14500,16850,375601,28982.0,1720000.0
2001-01-18,17700,18850,17100,18400,489928,31648.0,1720000.0
2001-01-19,18950,18950,16700,17500,168430,30100.0,1720000.0
2001-01-22,17800,18900,17300,18200,168878,31304.0,1720000.0
2001-01-26,17750,18500,16600,17250,208656,29670.0,1720000.0
2001-01-29,16800,18300,16500,18000,171286,30960.0,1720000.0
2001-01-30,18800,20150,18500,20150,348812,34658.0,1720000.0
2001-01-31,19900,20100,17750,17800,227937,30616.0,1720000.0
2001-02-01,18050,18700,17100,17100,148084,29412.0,1720000.0
2001-02-02,17250,17800,17100,17350,85207,29842.0,1720000.0
2001-02-05,16900,16900,15300,15400,120392,26488.0,1720000.0
2001-02-06,16000,17200,15700,16400,273342,28208.0,1720000.0
2001-02-07,16550,17400,15800,16300,204385,28036.0,1720000.0
2001-02-08,16300,17150,16300,16800,80533,28896.0,1720000.0
2001-02-09,16400,18300,16400,17700,189010,30444.0,1720000.0
2001-02-12,18300,19800,18000,19800,344293,34056.0,1720000.0
2001-02-13,20500,21500,19400,19900,307511,34228.0,1720000.0
2001-02-14,19600,20600,19300,19600,129058,33712.0,1720000.0
2001-02-15,20000,21500,20000,20600,181881,35432.0,1720000.0
2001-02-16,20200,22700,19300,21700,405201,37324.0,1720000.0
2001-02-19,21500,22700,21250,21650,176724,37238.0,1720000.0
2001-02-20,22000,23200,21350,21950,211048,37754.0,1720000.0
2001-02-21,21800,22200,19800,20450,132024,35174.0,1720000.0
2001-02-22,20600,20600,18400,19200,149764,33024.0,1720000.0
2001-02-23,18600,19400,18600,19200,66437,33024.0,1720000.0
2001-02-26,18700,20200,18700,19950,82603,34314.0,1720000.0
