환인제약(016580),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,1595,1672,1595,1621,102050,24570.0,1300000.0
1999-01-05,1630,1792,1630,1711,327800,25935.0,1300000.0
1999-01-06,1715,1861,1698,1801,434950,27300.0,1300000.0
1999-01-07,1844,1844,1758,1758,263150,26650.0,1300000.0
1999-01-08,1767,1853,1724,1853,267100,28080.0,1300000.0
1999-01-11,1964,2127,1938,2084,786100,31590.0,1300000.0
1999-01-12,2084,2127,1998,2058,382350,31200.0,1300000.0
1999-01-13,2092,2161,2024,2024,341650,30680.0,1300000.0
1999-01-14,1930,2007,1801,1801,257300,27300.0,1300000.0
1999-01-15,1741,1930,1741,1878,217950,28470.0,1300000.0
1999-01-18,2157,2157,2015,2058,328000,31200.0,1300000.0
1999-01-19,2058,2058,1895,1904,119250,28860.0,1300000.0
1999-01-20,1922,1990,1836,1836,105400,27820.0,1300000.0
1999-01-21,1810,1879,1720,1733,134650,26260.0,1300000.0
1999-01-22,1673,1733,1630,1660,68000,25155.0,1300000.0
1999-01-25,1660,1716,1587,1617,74650,24505.0,1300000.0
1999-01-26,1647,1694,1548,1578,71400,23920.0,1300000.0
1999-01-27,1553,1630,1544,1613,65250,24440.0,1300000.0
1999-01-28,1621,1711,1621,1630,78100,24700.0,1300000.0
1999-01-29,1660,1681,1587,1630,93150,24700.0,1300000.0
1999-02-01,1716,1716,1630,1673,63200,25350.0,1300000.0
1999-02-02,1707,1707,1544,1630,74000,24700.0,1300000.0
1999-02-03,1552,1630,1552,1608,63600,24375.0,1300000.0
1999-02-04,1617,1630,1544,1544,53400,23400.0,1300000.0
1999-02-05,1557,1596,1553,1570,62800,23790.0,1300000.0
1999-02-08,1621,1621,1561,1570,98850,23790.0,1300000.0
1999-02-09,1570,1570,1475,1510,113450,22880.0,1300000.0
1999-02-10,1474,1517,1457,1505,52550,22815.0,1300000.0
1999-02-11,1462,1527,1462,1510,72700,22880.0,1300000.0
1999-02-12,1527,1544,1500,1535,75600,23270.0,1300000.0
1999-02-18,1553,1561,1501,1553,63950,23530.0,1300000.0
1999-02-19,1552,1604,1500,1544,168250,23400.0,1300000.0
1999-02-22,1561,1621,1552,1574,194700,23855.0,1300000.0
1999-02-23,1587,1600,1519,1527,102750,23140.0,1300000.0
1999-02-24,1526,1526,1482,1484,73150,22490.0,1300000.0
1999-02-25,1431,1470,1419,1450,71050,21970.0,1300000.0
1999-02-26,1418,1487,1418,1454,58500,22035.0,1300000.0
1999-03-02,1474,1526,1465,1501,88500,22750.0,1300000.0
1999-03-03,1461,1517,1448,1458,59450,22100.0,1300000.0
1999-03-04,1457,1509,1440,1467,59300,22230.0,1300000.0
1999-03-05,1483,1535,1475,1518,120200,23010.0,1300000.0
1999-03-08,1510,1587,1510,1561,155150,23660.0,1300000.0
1999-03-09,1587,1596,1510,1553,123200,23530.0,1300000.0
1999-03-10,1544,1552,1518,1518,79900,23010.0,1300000.0
1999-03-11,1536,1570,1510,1570,96500,23790.0,1300000.0
1999-03-12,1587,1630,1570,1587,141350,24050.0,1300000.0
1999-03-15,1621,1621,1579,1587,71700,24050.0,1300000.0
1999-03-16,1587,1672,1578,1651,91550,25025.0,1300000.0
1999-03-17,1672,1895,1647,1681,278100,25480.0,1300000.0
1999-03-18,1681,1681,1587,1587,87750,24050.0,1300000.0
1999-03-19,1587,1626,1579,1587,105800,24050.0,1300000.0
1999-03-22,1621,1621,1561,1565,93050,23725.0,1300000.0
1999-03-23,1544,1613,1544,1570,103750,23790.0,1300000.0
1999-03-24,1587,1604,1557,1587,71350,24050.0,1300000.0
1999-03-25,1587,1604,1561,1587,79150,24050.0,1300000.0
