웅진코웨이(021240),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,465.0,486.0,465.0,471.0,1209.0,8955.0,1316900.0
1999-01-05,486.0,506.0,472.0,471.0,1960.0,8955.0,1316900.0
1999-01-06,472.0,486.0,472.0,485.0,3393.0,9218.0,1316900.0
1999-01-07,492.0,492.0,472.0,485.0,5890.0,9218.0,1316900.0
1999-01-08,486.0,534.0,486.0,534.0,6950.0,10140.0,1316900.0
1999-01-11,514.0,555.0,513.0,534.0,1900.0,10140.0,1316900.0
1999-01-12,541.0,541.0,524.0,540.0,2153.0,10272.0,1316900.0
1999-01-13,558.0,558.0,548.0,554.0,3674.0,10535.0,1316900.0
1999-01-14,555.0,555.0,548.0,551.0,3517.0,10469.0,1316900.0
1999-01-15,541.0,541.0,531.0,534.0,2117.0,10140.0,1316900.0
1999-01-18,541.0,555.0,541.0,554.0,6619.0,10535.0,1316900.0
1999-01-19,555.0,569.0,548.0,561.0,6724.0,10667.0,1316900.0
1999-01-20,629.0,629.0,562.0,563.0,1304.0,10693.0,1316900.0
1999-01-21,563.0,569.0,498.0,554.0,1503.0,10535.0,1316900.0
1999-01-22,555.0,555.0,555.0,554.0,20.0,10535.0,1316900.0
1999-01-25,555.0,555.0,492.0,554.0,12.0,10535.0,1316900.0
1999-01-26,513.0,541.0,493.0,540.0,531.0,10272.0,1316900.0
1999-01-27,486.0,534.0,486.0,534.0,701.0,10140.0,1316900.0
1999-01-28,520.0,520.0,492.0,520.0,298.0,9877.0,1316900.0
1999-01-29,520.0,520.0,486.0,520.0,662.0,9877.0,1316900.0
1999-02-01,486.0,562.0,486.0,561.0,3295.0,10667.0,1316900.0
1999-02-02,562.0,562.0,495.0,554.0,1348.0,10535.0,1316900.0
1999-02-03,555.0,555.0,496.0,554.0,1746.0,10535.0,1316900.0
1999-02-04,492.0,555.0,489.0,552.0,1944.0,10496.0,1316900.0
1999-02-05,553.0,553.0,553.0,552.0,0.0,10496.0,1316900.0
1999-02-08,499.0,554.0,492.0,554.0,501.0,10522.0,1316900.0
1999-02-09,558.0,558.0,492.0,522.0,3200.0,9929.0,1316900.0
1999-02-10,468.0,558.0,468.0,557.0,3005.0,10588.0,1316900.0
1999-02-11,557.0,557.0,544.0,554.0,2100.0,10535.0,1316900.0
1999-02-12,514.0,555.0,488.0,554.0,5081.0,10522.0,1316900.0
1999-02-18,548.0,548.0,500.0,534.0,1700.0,10140.0,1316900.0
1999-02-19,520.0,520.0,486.0,485.0,900.0,9218.0,1316900.0
1999-02-22,427.0,503.0,427.0,502.0,594.0,9548.0,1316900.0
