금호전기(001210),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,4713,4962,4713,4954,48630,23960.0,4000000.0
1999-01-05,4964,5130,4799,5005,85450,24200.0,4000000.0
1999-01-06,5053,5706,5045,5623,175890,27200.0,4000000.0
1999-01-07,5625,6030,5393,5773,197590,27920.0,4000000.0
1999-01-08,5790,6037,5592,5798,173070,28040.0,4000000.0
1999-01-11,5833,6618,5717,6452,244510,31200.0,4000000.0
1999-01-12,6634,6700,6038,6327,196980,30600.0,4000000.0
1999-01-13,6533,7269,6525,7269,419710,35160.0,4000000.0
1999-01-14,7114,7114,6188,6369,207670,30800.0,4000000.0
1999-01-15,6367,6839,6203,6616,178060,32000.0,4000000.0
1999-01-18,6699,7608,6699,7608,303560,36800.0,4000000.0
1999-01-19,7610,8107,7024,7022,302260,33960.0,4000000.0
1999-01-20,6824,7113,6328,6550,166420,31680.0,4000000.0
1999-01-21,6575,6947,6367,6616,171140,32000.0,4000000.0
1999-01-22,6699,6782,5955,6186,80070,29920.0,4000000.0
1999-01-25,5998,6039,5460,5460,91310,26400.0,4000000.0
1999-01-26,5542,5955,5211,5210,61850,25200.0,4000000.0
1999-01-27,5211,5451,5046,5352,74150,25880.0,4000000.0
1999-01-28,5542,5947,5468,5773,101140,27920.0,4000000.0
1999-01-29,5873,6071,5666,5807,58550,28080.0,4000000.0
1999-02-01,5831,6616,5831,6202,88360,30000.0,4000000.0
1999-02-02,6327,6368,5873,6037,80970,29200.0,4000000.0
1999-02-03,6122,6577,6122,6369,163080,30800.0,4000000.0
1999-02-04,6286,6329,5923,6121,56930,29600.0,4000000.0
1999-02-05,6285,6285,6037,6194,61710,29960.0,4000000.0
1999-02-08,6129,6452,6080,6211,78310,30040.0,4000000.0
1999-02-09,6121,6121,5375,5623,51310,27200.0,4000000.0
1999-02-10,5624,5790,5301,5699,57810,27560.0,4000000.0
1999-02-11,5749,6038,5715,5831,49880,28200.0,4000000.0
1999-02-12,5956,6122,5832,6121,79630,29600.0,4000000.0
1999-02-18,6122,6162,5831,5955,20130,28800.0,4000000.0
1999-02-19,5625,5874,5062,5666,21310,27400.0,4000000.0
1999-02-22,5218,5705,5218,5383,24270,26040.0,4000000.0
1999-02-23,5394,5501,5302,5451,23130,26360.0,4000000.0
1999-02-24,5377,5460,5212,5460,25330,26400.0,4000000.0
1999-02-25,5493,5708,5254,5460,41790,26400.0,4000000.0
1999-02-26,5500,5855,5500,5623,55570,27200.0,4000000.0
1999-03-02,5708,5915,5666,5749,33640,27800.0,4000000.0
1999-03-03,5789,5855,5624,5623,34800,27200.0,4000000.0
1999-03-04,5674,6469,5583,6202,280870,30000.0,4000000.0
1999-03-05,6368,6534,6203,6286,159500,30400.0,4000000.0
1999-03-08,6453,6758,6453,6658,145020,32200.0,4000000.0
1999-03-09,6740,6740,6367,6517,97510,31520.0,4000000.0
1999-03-10,6454,6454,6247,6452,71100,31200.0,4000000.0
1999-03-11,6553,6578,6454,6576,87120,31800.0,4000000.0
1999-03-12,6693,7114,6535,6799,190510,32880.0,4000000.0
1999-03-15,6947,7113,6864,6865,173010,33200.0,4000000.0
1999-03-16,6865,6949,6625,6691,73560,32360.0,4000000.0
1999-03-17,6708,6783,6286,6327,99950,30600.0,4000000.0
1999-03-18,6369,6493,6138,6220,56740,30080.0,4000000.0
1999-03-19,6204,6493,6204,6377,47300,30840.0,4000000.0
1999-03-22,6137,6766,6137,6534,72010,31600.0,4000000.0
1999-03-23,6616,6616,6368,6534,45440,31600.0,4000000.0
1999-03-24,6452,6899,6452,6897,77410,33360.0,4000000.0
1999-03-25,7033,7281,6726,6783,130470,32800.0,4000000.0
1999-03-26,6900,7073,6643,7031,98840,34000.0,4000000.0
1999-03-29,7040,7321,7032,7130,130130,34480.0,4000000.0
1999-03-30,7362,7593,7221,7444,294380,36000.0,4000000.0
1999-03-31,7519,7693,7362,7444,127500,36000.0,4000000.0
1999-04-01,7444,7527,7328,7361,86590,35600.0,4000000.0
1999-04-02,7444,7592,7278,7361,84370,35600.0,4000000.0
1999-04-06,7443,7848,7286,7608,128460,36800.0,4000000.0
1999-04-07,7815,8354,7691,8146,196350,39400.0,4000000.0
1999-04-08,8146,8188,7858,7857,93770,38000.0,4000000.0
1999-04-09,8108,8255,7817,7982,90510,38600.0,4000000.0
