동부제철(016380),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,815746,825533,771476,785030,141720,57458.0,8069945.0
1999-01-05,794575,794575,762652,792772,108210,58023.0,8069945.0
1999-01-06,805674,854334,805674,852314,621460,62381.0,8069945.0
1999-01-07,883016,963290,883016,938320,527250,68675.0,8069945.0
1999-01-08,920478,920478,881951,888772,199420,65044.0,8069945.0
1999-01-11,893020,959233,882030,959294,305590,70209.0,8069945.0
1999-01-12,960059,1012952,959049,992373,449350,72630.0,8069945.0
1999-01-13,1008713,1030693,961409,981393,314330,71823.0,8069945.0
1999-01-14,959341,959341,848971,851188,122100,62300.0,8069945.0
1999-01-15,881962,903942,859826,903130,160650,66093.0,8069945.0
1999-01-18,904037,959301,904037,926215,178590,67788.0,8069945.0
1999-01-19,925945,945712,870682,871036,101000,63753.0,8069945.0
1999-01-20,870703,890667,826587,826977,100490,60525.0,8069945.0
1999-01-21,784919,814823,754163,754203,133120,55198.0,8069945.0
1999-01-22,705260,737357,686697,694661,161160,50841.0,8069945.0
1999-01-25,707818,716594,683468,683681,109510,50034.0,8069945.0
1999-01-26,705474,715648,672541,672561,157010,49227.0,8069945.0
1999-01-27,661317,677900,639180,673687,141020,49307.0,8069945.0
1999-01-28,681056,710996,666726,706766,211670,51728.0,8069945.0
1999-01-29,697021,727738,684825,704655,94580,51567.0,8069945.0
1999-02-01,704280,722027,699890,705640,93120,51648.0,8069945.0
1999-02-02,708071,716848,678325,678192,97810,49630.0,8069945.0
1999-02-03,678055,678055,651531,651729,75510,47693.0,8069945.0
1999-02-04,655718,655718,619211,635119,84010,46483.0,8069945.0
1999-02-05,639442,660412,628448,639482,84900,46806.0,8069945.0
1999-02-08,633777,661504,629390,637371,125090,46644.0,8069945.0
1999-02-09,617634,623031,573361,578954,113510,42367.0,8069945.0
1999-02-10,567687,606210,539997,584444,256920,42771.0,8069945.0
1999-02-11,595273,616206,584283,612034,170550,44788.0,8069945.0
1999-02-12,628614,639604,624224,636245,149650,46564.0,8069945.0
1999-02-18,628626,628626,595539,596550,90100,43658.0,8069945.0
1999-02-19,584011,588437,563081,588808,91010,43094.0,8069945.0
1999-02-22,567746,606270,567746,600913,112860,43981.0,8069945.0
1999-02-23,595241,611787,595241,605418,87720,44304.0,8069945.0
1999-02-24,607459,627225,597479,597676,129980,43739.0,8069945.0
1999-02-25,578687,638183,578687,616397,94330,45111.0,8069945.0
1999-02-26,617676,638646,606529,617523,65800,45192.0,8069945.0
1999-03-02,622858,694511,622858,661582,126350,48420.0,8069945.0
1999-03-03,671521,683521,644995,661582,96480,48420.0,8069945.0
1999-03-04,650581,694504,633844,693535,148380,50760.0,8069945.0
1999-03-05,683724,797277,672540,768561,245170,56248.0,8069945.0
1999-03-08,768539,786132,757392,765183,203170,56005.0,8069945.0
1999-03-09,793902,793902,739842,739846,117440,54149.0,8069945.0
1999-03-10,744134,749531,716404,719998,72180,52697.0,8069945.0
1999-03-11,727394,741764,712018,719998,100480,52697.0,8069945.0
1999-03-12,733206,759573,733206,758567,83930,55521.0,8069945.0
1999-03-15,760763,788299,744376,754203,122050,55198.0,8069945.0
1999-03-16,754367,755377,727843,743224,128270,54391.0,8069945.0
1999-03-17,746540,770696,706813,722250,171620,52858.0,8069945.0
1999-03-18,700237,727810,684860,690297,77900,50518.0,8069945.0
1999-03-19,690063,711190,684663,691423,98740,50599.0,8069945.0
1999-03-22,708640,720797,677884,694661,162690,50841.0,8069945.0
1999-03-23,694287,703220,670134,673687,169590,49307.0,8069945.0
1999-03-24,686683,692236,661323,691423,269830,50599.0,8069945.0
1999-03-25,722015,793665,713045,766309,709620,56086.0,8069945.0
1999-03-26,766289,771883,727766,744350,206430,54472.0,8069945.0
1999-03-29,826796,855496,783846,855693,1318700,62623.0,8069945.0
1999-03-30,866223,877213,838690,864420,836140,63268.0,8069945.0
1999-03-31,876692,876692,838982,840209,287500,61493.0,8069945.0
1999-04-01,833325,908352,833325,871036,439840,63753.0,8069945.0
1999-04-02,869604,881954,854418,867798,262340,63510.0,8069945.0
1999-04-06,871111,969441,867887,969288,703040,70935.0,8069945.0
1999-04-07,980998,1014125,979988,1003352,609540,73436.0,8069945.0
1999-04-08,991269,1003426,948356,986883,323390,72226.0,8069945.0
1999-04-09,1003009,1008603,969883,970273,342440,71016.0,8069945.0
1999-04-12,992406,996833,959320,975904,424250,71419.0,8069945.0
1999-04-13,981443,1036553,981443,986883,568910,72226.0,8069945.0
1999-04-14,1002972,1002972,982196,992373,793030,72630.0,8069945.0
1999-04-15,1027558,1083828,1013381,1083868,378230,62139.0,8069945.0
1999-04-16,1090570,1111697,985130,1052900,364060,60363.0,8069945.0
1999-04-19,958250,1090560,958250,1048678,1099450,60121.0,8069945.0
1999-04-20,1100716,1154113,1055590,1126097,1271660,64560.0,8069945.0
1999-04-21,1162550,1176763,1097853,1121874,276860,64317.0,8069945.0
1999-04-22,1069622,1120339,1069622,1104982,121150,63349.0,8069945.0
1999-04-23,1154088,1231488,1147175,1168325,492330,66981.0,8069945.0
1999-04-26,1166571,1194804,1111658,1133135,213650,64963.0,8069945.0
