아세아(002030),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,13716,14357,13716,14358,39050,63739.0,4380673.0
1999-01-05,14753,14999,13815,14506,49370,64396.0,4380673.0
1999-01-06,14506,16282,14309,15986,87360,70967.0,4380673.0
1999-01-07,15986,16479,15296,16381,124900,72719.0,4380673.0
1999-01-08,16281,16281,15295,16282,57300,72281.0,4380673.0
1999-01-11,16776,16776,15789,15986,50600,70967.0,4380673.0
1999-01-12,15986,16676,15591,15690,66090,69653.0,4380673.0
1999-01-13,15691,16282,15493,16183,42920,71843.0,4380673.0
1999-01-14,14012,15295,14012,14604,22410,64834.0,4380673.0
1999-01-15,13815,16776,13815,15789,20210,70091.0,4380673.0
1999-01-18,16184,16184,15099,15789,37830,70091.0,4380673.0
1999-01-19,15937,15937,14605,15147,8180,67243.0,4380673.0
1999-01-20,15493,15788,14801,15196,13900,67462.0,4380673.0
1999-01-21,14012,15394,14012,14111,16540,62644.0,4380673.0
1999-01-22,14112,14112,13618,13716,8020,60891.0,4380673.0
1999-01-25,13716,13914,13519,13618,5150,60453.0,4380673.0
1999-01-26,12829,13914,12829,13519,12280,60015.0,4380673.0
1999-01-27,13322,13814,13322,13815,5060,61329.0,4380673.0
1999-01-28,13815,13815,13322,13322,5050,59139.0,4380673.0
1999-01-29,13321,14012,13321,14012,7300,62206.0,4380673.0
1999-02-01,14012,14210,13717,14111,4900,62644.0,4380673.0
1999-02-02,14111,14210,13668,13667,12320,60672.0,4380673.0
1999-02-03,13667,13667,13026,13124,4200,58263.0,4380673.0
1999-02-04,13026,13124,12729,13124,8870,58263.0,4380673.0
1999-02-05,12828,13222,12631,12927,10700,57387.0,4380673.0
1999-02-08,13125,13322,12829,13322,4880,59139.0,4380673.0
1999-02-09,12927,12927,11348,11841,16200,52568.0,4380673.0
1999-02-10,11842,12039,10855,12039,43220,53444.0,4380673.0
1999-02-11,12286,12286,11842,12039,9600,53444.0,4380673.0
1999-02-12,12088,12434,11842,12433,78360,55196.0,4380673.0
1999-02-18,12532,12532,11842,11841,17380,52568.0,4380673.0
1999-02-19,11940,12237,11348,11841,60470,52568.0,4380673.0
1999-02-22,11644,11940,11249,11348,4570,50378.0,4380673.0
1999-02-23,11545,11645,11151,11249,48430,49940.0,4380673.0
1999-02-24,10855,11842,10855,11348,4210,50378.0,4380673.0
1999-02-25,11545,11545,11150,11151,740,49502.0,4380673.0
1999-02-26,11347,11742,10953,11545,11080,51254.0,4380673.0
1999-03-02,11742,11842,11347,11545,129670,51254.0,4380673.0
1999-03-03,11940,12137,11841,12137,65810,53882.0,4380673.0
1999-03-04,12384,12384,11743,11841,26680,52568.0,4380673.0
1999-03-05,11841,12236,11742,11940,25640,53006.0,4380673.0
1999-03-08,12237,12829,12039,12828,52100,56949.0,4380673.0
1999-03-09,12829,12829,12483,12631,13060,56073.0,4380673.0
1999-03-10,12680,12729,12334,12335,9510,54758.0,4380673.0
1999-03-11,13124,13124,12434,13026,35060,57825.0,4380673.0
1999-03-12,13322,13815,13026,13716,39680,60891.0,4380673.0
1999-03-15,14210,14654,13815,14111,23880,62644.0,4380673.0
1999-03-16,14112,14112,13618,13914,9720,61767.0,4380673.0
1999-03-17,14309,14605,13914,14308,40290,63520.0,4380673.0
1999-03-18,12434,14506,12434,13815,11750,61329.0,4380673.0
1999-03-19,13321,14308,13321,14210,24750,63082.0,4380673.0
1999-03-22,14210,14407,13914,13914,31060,61767.0,4380673.0
1999-03-23,13865,14012,13815,13914,28840,61767.0,4380673.0
1999-03-24,13865,14012,13716,13815,5550,61329.0,4380673.0
1999-03-25,14012,15691,14012,14506,42230,64396.0,4380673.0
1999-03-26,14506,14605,14112,14308,12780,63520.0,4380673.0
1999-03-29,13913,15788,13617,14802,58390,65710.0,4380673.0
1999-03-30,14801,14801,14406,14802,51540,65710.0,4380673.0
1999-03-31,14703,15393,14703,15394,38220,68338.0,4380673.0
1999-04-01,15099,16184,15099,15789,26480,70091.0,4380673.0
1999-04-02,15788,16775,15493,16479,32690,73157.0,4380673.0
1999-04-06,16479,16578,15788,16479,42590,73157.0,4380673.0
1999-04-07,16479,16676,16281,16677,27320,74033.0,4380673.0
1999-04-08,16430,16775,16381,16677,13660,74033.0,4380673.0
1999-04-09,16676,16676,16084,16085,5610,71405.0,4380673.0
1999-04-12,15789,15789,15296,15789,23680,70091.0,4380673.0
1999-04-13,15296,16281,15296,16085,28070,71405.0,4380673.0
1999-04-14,15789,16381,15592,16381,25630,72719.0,4380673.0
1999-04-15,16381,16874,16035,16775,42420,74471.0,4380673.0
1999-04-16,16776,16973,16578,16775,10310,74471.0,4380673.0
1999-04-19,16874,16973,16282,16973,30980,75348.0,4380673.0
1999-04-20,17170,17861,17071,17762,45530,78852.0,4380673.0
1999-04-21,17763,17960,16776,17762,47160,78852.0,4380673.0
1999-04-22,17763,18305,17368,17762,44790,78852.0,4380673.0
1999-04-23,18058,19637,17860,18058,67310,80166.0,4380673.0
1999-04-26,18453,19243,18256,19242,29800,85423.0,4380673.0
1999-04-27,19439,20525,19242,20525,53280,91118.0,4380673.0
1999-04-28,20525,20722,17466,20130,34750,89366.0,4380673.0
1999-04-29,19735,19735,17910,19538,20050,86737.0,4380673.0
1999-04-30,19735,20229,18355,19341,48670,85861.0,4380673.0
1999-05-03,19341,20230,19341,19834,25950,88052.0,4380673.0
1999-05-04,20130,20722,19932,20525,31550,91118.0,4380673.0
1999-05-06,21215,23189,19735,19736,55650,87613.0,4380673.0
1999-05-07,20230,21907,20230,21512,107040,95499.0,4380673.0
1999-05-10,22005,22499,21710,22301,44820,99003.0,4380673.0
1999-05-11,21018,25164,21018,22696,97170,100755.0,4380673.0
1999-05-12,23782,24077,22696,23683,75370,105136.0,4380673.0
