녹십자(006280),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,29387,39645,29387,39647,153600,6158.0,3580000.0
1999-01-05,35726,39645,35726,36881,18450,5728.0,3580000.0
1999-01-06,36879,36879,34805,36535,32250,5674.0,3580000.0
1999-01-07,36879,36879,34574,35037,59220,5442.0,3580000.0
1999-01-08,32269,35035,32269,34114,176530,5298.0,3580000.0
1999-01-11,34574,38262,34574,37803,82210,5871.0,3580000.0
1999-01-12,36879,38031,35726,36881,35900,5728.0,3580000.0
1999-01-13,36879,41259,36879,39416,97460,6122.0,3580000.0
1999-01-14,39645,39645,36879,36881,88900,5728.0,3580000.0
1999-01-15,36879,41720,36879,40338,161480,6265.0,3580000.0
1999-01-18,43564,46330,43564,46332,235950,7196.0,3580000.0
1999-01-19,46099,46099,39415,42413,120720,6587.0,3580000.0
1999-01-20,39645,43794,39184,39186,163370,6086.0,3580000.0
1999-01-21,35726,37340,34344,34345,66640,5334.0,3580000.0
1999-01-22,34344,34344,34344,34345,0,5334.0,3580000.0
1999-01-25,34344,34344,34344,34345,0,,
1999-01-26,34344,34344,34344,34345,0,,
1999-01-27,34344,34344,34344,34345,0,,
1999-01-28,34344,34344,34344,34345,0,,
1999-01-29,34344,34344,34344,34345,0,,
1999-02-01,34344,34344,34344,34345,0,,
1999-02-02,34344,34344,34344,34345,0,,
1999-02-03,34344,34344,34344,34345,0,,
1999-02-04,34344,34344,34344,34345,0,,
1999-02-05,34344,34344,34344,34345,0,,
1999-02-08,34344,34344,34344,34345,0,,
1999-02-09,34344,34344,34344,34345,0,,
1999-02-10,34344,34344,34344,34345,0,,
1999-02-11,34344,34344,34344,34345,0,,
1999-02-12,34344,34344,34344,34345,0,,
1999-02-18,34344,34344,34344,34345,0,,
1999-02-19,34344,34344,34344,34345,0,,
1999-02-22,34344,34344,34344,34345,0,,
1999-02-23,34344,34344,34344,34345,0,,
1999-02-24,34344,34344,34344,34345,0,,
1999-02-25,34344,34344,34344,34345,0,,
1999-02-26,34344,34344,34344,34345,0,,
1999-03-02,29226,29226,29226,29228,59050,4232.0,667434.0
1999-03-03,26507,26553,24847,24848,47690,3597.0,667434.0
1999-03-04,25353,26736,25262,26739,9850,3871.0,667434.0
1999-03-05,26507,26507,24063,25816,7070,3738.0,667434.0
1999-03-08,25861,26045,24201,24203,8050,3504.0,667434.0
1999-03-09,23510,23971,22818,22820,13900,3304.0,667434.0
1999-03-10,22589,23049,22589,23050,6710,3337.0,667434.0
1999-03-11,22589,23740,22589,23512,5920,3404.0,667434.0
1999-03-12,23510,24432,23049,24433,12100,3537.0,667434.0
1999-03-15,23971,24432,23510,23558,15380,3411.0,667434.0
1999-03-16,23971,23971,23695,23695,8410,3431.0,667434.0
1999-03-17,23095,23095,22589,22589,8310,3270.0,667434.0
1999-03-18,22589,22589,21435,21437,1850,3104.0,667434.0
1999-03-19,20791,21920,20791,21668,3740,3137.0,667434.0
1999-03-22,21711,24892,21620,22589,2800,3270.0,667434.0
1999-03-23,22127,22589,21666,22589,6570,3270.0,667434.0
1999-03-24,22589,23049,22127,22589,6000,3270.0,667434.0
1999-03-25,22127,22589,22127,22589,7270,3270.0,667434.0
1999-03-26,22589,23049,22589,23050,10150,3337.0,667434.0
1999-03-29,23555,23971,23510,23604,10950,3417.0,667434.0
1999-03-30,22772,24386,22772,23972,2440,3471.0,667434.0
1999-03-31,22726,23510,22726,22820,1590,3304.0,667434.0
1999-04-01,20998,23049,20998,22589,2660,3270.0,667434.0
1999-04-02,22589,22589,21251,22543,2230,3264.0,667434.0
1999-04-06,22127,22127,21389,21391,3840,3097.0,667434.0
1999-04-07,21205,21205,19822,20745,11110,3003.0,667434.0
1999-04-08,21666,21666,20836,20976,3480,3037.0,667434.0
1999-04-09,20283,20974,20283,20745,9890,3003.0,667434.0
1999-04-12,20745,20745,20053,20053,6930,2903.0,667434.0
1999-04-13,21666,21666,19913,20100,6130,2910.0,667434.0
1999-04-14,20329,20329,20237,20284,2750,2937.0,667434.0
1999-04-15,19868,20283,19407,20053,8920,2903.0,667434.0
1999-04-16,19822,19822,19407,19408,8720,2810.0,667434.0
1999-04-19,19361,19361,18531,18579,6620,2690.0,667434.0
1999-04-20,18485,19038,18047,19040,13050,2757.0,667434.0
1999-04-21,18231,21343,18231,18440,15800,2670.0,667434.0
1999-04-22,18485,18485,18301,18302,3170,2650.0,667434.0
1999-04-23,18070,18070,17516,17564,7930,2543.0,667434.0
