대한항공(003490),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,9514,9514,8955,9516,1362640,638923.0,62639520.0
1999-01-05,9702,10727,9608,10729,3386930,720354.0,62639520.0
1999-01-06,11661,12313,11054,12315,2895070,826842.0,62639520.0
1999-01-07,12874,13060,12034,12268,2609900,823710.0,62639520.0
1999-01-08,12313,13060,12127,12734,2122660,855029.0,62639520.0
1999-01-11,12874,13154,12313,12734,1381720,855029.0,62639520.0
1999-01-12,12688,12688,11289,11569,1199780,776730.0,62639520.0
1999-01-13,11288,11894,10821,11335,1580250,761070.0,62639520.0
1999-01-14,10868,11194,9888,10449,1244380,701563.0,62639520.0
1999-01-15,10447,11101,10401,10915,1492960,732882.0,62639520.0
1999-01-18,11289,11847,11102,11289,1687430,757938.0,62639520.0
1999-01-19,11195,11381,10727,10915,1117100,732882.0,62639520.0
1999-01-20,10914,11615,10727,10729,1134200,720354.0,62639520.0
1999-01-21,10633,10727,9795,9935,1019700,667111.0,62639520.0
1999-01-22,9795,9936,9142,9144,1415590,613867.0,62639520.0
1999-01-25,9235,9515,8862,8863,863800,595075.0,62639520.0
1999-01-26,9329,9609,8685,8780,1212740,589438.0,62639520.0
1999-01-27,8955,9514,8591,9516,1143990,638923.0,62639520.0
1999-01-28,9608,9935,9328,9516,1194800,638923.0,62639520.0
1999-01-29,9608,9654,9235,9656,667560,648319.0,62639520.0
1999-02-01,9563,9888,9375,9795,808610,657715.0,62639520.0
1999-02-02,9981,10027,9562,9656,762420,648319.0,62639520.0
1999-02-03,9516,9610,9282,9329,510730,626395.0,62639520.0
1999-02-04,9329,9469,8685,9236,677540,620131.0,62639520.0
1999-02-05,9329,9329,8889,9096,629040,610735.0,62639520.0
1999-02-08,9002,9170,8908,8911,400770,598207.0,62639520.0
1999-02-09,8722,8815,8311,8396,596210,563756.0,62639520.0
1999-02-10,8396,8564,8041,8565,629560,575031.0,62639520.0
1999-02-11,8666,8666,8329,8433,551500,566261.0,62639520.0
1999-02-12,8517,8908,8461,8911,1004450,598207.0,62639520.0
1999-02-18,9049,9049,8471,8471,658930,568767.0,62639520.0
1999-02-19,8396,8396,7939,8117,623290,544964.0,62639520.0
1999-02-22,7938,8012,7713,7808,505430,524293.0,62639520.0
1999-02-23,7976,8013,7668,7883,753640,529304.0,62639520.0
1999-02-24,7930,8591,7930,8396,1896820,563756.0,62639520.0
1999-02-25,8210,8657,8210,8490,1142190,570020.0,62639520.0
1999-02-26,8629,8815,8247,8462,1054810,568140.0,62639520.0
1999-03-02,8740,9608,8722,9291,2043830,623890.0,62639520.0
1999-03-03,9328,9514,8964,9516,1466730,638923.0,62639520.0
1999-03-04,9514,9702,9244,9516,1317780,638923.0,62639520.0
1999-03-05,9422,9748,9282,9749,719500,654583.0,62639520.0
1999-03-08,10261,10915,10075,10822,2305090,726618.0,62639520.0
1999-03-09,10915,10915,10448,10449,1080060,701563.0,62639520.0
1999-03-10,10542,10821,10261,10822,1061280,726618.0,62639520.0
1999-03-11,10775,11148,10634,10822,1272100,726618.0,62639520.0
1999-03-12,10961,11008,10448,10822,946350,726618.0,62639520.0
1999-03-15,10727,11009,9981,10263,1919610,689035.0,62639520.0
1999-03-16,10261,10633,10121,10589,1067000,710959.0,62639520.0
1999-03-17,10588,10821,10308,10357,1011600,695299.0,62639520.0
1999-03-18,10215,10448,9702,9795,816530,657715.0,62639520.0
1999-03-19,9795,10448,9795,10357,716300,695299.0,62639520.0
1999-03-22,10448,10634,9935,9983,1090560,670243.0,62639520.0
1999-03-23,10168,10261,9935,10122,957710,679639.0,62639520.0
1999-03-24,9937,9937,9563,9703,800200,651451.0,62639520.0
1999-03-25,9470,9981,9470,9609,593020,645187.0,62639520.0
1999-03-26,9796,9890,9563,9563,542050,642055.0,62639520.0
1999-03-29,9516,9889,9470,9703,469550,651451.0,62639520.0
1999-03-30,9935,10915,9935,10682,1989000,717223.0,62639520.0
1999-03-31,10727,10962,10494,10636,948190,714091.0,62639520.0
1999-04-01,10588,11475,10401,11289,1534290,757938.0,62639520.0
1999-04-02,11428,12033,11428,11802,1717870,792390.0,62639520.0
1999-04-06,11988,12408,11941,12128,1333390,814314.0,62639520.0
1999-04-07,12313,12641,12034,12222,1564110,820578.0,62639520.0
1999-04-08,12221,13293,12221,13061,1852410,876953.0,62639520.0
1999-04-09,13480,13527,12781,13155,1263820,883217.0,62639520.0
1999-04-12,13340,13340,12735,13155,1116420,883217.0,62639520.0
1999-04-13,13060,13899,12828,13435,1107550,902009.0,62639520.0
1999-04-14,13712,13806,13432,13807,1002650,927065.0,62639520.0
1999-04-15,14088,15300,14088,15068,1343290,1011628.0,62639520.0
1999-04-16,14600,15392,14274,14834,1946730,995968.0,62639520.0
1999-04-19,12688,14833,12642,14368,3719920,964649.0,62639520.0
1999-04-20,14460,14553,13293,13995,2125730,939593.0,62639520.0
1999-04-21,13714,13807,12688,12782,1834840,858161.0,62639520.0
1999-04-22,13434,13667,12781,13435,1959820,902009.0,62639520.0
1999-04-23,13480,14414,13293,13995,1970520,939593.0,62639520.0
1999-04-26,13900,16093,13714,16093,2148550,1080532.0,62639520.0
1999-04-27,16700,16700,15486,15954,1779290,1071136.0,62639520.0
1999-04-28,15486,16232,15392,15393,1225580,1033552.0,62639520.0
1999-04-29,15205,15299,14087,14460,943710,970913.0,62639520.0
1999-04-30,14086,14366,13293,13807,1211310,927065.0,62639520.0
1999-05-03,13993,14180,13526,13901,908310,933329.0,62639520.0
1999-05-04,13620,13993,13386,13948,816680,936461.0,62639520.0
