더블유게임즈(192080),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-11-04,65100,71600,62500,62500,3598541,1068110.0,17089768.0
2015-11-05,63200,68500,62100,68300,1520162,1167231.0,17089768.0
2015-11-06,67300,69300,65200,65900,830036,1126216.0,17089768.0
2015-11-09,66200,66300,57300,58200,870118,994624.0,17089768.0
2015-11-10,56500,59900,54400,57400,655496,980953.0,17089768.0
2015-11-11,56800,58800,56600,57500,300120,982662.0,17089768.0
2015-11-12,57500,58500,55800,55900,267635,955318.0,17089768.0
2015-11-13,56500,59300,55600,59100,234810,1010005.0,17089768.0
2015-11-16,58000,58900,56800,57300,140179,979244.0,17089768.0
2015-11-17,58300,59000,56600,57300,144311,979244.0,17089768.0
2015-11-18,57200,57200,51500,52600,557250,898922.0,17089768.0
2015-11-19,53800,53800,49050,51600,604377,881832.0,17089768.0
2015-11-20,52600,54200,51600,53000,227327,905758.0,17089768.0
2015-11-23,53900,55000,52400,54100,165312,924556.0,17089768.0
2015-11-24,54300,54300,52600,52700,163966,900631.0,17089768.0
2015-11-25,52700,53800,51400,51600,128896,881832.0,17089768.0
2015-11-26,53500,55200,52200,52200,283518,892086.0,17089768.0
2015-11-27,52800,53400,52200,52300,100711,893795.0,17089768.0
2015-11-30,51900,52100,50500,50600,128900,864742.0,17089768.0
2015-12-01,51000,52500,50600,51500,111550,880123.0,17089768.0
2015-12-02,51900,52300,50800,51300,69773,876705.0,17089768.0
2015-12-03,52000,53700,51600,53100,151741,907467.0,17089768.0
2015-12-04,52000,52800,51800,51900,131150,886959.0,17089768.0
2015-12-07,52400,52400,50000,50600,149767,864742.0,17089768.0
2015-12-08,50200,51000,46500,46900,476880,801510.0,17089768.0
2015-12-09,46200,46600,44600,46200,199066,789547.0,17089768.0
2015-12-10,46350,48100,46300,47450,153895,810909.0,17089768.0
2015-12-11,48300,49750,47600,49500,195600,845944.0,17089768.0
2015-12-14,48500,50300,48350,49150,186237,839962.0,17089768.0
2015-12-15,49200,50300,48650,49700,109255,849361.0,17089768.0
