SK가스(018670),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,12814,13763,12528,13291,44520,112084.0,8006000.0
1999-01-05,13287,14522,12813,14335,193090,120891.0,8006000.0
1999-01-06,14712,16469,14428,16471,78790,138904.0,8006000.0
1999-01-07,16469,17086,15520,16328,75470,137703.0,8006000.0
1999-01-08,16327,16327,15234,15949,53380,134501.0,8006000.0
1999-01-11,15566,16610,15566,16328,48340,137703.0,8006000.0
1999-01-12,15661,16421,15282,15665,32750,132099.0,8006000.0
1999-01-13,14712,15852,14712,15286,30960,128897.0,8006000.0
1999-01-14,14712,15186,13383,13766,26180,116087.0,8006000.0
1999-01-15,14047,14664,13859,14667,16470,123693.0,8006000.0
1999-01-18,15092,15092,14237,14288,22790,120490.0,8006000.0
1999-01-19,14380,14380,13859,13909,13390,117288.0,8006000.0
1999-01-20,13905,14522,13478,13860,15410,116888.0,8006000.0
1999-01-21,13953,13953,12909,12960,9260,109282.0,8006000.0
1999-01-22,12338,12338,11581,11962,15320,100876.0,8006000.0
1999-01-25,11676,12244,11676,11962,11650,100876.0,8006000.0
1999-01-26,12338,12338,11483,11488,7760,96873.0,8006000.0
1999-01-27,10914,12054,10914,12056,13790,101676.0,8006000.0
1999-01-28,12149,12766,12149,12343,12950,104078.0,8006000.0
1999-01-29,11770,12338,11770,12248,7460,103277.0,8006000.0
1999-02-01,11864,12814,11864,12532,9150,105679.0,8006000.0
1999-02-02,12718,12718,12244,12343,18480,104078.0,8006000.0
1999-02-03,12528,12718,11770,12437,14690,104879.0,8006000.0
1999-02-04,12338,12338,11770,12343,2000,104078.0,8006000.0
1999-02-05,12338,12338,11864,12009,4150,101276.0,8006000.0
1999-02-08,11770,12671,11770,12437,263140,104879.0,8006000.0
1999-02-09,12054,12149,11483,11867,13340,100075.0,8006000.0
1999-02-10,11008,11864,11008,11867,25380,100075.0,8006000.0
1999-02-11,11389,12149,11389,11962,3810,100876.0,8006000.0
1999-02-12,12006,12338,11676,11962,30860,100876.0,8006000.0
1999-02-18,11958,12338,11720,12343,5830,104078.0,8006000.0
1999-02-19,11958,12054,11581,12056,7080,101676.0,8006000.0
1999-02-22,11676,11912,11676,11771,2850,99274.0,8006000.0
1999-02-23,11438,12338,11438,11582,1170,97673.0,8006000.0
1999-02-24,11389,11770,11389,11771,10320,99274.0,8006000.0
1999-02-25,11058,11389,11058,11250,3410,94871.0,8006000.0
1999-02-26,11389,11864,11389,11867,2870,100075.0,8006000.0
1999-03-02,11483,12054,11483,11867,9700,100075.0,8006000.0
1999-03-03,11676,12054,11676,11771,4570,99274.0,8006000.0
1999-03-04,11770,12054,11581,12056,4200,101676.0,8006000.0
1999-03-05,12054,12149,11770,12152,3350,102477.0,8006000.0
1999-03-08,11958,12718,11958,12626,9940,106480.0,8006000.0
1999-03-09,12718,12718,12244,12532,6420,105679.0,8006000.0
1999-03-10,12528,12528,12054,12437,5730,104879.0,8006000.0
1999-03-11,12433,12624,12149,12437,12710,104879.0,8006000.0
1999-03-12,12624,13193,12624,13005,22650,109682.0,8006000.0
1999-03-15,13763,13953,13098,13101,18930,110483.0,8006000.0
1999-03-16,13193,13572,12909,13005,10820,109682.0,8006000.0
1999-03-17,14047,14047,12718,12911,11470,108882.0,8006000.0
1999-03-18,12814,13193,12149,12722,9610,107280.0,8006000.0
1999-03-19,13098,13193,12149,13197,11370,111283.0,8006000.0
1999-03-22,13193,13193,12718,12911,4030,108882.0,8006000.0
1999-03-23,13241,13241,12718,12911,5080,108882.0,8006000.0
1999-03-24,13004,13241,12814,13101,10520,110483.0,8006000.0
1999-03-25,13098,13241,12766,12911,27900,108882.0,8006000.0
1999-03-26,13098,13098,12718,12816,4630,108081.0,8006000.0
1999-03-29,12338,13667,12338,13005,253070,109682.0,8006000.0
1999-03-30,13287,13478,13004,13386,33480,112885.0,8006000.0
1999-03-31,13430,13667,13384,13576,99010,114486.0,8006000.0
1999-04-01,13384,14712,13384,14430,133730,121691.0,8006000.0
1999-04-02,14238,14712,13859,14050,36780,118489.0,8006000.0
1999-04-06,14141,14333,13763,14050,89920,118489.0,8006000.0
