LS(006260),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,8630,8957,8457,8684,270510,222842.0,23334240.0
1999-01-05,8475,8821,8412,8775,297130,225175.0,23334240.0
1999-01-06,8794,9412,8775,9184,392540,235676.0,23334240.0
1999-01-07,10458,10549,9912,10548,867260,270677.0,23334240.0
1999-01-08,10276,10276,9594,9684,345600,248510.0,23334240.0
1999-01-11,9685,10185,9185,9775,292910,250843.0,23334240.0
1999-01-12,9776,10185,9367,9912,346230,254343.0,23334240.0
1999-01-13,9821,9821,9458,9684,157660,248510.0,23334240.0
1999-01-14,9094,9412,8366,8639,205800,221675.0,23334240.0
1999-01-15,8657,8994,8548,8911,284370,228676.0,23334240.0
1999-01-18,9367,9912,9139,9366,414180,240343.0,23334240.0
1999-01-19,9458,9548,8957,8957,240450,229842.0,23334240.0
1999-01-20,8730,9548,8730,9093,287780,233342.0,23334240.0
1999-01-21,8866,9276,8457,8502,128150,218175.0,23334240.0
1999-01-22,8193,8366,7548,7902,134560,202775.0,23334240.0
1999-01-25,8548,8548,7784,7784,187990,199741.0,23334240.0
1999-01-26,8093,8093,7275,7275,158870,186674.0,23334240.0
1999-01-27,7284,7548,7093,7375,177610,189241.0,23334240.0
1999-01-28,7639,8166,7548,8002,320900,205341.0,23334240.0
1999-01-29,7975,8121,7730,8002,160470,205341.0,23334240.0
1999-02-01,8003,8466,7930,8457,191430,217008.0,23334240.0
1999-02-02,8457,8457,8184,8275,189230,212342.0,23334240.0
1999-02-03,8366,8457,8003,8093,146470,207675.0,23334240.0
1999-02-04,8003,8193,7957,8093,105470,207675.0,23334240.0
1999-02-05,8093,8184,7912,8002,111020,205341.0,23334240.0
1999-02-08,8093,8275,8003,8002,77830,205341.0,23334240.0
1999-02-09,7984,7984,7639,7729,100160,198341.0,23334240.0
1999-02-10,7366,7902,7366,7820,97360,200674.0,23334240.0
1999-02-11,7466,7984,7466,7911,74680,203008.0,23334240.0
1999-02-12,8093,8266,7912,8184,137450,210008.0,23334240.0
