웰바이오텍(010600),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,13833,14411,13720,13751,14180,20073.0,1173844.0
1999-01-05,12871,14068,12871,13666,17860,19955.0,1173844.0
1999-01-06,13681,14900,13485,14477,50370,21129.0,1173844.0
1999-01-07,14487,15054,14414,14477,24320,21129.0,1173844.0
1999-01-08,14083,14248,13763,13836,16140,20190.0,1173844.0
1999-01-11,14016,14336,13820,13996,23490,20425.0,1173844.0
1999-01-12,14474,14474,13668,14071,28340,20542.0,1173844.0
1999-01-13,14230,15437,14147,15118,66150,22068.0,1173844.0
1999-01-14,14567,15196,14071,14071,34290,20542.0,1173844.0
1999-01-15,14012,15127,14012,14477,18690,21129.0,1173844.0
1999-01-18,14249,15054,14249,14477,32950,21129.0,1173844.0
1999-01-19,14900,14900,14166,14477,26080,21129.0,1173844.0
1999-01-20,14812,16598,14492,15287,102050,22303.0,1173844.0
1999-01-21,15940,15940,14970,15363,117070,22420.0,1173844.0
1999-01-22,15545,15700,14482,14637,42490,21364.0,1173844.0
1999-01-25,14804,14896,13761,13751,21520,20073.0,1173844.0
1999-01-26,14081,14246,13523,13751,30320,20073.0,1173844.0
1999-01-27,13684,14417,13602,13798,16900,20131.0,1173844.0
1999-01-28,13680,14042,13526,13836,15400,20190.0,1173844.0
1999-01-29,14171,14171,13686,13996,15190,20425.0,1173844.0
1999-02-01,13684,14014,13684,13798,27170,24096.0,1405000.0
1999-02-02,13840,14087,13365,13355,24510,23323.0,1405000.0
1999-02-03,13489,13840,13365,13355,29940,23323.0,1405000.0
1999-02-04,13411,13452,12729,12875,18200,22480.0,1405000.0
1999-02-05,12884,13080,12647,12875,7800,22480.0,1405000.0
1999-02-08,12886,13082,12566,12752,9900,22269.0,1405000.0
1999-02-09,12479,12520,11509,11819,11510,20654.0,1405000.0
1999-02-10,11909,12548,11909,12064,14620,21075.0,1405000.0
1999-02-11,12134,12536,12062,12300,8470,21496.0,1405000.0
1999-02-12,12311,12558,12239,12394,6460,21637.0,1405000.0
1999-02-18,12491,12800,12315,12347,7920,21567.0,1405000.0
1999-02-19,10538,12138,10538,11819,5990,20654.0,1405000.0
1999-02-22,11661,12074,10773,12064,6260,21075.0,1405000.0
1999-02-23,12071,12071,11514,11659,8740,20372.0,1405000.0
1999-02-24,11821,12223,11253,11253,5950,19670.0,1405000.0
1999-02-25,11022,11260,10826,10858,4380,18968.0,1405000.0
1999-02-26,10949,11517,10949,11301,9430,19740.0,1405000.0
1999-03-02,11379,11906,11379,11659,7620,20372.0,1405000.0
1999-03-03,11908,12073,11433,11423,7240,19951.0,1405000.0
1999-03-04,11516,11991,11423,11744,6140,20513.0,1405000.0
