빙그레(005180),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,8100,8330,7550,8030,86540,52999.0,6600144.0
1999-01-05,8030,9230,8030,9230,311450,60919.0,6600144.0
1999-01-06,9500,10600,9500,10600,441760,69962.0,6600144.0
1999-01-07,10900,11400,10600,11000,361830,72602.0,6600144.0
1999-01-08,11000,11300,10500,11000,129180,72602.0,6600144.0
1999-01-11,11300,12650,11300,12650,242970,83492.0,6600144.0
1999-01-12,12800,13400,12000,12800,297030,84482.0,6600144.0
1999-01-13,12900,14500,12400,12800,248910,84482.0,6600144.0
1999-01-14,12600,12600,11300,11700,136810,77222.0,6600144.0
1999-01-15,12000,12400,11700,12100,118060,79862.0,6600144.0
1999-01-18,13500,13500,12500,12600,157390,83162.0,6600144.0
1999-01-19,12300,12400,11000,11500,127090,75902.0,6600144.0
1999-01-20,11500,11700,10800,10800,110810,71282.0,6600144.0
1999-01-21,11000,12400,10800,12400,392770,81842.0,6600144.0
1999-01-22,13400,14250,12100,12400,833500,81842.0,6600144.0
1999-01-25,12450,12900,11600,12200,178100,80522.0,6600144.0
1999-01-26,12200,14000,12200,14000,1023280,92402.0,6600144.0
1999-01-27,14350,15800,11900,12500,1938500,82502.0,6600144.0
1999-01-28,12900,13400,12300,12800,451650,84482.0,6600144.0
1999-01-29,12500,13000,12000,12500,225300,82502.0,6600144.0
1999-02-01,12600,13400,12550,12600,233010,83162.0,6600144.0
1999-02-02,12600,13200,12400,12750,275080,84152.0,6600144.0
1999-02-03,12500,13550,12500,12800,369050,84482.0,6600144.0
1999-02-04,12900,13300,12000,12300,175210,81182.0,6600144.0
1999-02-05,12100,12500,11750,12300,246740,81182.0,6600144.0
1999-02-08,12300,12800,11800,12000,172640,79202.0,6600144.0
1999-02-09,11800,11800,10300,10400,165770,68641.0,6600144.0
1999-02-10,10100,10900,9700,10500,121520,79802.0,7600144.0
1999-02-11,10700,11200,10600,10600,86030,80562.0,7600144.0
1999-02-12,10850,11100,10700,10900,85060,82842.0,7600144.0
1999-02-18,10400,11100,10400,10500,60640,79802.0,7600144.0
1999-02-19,10500,10500,9800,10100,79720,76761.0,7600144.0
1999-02-22,10000,10000,9770,9800,43390,74481.0,7600144.0
1999-02-23,9900,10550,9850,9960,118120,75697.0,7600144.0
1999-02-24,10100,10250,9600,9600,58460,72961.0,7600144.0
1999-02-25,9600,9790,9110,9500,67620,72201.0,7600144.0
1999-02-26,9500,9950,9500,9750,47880,74101.0,7600144.0
1999-03-02,10000,10700,9950,10400,92140,79041.0,7600144.0
1999-03-03,10600,11300,10500,10900,144620,82842.0,7600144.0
1999-03-04,11000,11400,10600,11000,139220,83602.0,7600144.0
1999-03-05,11150,11350,10800,11000,62080,83602.0,7600144.0
1999-03-08,11400,11700,11000,11700,121420,88922.0,7600144.0
1999-03-09,11900,12300,11550,12100,145790,91962.0,7600144.0
1999-03-10,12200,12900,11850,12450,230470,94622.0,7600144.0
1999-03-11,12400,12800,12050,12700,167010,96522.0,7600144.0
1999-03-12,13000,13500,12850,13400,328280,101842.0,7600144.0
1999-03-15,13600,13700,13000,13000,135500,98802.0,7600144.0
1999-03-16,13050,13300,13050,13300,127280,101082.0,7600144.0
1999-03-17,13450,13600,12700,12800,120910,97282.0,7600144.0
1999-03-18,12500,12900,12000,12150,94560,92342.0,7600144.0
1999-03-19,12650,12700,12000,12400,98100,94242.0,7600144.0
1999-03-22,12400,12800,12000,12450,102180,94622.0,7600144.0
1999-03-23,12400,12700,12400,12700,87070,96522.0,7600144.0
1999-03-24,12500,13300,12500,13000,146950,98802.0,7600144.0
1999-03-25,13000,13000,12700,13000,69390,98802.0,7600144.0
1999-03-26,12900,13150,12700,13000,75260,98802.0,7600144.0
1999-03-29,13000,13650,12800,13400,193980,101842.0,7600144.0
1999-03-30,13600,14800,13450,14300,556980,108682.0,7600144.0
1999-03-31,14500,14900,14100,14200,240290,107922.0,7600144.0
1999-04-01,14500,14950,14300,14800,235910,112482.0,7600144.0
1999-04-02,15000,17000,15000,16500,338020,125402.0,7600144.0
1999-04-06,17000,18400,16900,17200,385320,130722.0,7600144.0
1999-04-07,17150,17350,16700,16700,283790,126922.0,7600144.0
1999-04-08,16750,17700,16700,17600,220470,133763.0,7600144.0
1999-04-09,18100,19000,18100,18800,402630,142883.0,7600144.0
1999-04-12,18700,18800,17800,18000,214650,136803.0,7600144.0
1999-04-13,17500,18400,17000,17500,251170,133003.0,7600144.0
1999-04-14,17700,17950,17200,17200,158630,130722.0,7600144.0
1999-04-15,17300,18500,17300,18500,178160,140603.0,7600144.0
1999-04-16,18500,19900,18000,19000,373740,144403.0,7600144.0
1999-04-19,19200,19700,18800,19400,268510,147443.0,7600144.0
1999-04-20,19500,19900,19100,19100,137960,145163.0,7600144.0
1999-04-21,19100,19100,18500,18700,80370,142123.0,7600144.0
1999-04-22,18500,19100,18100,18500,114680,140603.0,7600144.0
1999-04-23,18600,19400,18500,19000,124430,144403.0,7600144.0
1999-04-26,19800,21000,19300,21000,237480,159603.0,7600144.0
1999-04-27,21200,21800,20850,21050,210320,159983.0,7600144.0
1999-04-28,21050,22100,20000,21000,215800,159603.0,7600144.0
1999-04-29,21100,22700,21100,22000,200430,167203.0,7600144.0
1999-04-30,22200,22400,21100,22000,165390,167203.0,7600144.0
1999-05-03,22800,24900,22600,24200,212880,183923.0,7600144.0
1999-05-04,24500,25500,23900,25500,176400,193804.0,7600144.0
