텔코웨어(078000),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-07-20,13171,14079,11218,11218,1783192,111150.0,9000000.0
2004-07-21,11354,12490,11082,11626,1502568,115200.0,9000000.0
2004-07-22,11627,11899,10446,10536,584384,104400.0,9000000.0
2004-07-23,10537,10764,9992,10037,485830,99450.0,9000000.0
2004-07-26,9719,9946,8784,8856,459948,87750.0,9000000.0
2004-07-27,8711,9074,8202,8356,462218,82800.0,9000000.0
2004-07-28,8584,9492,8548,8547,883126,84690.0,9000000.0
2004-07-29,8429,8448,7403,7448,430987,73800.0,9000000.0
2004-07-30,7721,8266,7494,7548,500044,74790.0,9000000.0
2004-08-02,7812,7966,7085,7175,392200,71100.0,9000000.0
2004-08-03,7312,7394,6922,7166,198961,71010.0,9000000.0
2004-08-04,6985,7539,6840,7475,298125,74070.0,9000000.0
2004-08-05,7476,8493,7448,7920,719103,78480.0,9000000.0
2004-08-06,7694,7957,7476,7539,259804,74700.0,9000000.0
2004-08-09,7358,8102,7321,7766,363140,76950.0,9000000.0
2004-08-10,7775,8121,7721,7811,254854,77400.0,9000000.0
2004-08-11,8039,8429,7903,7902,414219,78300.0,9000000.0
2004-08-12,8075,9084,8012,9083,649003,90000.0,9000000.0
2004-08-13,9629,10446,9084,9310,1151340,92250.0,9000000.0
2004-08-16,9629,10491,9311,10173,747930,100800.0,9000000.0
2004-08-17,10355,10628,9629,9628,418069,95400.0,9000000.0
2004-08-18,9674,10128,9265,9537,374078,94500.0,9000000.0
2004-08-19,9856,10083,9311,9401,417914,93150.0,9000000.0
2004-08-20,9401,9538,9038,9310,303350,92250.0,9000000.0
2004-08-23,9538,10083,9538,9810,573190,97200.0,9000000.0
2004-08-24,9901,9946,9447,9901,250720,98100.0,9000000.0
2004-08-25,10174,11173,10174,10582,1345101,104850.0,9000000.0
2004-08-26,10673,10809,10174,10309,533285,102150.0,9000000.0
2004-08-27,10446,10491,9719,9901,338960,98100.0,9000000.0
2004-08-30,9538,9992,9538,9628,203270,95400.0,9000000.0
2004-08-31,9492,9901,9492,9901,210161,98100.0,9000000.0
2004-09-01,9719,10174,9719,9946,211952,98550.0,9000000.0
2004-09-02,9992,10174,9629,9764,209711,96750.0,9000000.0
2004-09-03,9856,10491,9719,9855,462440,97684.0,9003125.0
2004-09-06,9992,10537,9901,10446,393410,103536.0,9003125.0
2004-09-07,10491,10628,10174,10173,247859,100835.0,9003125.0
2004-09-08,10673,10900,9946,9946,424060,98584.0,9003125.0
2004-09-09,9901,9946,9583,9764,189747,96784.0,9003125.0
2004-09-10,9765,9992,9674,9855,153130,97684.0,9003125.0
2004-09-13,9901,10264,9901,10264,190040,101735.0,9003125.0
2004-09-14,10355,10401,9719,9810,212253,97234.0,9003125.0
2004-09-15,9810,9946,9765,9901,97884,98134.0,9003125.0
2004-09-16,9765,10264,9719,9719,172285,96333.0,9003125.0
2004-09-17,9629,9810,9220,9492,258120,94083.0,9003125.0
2004-09-20,9311,9583,9311,9401,102790,93182.0,9003125.0
2004-09-21,9401,9629,9311,9356,110550,92732.0,9003125.0
2004-09-22,9447,9538,9074,9074,131320,89941.0,9003125.0
2004-09-23,8947,9084,8448,8602,138955,85260.0,9003125.0
2004-09-24,8448,8784,8448,8592,61305,85170.0,9003125.0
2004-09-30,8993,9356,8865,8974,155140,88951.0,9003125.0
2004-10-01,8829,9084,8766,8983,71900,89041.0,9003125.0
2004-10-04,9084,9174,8911,9038,108230,89581.0,9003125.0
2004-10-05,9356,9629,9265,9265,243574,91832.0,9003125.0
2004-10-06,9356,10083,9129,10082,400794,99935.0,9003125.0
2004-10-07,10174,10764,9810,10627,421333,105337.0,9003125.0
2004-10-08,10446,10946,10355,10854,341106,107587.0,9003125.0
2004-10-11,10809,11127,10628,10900,182460,108038.0,9003125.0
2004-10-12,10719,10900,10310,10673,185214,105787.0,9003125.0
2004-10-13,10900,11763,10809,11127,344900,110288.0,9003125.0
2004-10-14,11082,11127,10355,10673,140910,105787.0,9003125.0
2004-10-15,10446,10582,10264,10400,100003,103086.0,9003125.0
2004-10-18,10401,10673,10128,10627,170920,105337.0,9003125.0
2004-10-19,10855,10991,10310,10355,101288,102636.0,9003125.0
2004-10-20,10355,10401,9810,9946,174208,98584.0,9003125.0
2004-10-21,9992,10219,9719,9810,110100,97234.0,9003125.0
2004-10-22,9719,10264,9629,10264,105916,101735.0,9003125.0
2004-10-25,9946,10174,9719,9719,118289,96333.0,9003125.0
2004-10-26,9719,9856,9492,9492,96803,94083.0,9003125.0
2004-10-27,9583,9765,9220,9537,132170,94533.0,9003125.0
2004-10-28,9629,10083,9492,9991,244947,99034.0,9003125.0
2004-10-29,9901,9992,9492,9901,171910,98134.0,9003125.0
2004-11-01,9810,10128,9765,9764,86651,96784.0,9003125.0
2004-11-02,9810,9992,9629,9946,95590,98584.0,9003125.0
2004-11-03,9946,9946,9674,9810,85081,97234.0,9003125.0
2004-11-04,9765,9856,9538,9537,63695,94533.0,9003125.0
2004-11-05,9674,9901,9674,9764,81600,96784.0,9003125.0
2004-11-08,9856,10219,9810,9855,133034,97684.0,9003125.0
2004-11-09,9901,10037,9765,9991,83324,99034.0,9003125.0
2004-11-10,10174,10401,10037,10218,184406,101285.0,9003125.0
2004-11-11,10128,10355,10037,10082,89787,99935.0,9003125.0
2004-11-12,10174,10401,10128,10218,153352,101285.0,9003125.0
2004-11-15,10355,10946,10310,10809,507425,107137.0,9003125.0
