대림씨엔에스(004440),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-03-30,24950,24950,21950,23250,2575875,296018.0,12731947.0
2016-03-31,23150,26000,22850,24800,1565783,315752.0,12731947.0
2016-04-01,25000,26300,23900,25300,740702,322118.0,12731947.0
2016-04-04,25300,26200,24900,25700,298513,327211.0,12731947.0
2016-04-05,25850,26100,25100,25500,171768,324665.0,12731947.0
2016-04-06,25450,25700,24450,25550,275934,325301.0,12731947.0
2016-04-07,25700,26500,25200,26400,216539,336123.0,12731947.0
2016-04-08,26500,27300,26100,26900,188865,342489.0,12731947.0
2016-04-11,27100,27300,25850,26100,153040,332304.0,12731947.0
2016-04-12,26700,27500,26150,26550,279753,338033.0,12731947.0
2016-04-14,26650,27000,25900,26250,150569,334214.0,12731947.0
2016-04-15,26350,26450,26050,26050,103293,331667.0,12731947.0
2016-04-18,26050,26100,24750,24900,113422,317025.0,12731947.0
2016-04-19,25000,25450,24500,24650,87727,313842.0,12731947.0
2016-04-20,24700,25000,24300,24500,51252,311933.0,12731947.0
2016-04-21,24550,24600,23800,24250,85867,308750.0,12731947.0
2016-04-22,23900,24150,23600,23750,66049,302384.0,12731947.0
2016-04-25,24000,25550,24000,25400,120924,323391.0,12731947.0
2016-04-26,26000,27100,25300,26550,214846,338033.0,12731947.0
2016-04-27,26600,26900,25900,26650,104404,339306.0,12731947.0
2016-04-28,26900,27450,26000,27200,179460,346309.0,12731947.0
2016-04-29,27300,27300,26600,27200,62736,346309.0,12731947.0
2016-05-02,27200,27900,26900,27450,151341,349492.0,12731947.0
2016-05-03,27700,28150,26500,27500,130778,350129.0,12731947.0
2016-05-04,27400,27450,26000,26950,89301,343126.0,12731947.0
2016-05-09,27000,27000,26050,26300,35565,334850.0,12731947.0
2016-05-10,26300,26350,24850,26050,91804,331667.0,12731947.0
2016-05-11,26050,27350,26050,26800,133096,341216.0,12731947.0
2016-05-12,26800,27500,26350,27500,56379,350129.0,12731947.0
2016-05-13,27600,27650,26550,26800,49883,341216.0,12731947.0
2016-05-16,26950,26950,26350,26700,31587,339943.0,12731947.0
2016-05-17,26950,26950,25750,25850,46985,329121.0,12731947.0
2016-05-18,25850,26200,25300,25650,32750,326574.0,12731947.0
2016-05-19,26050,26750,25500,25550,49063,325301.0,12731947.0
2016-05-20,25550,27000,25500,26750,64838,340580.0,12731947.0
2016-05-23,26950,27050,26200,26700,32541,339943.0,12731947.0
2016-05-24,26500,26850,25550,25800,41315,328484.0,12731947.0
2016-05-25,26300,26600,25800,26500,33604,337397.0,12731947.0
2016-05-26,26750,26800,26200,26450,21731,336760.0,12731947.0
2016-05-27,26750,26750,26250,26350,7880,335487.0,12731947.0
2016-05-30,26500,26500,25700,26200,20474,333577.0,12731947.0
2016-05-31,26300,26300,25700,26150,13529,332940.0,12731947.0
2016-06-01,26050,26400,25900,26200,24213,333577.0,12731947.0
2016-06-02,26400,26700,25750,26700,32503,339943.0,12731947.0
2016-06-03,26700,26850,26500,26700,48422,339943.0,12731947.0
2016-06-07,26450,27000,26400,26950,25815,343126.0,12731947.0
2016-06-08,26950,27050,26300,26900,33946,342489.0,12731947.0
2016-06-09,26700,26900,26050,26100,32416,332304.0,12731947.0
2016-06-10,26200,26350,25650,25650,28741,326574.0,12731947.0
2016-06-13,25600,25600,24900,25250,27512,321482.0,12731947.0
2016-06-14,25300,25650,24800,25300,25677,322118.0,12731947.0
2016-06-15,24950,25500,24950,25300,22396,322118.0,12731947.0
2016-06-16,25250,25250,24900,24900,14198,317025.0,12731947.0
2016-06-17,24800,25450,24750,25300,30390,322118.0,12731947.0
2016-06-20,25150,25650,25150,25600,12547,325938.0,12731947.0
2016-06-21,25600,27500,25150,27300,93911,347582.0,12731947.0
2016-06-22,26400,26400,25450,25950,85445,330394.0,12731947.0
2016-06-23,25750,26050,25100,25250,27121,321482.0,12731947.0
2016-06-24,25350,25650,23250,24650,35698,313842.0,12731947.0
2016-06-27,24400,25150,23300,24700,42914,314479.0,12731947.0
2016-06-28,24800,25100,24400,24800,22043,315752.0,12731947.0
2016-06-29,24900,25000,24700,24800,37940,315752.0,12731947.0
2016-06-30,25150,25150,24550,24750,29105,315116.0,12731947.0
2016-07-01,24950,24950,24600,24650,17276,313842.0,12731947.0
2016-07-04,24800,24800,23750,23800,68743,303020.0,12731947.0
2016-07-05,23950,24300,23300,24100,80389,306840.0,12731947.0
2016-07-06,24200,24200,22850,23250,71594,296018.0,12731947.0
2016-07-07,23350,24250,23050,24000,48701,305567.0,12731947.0
2016-07-08,24000,24400,23100,23750,52489,302384.0,12731947.0
2016-07-11,23650,23750,23050,23100,53692,294108.0,12731947.0
2016-07-12,23150,23150,22250,22400,116388,285196.0,12731947.0
2016-07-13,22650,22700,22000,22050,92381,280739.0,12731947.0
2016-07-14,22200,22700,22100,22600,32635,287742.0,12731947.0
2016-07-15,22600,23250,22450,22900,58672,291562.0,12731947.0
2016-07-18,23000,23350,22800,23150,52650,294745.0,12731947.0
2016-07-19,23150,23200,22600,22700,35419,289015.0,12731947.0
2016-07-20,23300,25600,23150,24000,282430,305567.0,12731947.0
2016-07-21,24150,24800,23900,24250,57952,308750.0,12731947.0
2016-07-22,24500,24500,23750,24100,35888,306840.0,12731947.0
2016-07-25,24250,24500,23850,24000,33410,305567.0,12731947.0
2016-07-26,24000,24150,23300,23500,61587,299201.0,12731947.0
2016-07-27,22950,23200,22100,22300,136558,283922.0,12731947.0
2016-07-28,22300,22650,21600,22400,84082,285196.0,12731947.0
2016-07-29,22400,22500,21700,21800,93465,277556.0,12731947.0
2016-08-01,21800,22050,21600,21700,59581,276283.0,12731947.0
2016-08-02,21800,21800,21500,21650,38067,275647.0,12731947.0
2016-08-03,21600,21950,21550,21800,21316,277556.0,12731947.0
2016-08-04,21700,22150,21700,21850,73379,278193.0,12731947.0
2016-08-05,21850,22100,21600,21900,29396,278830.0,12731947.0
2016-08-08,21700,21950,21450,21550,67788,274373.0,12731947.0
2016-08-09,21600,21850,21450,21800,35361,277556.0,12731947.0
2016-08-10,21800,21850,21650,21750,16247,276920.0,12731947.0
2016-08-11,21550,21850,21550,21750,18982,276920.0,12731947.0
2016-08-12,21750,22150,21750,22000,36563,280103.0,12731947.0
2016-08-16,21950,22200,21700,21900,29567,278830.0,12731947.0
2016-08-17,21800,21800,21400,21700,25125,276283.0,12731947.0
2016-08-18,21700,21750,21400,21650,40437,275647.0,12731947.0
2016-08-19,21650,21700,21350,21450,39376,273100.0,12731947.0
2016-08-22,21400,21450,20700,20750,52559,264188.0,12731947.0
2016-08-23,20600,20850,20100,20250,97297,257822.0,12731947.0
2016-08-24,20100,20300,19350,19650,178353,250183.0,12731947.0
2016-08-25,19500,19500,19150,19300,72643,245727.0,12731947.0
2016-08-26,19250,19950,18600,19700,220131,250819.0,12731947.0
2016-08-29,19650,19900,19450,19700,52941,250819.0,12731947.0
2016-08-30,19800,19850,19300,19550,55196,248910.0,12731947.0
2016-08-31,19550,19700,18400,19600,155008,249546.0,12731947.0
2016-09-01,19550,19550,19100,19400,13706,247000.0,12731947.0
2016-09-02,19200,19600,19050,19400,24120,247000.0,12731947.0
2016-09-05,19500,20200,19500,20000,77124,254639.0,12731947.0
2016-09-06,20000,20050,19800,20000,12716,254639.0,12731947.0
2016-09-07,20100,20350,19850,20050,43964,255276.0,12731947.0
2016-09-08,20250,20250,19400,19850,64816,252729.0,12731947.0
2016-09-09,19800,19950,19200,19700,78830,250819.0,12731947.0
2016-09-12,19450,19450,19000,19100,29996,243180.0,12731947.0
2016-09-13,19650,19700,18950,19200,38284,244453.0,12731947.0
2016-09-19,19050,19150,18600,18800,36668,239361.0,12731947.0
2016-09-20,18700,19250,18650,19150,19222,243817.0,12731947.0
2016-09-21,19150,19900,19150,19600,93748,249546.0,12731947.0
2016-09-22,20300,21800,20200,20300,493121,258459.0,12731947.0
2016-09-23,20400,21350,20050,21150,140529,269281.0,12731947.0
2016-09-26,21300,22500,21100,22000,310297,280103.0,12731947.0
2016-09-27,21800,22200,21250,22100,107970,281376.0,12731947.0
2016-09-28,22100,22450,21300,21550,62192,274373.0,12731947.0
2016-09-29,21550,21750,20900,21000,88863,267371.0,12731947.0
2016-09-30,20800,21800,20550,21300,92902,271190.0,12731947.0
2016-10-04,21450,22500,21450,22200,93830,282649.0,12731947.0
2016-10-05,22000,22550,21700,22250,60377,283286.0,12731947.0
2016-10-06,22250,22600,21800,22300,45702,283922.0,12731947.0
2016-10-07,22600,24600,22250,24000,365308,305567.0,12731947.0
2016-10-10,24000,24250,23450,23450,74422,298564.0,12731947.0
2016-10-11,23550,24200,23450,23500,59131,299201.0,12731947.0
2016-10-12,23500,23800,22350,22950,165532,292198.0,12731947.0
2016-10-13,23250,23250,22400,22650,51388,288379.0,12731947.0
2016-10-14,22800,23100,21350,22800,96312,290288.0,12731947.0
2016-10-17,23000,24000,22500,23050,112506,293471.0,12731947.0
2016-10-18,23000,23700,22650,23200,71806,295381.0,12731947.0
2016-10-19,23100,23800,22700,23250,90083,296018.0,12731947.0
2016-10-20,23400,23750,23200,23250,58093,296018.0,12731947.0
2016-10-21,23400,24250,23200,23500,77941,299201.0,12731947.0
2016-10-24,23000,23450,22600,23150,70708,294745.0,12731947.0
2016-10-25,23250,23450,22750,22950,31924,292198.0,12731947.0
2016-10-26,22750,23150,22500,22600,58335,287742.0,12731947.0
2016-10-27,22650,22800,21950,22400,77572,285196.0,12731947.0
2016-10-28,22700,22750,22200,22550,28799,287105.0,12731947.0
2016-10-31,22500,22600,22050,22050,15238,280739.0,12731947.0
2016-11-01,21900,22050,21500,21800,77345,277556.0,12731947.0
2016-11-02,21500,22100,21300,22000,45071,280103.0,12731947.0
2016-11-03,22000,22450,21600,22150,30990,282013.0,12731947.0
2016-11-04,21750,22600,21750,22300,16405,283922.0,12731947.0
2016-11-07,22600,22850,22000,22800,33667,290288.0,12731947.0
2016-11-08,22800,22800,22100,22600,41008,287742.0,12731947.0
2016-11-09,22450,22900,21200,22500,68199,286469.0,12731947.0
2016-11-10,22500,22650,22100,22200,29816,282649.0,12731947.0
2016-11-11,22100,23200,22050,23050,39187,293471.0,12731947.0
2016-11-14,23300,24300,22000,22250,273259,283286.0,12731947.0
2016-11-15,22050,22550,22050,22350,48722,284559.0,12731947.0
2016-11-16,22450,22500,22100,22300,37011,283922.0,12731947.0
2016-11-17,22400,22400,21800,22350,43488,284559.0,12731947.0
2016-11-18,22500,22500,20700,21400,71105,272464.0,12731947.0
2016-11-21,21250,21750,21200,21550,28258,274373.0,12731947.0
2016-11-22,21700,21750,21200,21450,44638,273100.0,12731947.0
2016-11-23,21650,21850,21300,21350,31259,271827.0,12731947.0
2016-11-24,21400,21500,20900,21050,33478,268007.0,12731947.0
2016-11-25,20850,21550,20700,21150,25609,269281.0,12731947.0
