삼성물산(028260),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-12-18,106000,116000,99200,113000,12845103,15255000.0,135000000.0
2014-12-19,118000,129500,117500,129500,4551888,17482500.0,135000000.0
2014-12-22,135000,145500,130500,134500,4401710,18157500.0,135000000.0
2014-12-23,132000,137500,127000,135000,2873094,18225000.0,135000000.0
2014-12-24,135500,139000,132000,133000,1403337,17955000.0,135000000.0
2014-12-26,134500,138000,130000,135500,1648394,18292500.0,135000000.0
2014-12-29,140000,155000,138500,149000,4142037,20115000.0,135000000.0
2014-12-30,153500,158000,148500,158000,2518666,21330000.0,135000000.0
2015-01-02,160500,174000,158500,171000,3083018,23085000.0,135000000.0
2015-01-05,177000,179500,145500,145500,6436987,19642500.0,135000000.0
2015-01-06,143000,147500,133500,138500,4596735,18697500.0,135000000.0
2015-01-07,139000,140500,135000,135500,1719259,18292500.0,135000000.0
2015-01-08,138000,140500,133000,135000,1699199,18225000.0,135000000.0
2015-01-09,137500,153500,134000,150000,2971066,20250000.0,135000000.0
2015-01-12,149000,151500,142500,147500,1625748,19912500.0,135000000.0
2015-01-13,147000,149500,137000,138000,2009453,18630000.0,135000000.0
2015-01-14,138000,141000,135500,137000,889108,18495000.0,135000000.0
2015-01-15,138000,144000,136500,140500,1167317,18967500.0,135000000.0
2015-01-16,139500,142000,135500,136000,743075,18360000.0,135000000.0
2015-01-19,137000,138000,129500,131000,1115099,17685000.0,135000000.0
2015-01-20,132500,134500,131000,131500,620532,17752500.0,135000000.0
2015-01-21,132500,133000,122000,124000,1413084,16740000.0,135000000.0
2015-01-22,123000,130000,122500,124000,876352,16740000.0,135000000.0
2015-01-23,128500,132500,126500,131000,1028487,17685000.0,135000000.0
2015-01-26,130500,134000,129000,129500,492693,17482500.0,135000000.0
2015-01-27,131000,135000,130500,135000,743513,18225000.0,135000000.0
2015-01-28,137000,143000,137000,140000,1457183,18900000.0,135000000.0
2015-01-29,140500,142000,136500,137500,538392,18562500.0,135000000.0
2015-01-30,144000,146000,135500,136000,919086,18360000.0,135000000.0
2015-02-02,135500,137000,134000,135000,339084,18225000.0,135000000.0
2015-02-03,136500,139000,132500,138500,437428,18697500.0,135000000.0
2015-02-04,139500,140500,137500,137500,321206,18562500.0,135000000.0
2015-02-05,137500,138500,134000,136000,270183,18360000.0,135000000.0
2015-02-06,138500,141500,136500,138500,500370,18697500.0,135000000.0
2015-02-09,139000,141000,138500,138500,346906,18697500.0,135000000.0
2015-02-10,138500,139000,136500,136500,205298,18427500.0,135000000.0
2015-02-11,137000,140000,136500,140000,299268,18900000.0,135000000.0
2015-02-12,141000,142500,139000,139000,262841,18765000.0,135000000.0
2015-02-13,140500,150000,139500,147500,1408559,19912500.0,135000000.0
2015-02-16,150000,153500,148000,151500,878719,20452500.0,135000000.0
2015-02-17,150500,151000,147000,147000,437959,19845000.0,135000000.0
2015-02-23,149000,150000,146500,149000,285637,20115000.0,135000000.0
2015-02-24,149500,156000,149000,155000,801969,20925000.0,135000000.0
2015-02-25,156500,160000,156000,156000,700578,21060000.0,135000000.0
2015-02-26,157000,159000,154000,158000,372015,21330000.0,135000000.0
2015-02-27,157500,162000,156000,162000,456798,21870000.0,135000000.0
2015-03-02,162500,163500,155000,159000,561515,21465000.0,135000000.0
2015-03-03,159000,160000,152000,155000,593735,20925000.0,135000000.0
2015-03-04,154000,157000,153500,155500,326457,20992500.0,135000000.0
2015-03-05,155500,156500,153000,155000,252821,20925000.0,135000000.0
2015-03-06,155000,159000,154000,159000,373985,21465000.0,135000000.0
2015-03-09,158000,166000,157000,164500,739332,22207500.0,135000000.0
2015-03-10,165000,166500,160000,165000,708860,22275000.0,135000000.0
2015-03-11,160000,164500,155500,161000,1249028,21735000.0,135000000.0
2015-03-12,162000,163500,155500,156500,1789750,21127500.0,135000000.0
2015-03-13,156500,159000,153000,157500,588949,21262500.0,135000000.0
2015-03-16,157000,158500,152000,153000,441937,20655000.0,135000000.0
2015-03-17,154500,162000,154000,162000,711222,21870000.0,135000000.0
2015-03-18,157000,159500,150000,152000,3006255,20520000.0,135000000.0
2015-03-19,153500,154500,149000,154500,1291600,20857500.0,135000000.0
2015-03-20,153500,156500,152000,155000,670771,20925000.0,135000000.0
2015-03-23,155000,156000,151000,151000,501435,20385000.0,135000000.0
2015-03-24,151500,153000,149000,150000,400021,20250000.0,135000000.0
2015-03-25,150000,155000,149000,154500,498859,20857500.0,135000000.0
2015-03-26,150000,151500,148500,149500,589634,20182500.0,135000000.0
2015-03-27,150000,151500,147500,147500,382629,19912500.0,135000000.0
2015-03-30,148000,153500,147500,151500,508776,20452500.0,135000000.0
2015-03-31,152500,153000,148500,149500,326288,20182500.0,135000000.0
2015-04-01,150000,150000,146000,146500,385327,19777500.0,135000000.0
