OCI(010060),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,7129,7504,6800,6800,179610,10194.0,7030343.0
1999-01-05,7035,7809,6847,7808,283150,11706.0,7030343.0
1999-01-06,8911,8958,8020,8957,470030,13428.0,7030343.0
1999-01-07,9380,9755,8113,8441,403090,12655.0,7030343.0
1999-01-08,7973,8676,7410,8347,356440,12514.0,7030343.0
1999-01-11,8020,9591,8020,9590,638250,14377.0,7030343.0
1999-01-12,9802,10974,9380,10974,1008860,16451.0,7030343.0
1999-01-13,11115,11725,9849,10692,1206160,16029.0,7030343.0
1999-01-14,10787,11678,10224,10317,1006740,15467.0,7030343.0
1999-01-15,10505,11021,9849,9942,616510,14904.0,7030343.0
1999-01-18,10177,11420,10036,10646,1035480,15959.0,7030343.0
1999-01-19,10646,10787,9380,9614,547180,14412.0,7030343.0
1999-01-20,11045,11045,10412,11044,439040,16556.0,7030343.0
1999-01-21,12686,12686,10834,11724,2652710,17576.0,7030343.0
1999-01-22,10435,11256,9966,9965,700060,14939.0,7030343.0
1999-01-25,9849,9849,8489,8488,1033530,12725.0,7030343.0
1999-01-26,8442,9005,7598,7972,916340,11952.0,7030343.0
1999-01-27,8020,8629,7856,8347,546140,12514.0,7030343.0
1999-01-28,8348,9591,8113,9590,569980,14377.0,7030343.0
1999-01-29,11021,11021,10740,11021,1329940,16521.0,7030343.0
1999-02-01,12663,12663,12428,12662,1027360,18982.0,7030343.0
1999-02-02,12663,13366,10763,11021,2867510,16521.0,7030343.0
1999-02-03,10599,11021,9708,9872,750520,14799.0,7030343.0
1999-02-04,9872,11349,9872,11349,696130,17013.0,7030343.0
1999-02-05,11349,12616,10787,10786,1287520,16170.0,7030343.0
1999-02-08,10787,11490,10412,10646,349730,15959.0,7030343.0
1999-02-09,11021,11021,9708,9848,356070,14764.0,7030343.0
1999-02-10,9192,10787,9005,10083,564480,15115.0,7030343.0
1999-02-11,10458,10927,9849,9989,531810,14975.0,7030343.0
1999-02-12,9989,10458,9849,9989,367970,14975.0,7030343.0
1999-02-18,10083,10552,9849,9989,280900,14975.0,7030343.0
1999-02-19,9403,9849,9145,9614,340610,14412.0,7030343.0
1999-02-22,9380,10154,9239,9332,268360,13990.0,7030343.0
1999-02-23,9380,10294,9380,9614,458210,14412.0,7030343.0
1999-02-24,9427,9849,9169,9168,247280,13744.0,7030343.0
1999-02-25,9145,9239,8254,8676,312550,13006.0,7030343.0
1999-02-26,8489,9145,8489,8910,269080,13358.0,7030343.0
1999-03-02,9145,9145,8723,8910,278520,13358.0,7030343.0
1999-03-03,8911,9051,8254,8582,198790,12866.0,7030343.0
1999-03-04,8489,9239,8254,8723,434510,13076.0,7030343.0
1999-03-05,8489,8840,8489,8582,218310,12866.0,7030343.0
1999-03-08,8606,8887,8582,8652,368810,12971.0,7030343.0
1999-03-09,8676,8770,8254,8301,344080,12444.0,7030343.0
1999-03-10,8207,8723,8020,8347,317600,12514.0,7030343.0
1999-03-11,8254,8512,8231,8277,385780,12409.0,7030343.0
1999-03-12,8442,9286,8278,8910,737150,13358.0,7030343.0
1999-03-15,9239,9567,8911,8910,432660,13358.0,7030343.0
1999-03-16,8911,9051,8582,8605,330340,12901.0,7030343.0
1999-03-17,8442,8676,8348,8347,483510,12514.0,7030343.0
1999-03-18,8418,8418,7738,8066,364940,12092.0,7030343.0
1999-03-19,9263,9263,9145,9262,1204440,13885.0,7030343.0
1999-03-22,9263,9263,9263,9262,0,13885.0,7030343.0
1999-03-23,9263,9263,9263,9262,0,,
1999-03-24,9263,9263,9263,9262,0,,
1999-03-25,9263,9263,9263,9262,0,,
1999-03-26,9263,9263,9263,9262,0,,
1999-03-29,9263,9263,9263,9262,0,,
1999-03-30,9263,9263,9263,9262,0,,
1999-03-31,9263,9263,9263,9262,0,,
1999-04-01,9263,9263,9263,9262,0,,
1999-04-02,9263,9263,9263,9262,0,,
1999-04-06,9263,9263,9263,9262,0,,
1999-04-07,9263,9263,9263,9262,0,,
1999-04-08,9263,9263,9263,9262,0,,
1999-04-09,9263,9263,9263,9262,0,,
1999-04-12,9263,9263,9263,9262,0,,
1999-04-13,9263,9263,9263,9262,0,,
1999-04-14,9263,9263,9263,9262,0,,
1999-04-15,9263,9263,9263,9262,0,,
1999-04-16,10641,10641,10641,10640,53670,155843.0,13730668.0
1999-04-19,12234,12234,12234,12234,15400,179185.0,13730668.0
1999-04-20,14063,14063,14063,14062,43640,205960.0,13730668.0
1999-04-21,16172,16172,13594,14250,378990,208706.0,13730668.0
1999-04-22,14531,14719,12563,13406,113430,196349.0,13730668.0
1999-04-23,13219,13969,12563,12656,86950,185364.0,13730668.0
1999-04-26,11906,12656,11250,11812,96160,173006.0,13730668.0
1999-04-27,12094,13547,12094,13546,108650,198408.0,13730668.0
1999-04-28,13594,14813,13547,13593,118440,199095.0,13730668.0
1999-04-29,13594,14156,12750,13218,70060,193602.0,13730668.0
1999-04-30,13219,13734,12797,13312,45940,194975.0,13730668.0
1999-05-03,11344,13500,11344,13031,57850,190856.0,13730668.0
1999-05-04,13172,14344,13172,13968,89640,204587.0,13730668.0
1999-05-06,14813,16031,14344,15750,192380,230675.0,13730668.0
1999-05-07,16125,16594,15000,15000,116040,219691.0,13730668.0
1999-05-10,14531,15563,14531,14859,31100,217631.0,13730668.0
1999-05-11,15094,15938,15047,15281,60590,223810.0,13730668.0
1999-05-12,13594,15000,13594,14531,30440,212825.0,13730668.0
1999-05-13,15844,15844,14250,14343,52880,210079.0,13730668.0
1999-05-14,13875,14344,13406,13500,25150,197722.0,13730668.0
1999-05-17,13781,13781,12469,12843,19480,188110.0,13730668.0
1999-05-18,11438,12563,11438,12375,30910,181245.0,13730668.0
1999-05-19,12188,13219,12188,13125,27070,192229.0,13730668.0
1999-05-20,12938,13125,12094,12093,9000,177126.0,13730668.0
1999-05-21,12188,12656,11813,12187,9080,178499.0,13730668.0
1999-05-24,12375,12375,11813,12187,6300,178499.0,13730668.0
1999-05-25,11719,12656,11719,12187,17190,178499.0,13730668.0
1999-05-26,12188,12844,12188,12656,18090,185364.0,13730668.0
1999-05-27,12938,12938,12469,12750,10340,186737.0,13730668.0
1999-05-28,12938,12938,12188,12375,15440,181245.0,13730668.0
1999-05-31,12375,13125,12281,13125,30930,192229.0,13730668.0
1999-06-01,12797,13125,12469,13031,12600,190856.0,13730668.0
1999-06-02,12844,13031,12609,12656,11960,185364.0,13730668.0
1999-06-03,13125,13125,12188,12328,16730,180558.0,13730668.0
1999-06-04,12375,12938,12188,12187,22220,178499.0,13730668.0
1999-06-07,12375,12656,12141,12375,22300,181245.0,13730668.0
1999-06-08,12234,12375,12000,12187,23570,178499.0,13730668.0
1999-06-09,14016,14016,13266,14015,51570,205273.0,13730668.0
